pE,pN,combined_gap
0.05,0.05,83.13379061
0.1978723404,0.05,81.20367244
0.3457446809,0.05,77.20174447000001
0.4936170213,0.05,72.98540975
0.6414893617,0.05,70.78520819
0.7893617021,0.05,68.51600433
0.9372340426,0.05,66.17086826
1.085106383,0.05,63.74162621
1.232978723,0.05,61.21852353
1.380851064,0.05,58.589760479999995
1.528723404,0.05,58.589760479999995
1.676595745,0.05,55.84083635
1.824468085,0.05,52.953595629999995
1.972340426,0.05,47.31914894
2.120212766,0.05,47.31914894
2.268085106,0.05,44.12281794
2.415957447,0.05,42.87359142
2.563829787,0.05,41.245691789999995
2.711702128,0.05,39.06635354
2.859574468,0.05,39.06635354
3.007446809,0.05,37.02227551
3.155319149,0.05,37.02227551
3.303191489,0.05,34.86381579
3.45106383,0.05,34.86381579
3.59893617,0.05,32.56931596
3.746808511,0.05,32.56931596
3.894680851,0.05,30.10927731
4.042553191,0.05,30.10927731
4.190425532,0.05,30.10927731
4.338297872,0.05,27.44170024
4.486170213,0.05,27.44170024
4.634042553,0.05,27.44170024
4.781914894,0.05,24.98043671
4.929787234,0.05,23.65957447
5.077659574,0.05,23.65957447
5.225531915,0.05,22.2335642
5.373404255,0.05,20.73382788
5.521276596,0.05,20.73382788
5.669148936,0.05,19.12589168
5.817021277,0.05,19.12589168
5.964893617,0.05,19.12589168
6.112765957,0.05,17.382303739999998
6.260638298,0.05,17.382303739999998
6.408510638,0.05,15.70322864
6.556382979,0.05,15.461577880000002
6.704255319,0.05,16.196869909999997
6.85212766,0.05,15.606704729999997
7.0,0.05,15.022892329999998
0.05,0.1978723404,77.218896993
0.1978723404,0.1978723404,75.288778823
0.3457446809,0.1978723404,71.286850853
0.4936170213,0.1978723404,67.070516133
0.6414893617,0.1978723404,64.870314573
0.7893617021,0.1978723404,62.601110713
0.9372340426,0.1978723404,60.255974643
1.085106383,0.1978723404,57.826732593
1.232978723,0.1978723404,55.303629913
1.380851064,0.1978723404,52.674866863
1.528723404,0.1978723404,52.674866863
1.676595745,0.1978723404,49.925942733
1.824468085,0.1978723404,47.038702013
1.972340426,0.1978723404,41.404255323
2.120212766,0.1978723404,41.404255323
2.268085106,0.1978723404,38.207924323
2.415957447,0.1978723404,36.958697803
2.563829787,0.1978723404,35.330798173
2.711702128,0.1978723404,33.151459923000004
2.859574468,0.1978723404,33.151459923000004
3.007446809,0.1978723404,31.107381893000003
3.155319149,0.1978723404,31.107381893000003
3.303191489,0.1978723404,28.948922173
3.45106383,0.1978723404,28.948922173
3.59893617,0.1978723404,26.654422343
3.746808511,0.1978723404,26.654422343
3.894680851,0.1978723404,24.194383693
4.042553191,0.1978723404,24.194383693
4.190425532,0.1978723404,24.194383693
4.338297872,0.1978723404,21.526806623
4.486170213,0.1978723404,21.526806623
4.634042553,0.1978723404,21.526806623
4.781914894,0.1978723404,19.065543093000002
4.929787234,0.1978723404,17.744680853
5.077659574,0.1978723404,17.744680853
5.225531915,0.1978723404,16.318670583
5.373404255,0.1978723404,14.818934263000001
5.521276596,0.1978723404,14.818934263000001
5.669148936,0.1978723404,13.210998063
5.817021277,0.1978723404,13.210998063
5.964893617,0.1978723404,13.210998063
6.112765957,0.1978723404,11.467410122999999
6.260638298,0.1978723404,11.467410122999999
6.408510638,0.1978723404,9.788335023
6.556382979,0.1978723404,9.546684263000001
6.704255319,0.1978723404,16.196869909999997
6.85212766,0.1978723404,15.606704729999997
