iteration,pE,pN
0,1.1044232628713084,4.18810366411332
1,0.41393898493906056,4.206797800330067
2,0.41393898493906056,4.206797800330067
3,0.41393898493906056,4.206797800330067
4,0.41393898493906056,4.206797800330067
5,0.41393898493906056,4.206797800330067
6,0.41393898493906056,4.206797800330067
7,0.41393898493906056,4.206797800330067
8,0.41393898493906056,4.206797800330067
9,0.41393898493906056,4.206797800330067
10,0.41393898493906056,4.206797800330067
11,0.41393898493906056,4.206797800330067
12,0.41393898493906056,4.206797800330067
13,0.41393898493906056,4.206797800330067
14,0.41393898493906056,4.206797800330067
15,0.41393898493906056,4.206797800330067
16,0.41393898493906056,4.206797800330067
17,0.41393898493906056,4.206797800330067
18,0.41393898493906056,4.206797800330067
19,0.41393898493906056,4.206797800330067
