iteration,pE,pN
0,1.1044232628713084,4.18810366411332
1,0.41393898493906056,4.206797800330067
2,0.41393898493906056,4.206797800330067
3,0.41393898493906056,4.206797800330067
4,0.41393898493906056,4.206797800330067
5,1.3988415223597048,5.491558179816047
6,1.3988415223597048,5.491558179816047
7,1.2787721110472918,1.469825491445666
8,1.2787721110472918,1.469825491445666
9,1.2787721110472918,1.469825491445666
10,1.2787721110472918,1.469825491445666
11,1.2787721110472918,1.469825491445666
12,1.2787721110472918,1.469825491445666
13,1.2787721110472918,1.469825491445666
14,1.2787721110472918,1.469825491445666
15,0.25741669825591806,0.9660956859654708
16,0.25741669825591806,0.9660956859654708
17,0.25741669825591806,0.9660956859654708
18,0.25741669825591806,0.9660956859654708
19,0.25741669825591806,0.9660956859654708
