figure_id,block,method,n_users,trial,ratio,cE,cN,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap,runtime_sec,stage2_calls
E2-cost-ratio,E,Full model,100,1,1.0,0.01,0.01,2245.4702023577447,109.20299150441947,86.95431499916536,196.15730650358483,0.23514212112444555,0.8069066729532519,4.654127176458759,2.7040635737003953,10,0.0,4.17020408398821,55
E2-cost-ratio,E,ME,100,1,1.0,0.01,0.01,1951.5254066771042,49.0,19.599999999999998,68.6,0.6594990107736669,0.5369842794488204,0.5,0.5,17,188.67048982300122,9.008810332976282,0
E2-cost-ratio,E,SingleSP,100,1,1.0,0.01,0.01,1882.9254066771043,422.1833092920941,0.0,422.1833092920941,0.18681565132469302,0.278166161100569,0.01,0.01,17,240.6522764131358,0.112953917006962,0
