n_users,trial,V0,V_DG,V_Xstar,Xstar_size,delta_hat_star,bound,ratio,slack,violated,valid,centralized_success,centralized_solver
20,1,406.2245451006643,316.70619779466165,300.9266916651065,9,26.644346667471083,2.2807825079618227,1.05243637924653,1.2283461287152926,FALSE,TRUE,TRUE,gekko_apopt
20,2,541.7237306843219,391.4503497237815,352.212047477105,12,35.065151038476614,4.18927190085825,1.1114053381414422,3.0778665627168076,FALSE,TRUE,TRUE,gekko_apopt
20,3,503.63581264107904,385.9394400324382,330.13077666790895,10,28.400409971441604,2.163783163810787,1.1690501683236558,0.9947329954871313,FALSE,TRUE,TRUE,gekko_apopt
20,4,435.01496804268265,343.51973123783654,313.11442188307956,9,24.343926070895805,1.9019624825048402,1.09710606484332,0.8048564176615203,FALSE,TRUE,TRUE,gekko_apopt
20,5,568.4885096928906,412.1714915247545,370.1110048453735,10,45.73883073657842,4.705209063591156,1.1136428966681313,3.591566166923025,FALSE,TRUE,TRUE,gekko_apopt
20,6,514.9634264063275,394.3727000601047,357.0917508474423,9,35.062789481029796,2.406743619169369,1.1044015974163168,1.3023420217530524,FALSE,TRUE,TRUE,gekko_apopt
20,7,455.00180307839025,351.61684529350794,310.0707109393866,9,35.15740699092986,3.0295051518703544,1.1339892253230035,1.895515926547351,FALSE,TRUE,TRUE,gekko_apopt
20,9,463.9886123985086,352.9199278409351,314.93781472450746,10,22.930588684570946,1.8793800126320248,1.120601945338487,0.7587780672935378,FALSE,TRUE,TRUE,gekko_apopt
20,10,521.7846850687023,396.3898713992275,361.0961199970934,9,29.59951609288465,1.9271976923022256,1.0977405999333867,0.8294570923688389,FALSE,TRUE,TRUE,gekko_apopt
20,11,516.7330090783976,360.05780150797904,318.52962938645646,10,37.568442854481795,3.397159789990516,1.1303745971811572,2.2667851928093588,FALSE,TRUE,TRUE,gekko_apopt
20,12,523.3457807597576,421.82984636647006,383.0129258732088,10,31.63861522252838,2.3758603019299693,1.1013462415263526,1.2745140604036167,FALSE,TRUE,TRUE,gekko_apopt
20,13,428.105556360668,329.06462260926446,288.13201455516037,10,23.089136879148764,2.0536880458432756,1.1420619923728326,0.911626053470443,FALSE,TRUE,TRUE,gekko_apopt
20,14,490.64891494802896,397.7047260321541,342.9957358601547,11,29.746251809072923,2.820008896853072,1.1595034120024899,1.660505484850582,FALSE,TRUE,TRUE,gekko_apopt
20,15,391.48492414872715,312.30257406220903,292.51893247095387,9,17.701419958837477,1.609941213938329,1.0676320039326672,0.5423092100056617,FALSE,TRUE,TRUE,gekko_apopt
20,16,402.5147654826952,306.22989462416854,290.93014392843986,9,27.191540570914757,2.3786113400230193,1.052589087157266,1.3260222528657533,FALSE,TRUE,TRUE,gekko_apopt
20,17,505.36580784273633,346.8755068315635,306.6477448826138,10,30.847685219550815,2.410079941067867,1.1311855789591705,1.2788943621086963,FALSE,TRUE,TRUE,gekko_apopt
20,18,434.2574977219824,331.50579659286984,308.8770934678091,8,32.98285545212656,2.354972017036723,1.0732611890088868,1.2817108280278364,FALSE,TRUE,TRUE,gekko_apopt
20,19,490.05054652784685,355.224232433736,294.714850446871,11,32.39093878619116,3.4217484513531344,1.2053150083720439,2.2164334429810904,FALSE,TRUE,TRUE,gekko_apopt
20,20,482.4583196015228,408.31172605294415,365.51235829036204,8,25.376325717214478,1.6356619546620235,1.117094174223741,0.5185677804382824,FALSE,TRUE,TRUE,gekko_apopt
30,1,723.8023266683495,542.510571235877,495.9463317865111,12,34.184156908553234,2.1990905185043927,1.0938896740734647,1.105200844430928,FALSE,TRUE,TRUE,gekko_apopt
30,2,747.9119908848467,567.5130038416053,514.0340935509823,11,34.96738704043108,1.962570992419251,1.1040376717450529,0.8585333206741981,FALSE,TRUE,TRUE,gekko_apopt
30,3,646.1473159595005,543.6419187604639,502.6695575723513,9,32.20133546642068,1.7229446144473102,1.081509533590992,0.6414350808563183,FALSE,TRUE,TRUE,gekko_apopt
30,4,725.4236905937252,533.2299525552452,467.67534190221676,12,39.52448481251592,2.7312529489813313,1.1401711930896172,1.591081755891714,FALSE,TRUE,TRUE,gekko_apopt
30,5,603.2242056559013,471.74067407356904,436.520433600644,11,33.00870429159211,2.3746269186451645,1.0806840591227551,1.2939428595224094,FALSE,TRUE,TRUE,gekko_apopt
30,6,642.4656803816272,518.8023154652208,489.6505469703724,11,39.92203342864826,2.9634754571469575,1.0595358642509844,1.903939592895973,FALSE,TRUE,TRUE,gekko_apopt
30,7,678.4862356088425,518.7334988644006,478.32033396828115,11,35.0856292684245,2.1993269952825196,1.084489748869425,1.1148372464130947,FALSE,TRUE,TRUE,gekko_apopt
30,8,735.807700365756,586.2205941739022,536.9867151098413,12,39.08166039712408,2.6111451043702165,1.091685469451493,1.5194596349187235,FALSE,TRUE,TRUE,gekko_apopt
30,9,657.0551450147465,536.0109657237496,489.5453845229755,11,36.27825287255819,2.406164553059498,1.0949157783318726,1.3112487747276256,FALSE,TRUE,TRUE,gekko_apopt
30,10,702.7037866896724,569.0580153835616,514.2278120055273,12,31.58440119786412,2.0733336512026046,1.1066262891619814,0.9667073620406232,FALSE,TRUE,TRUE,gekko_apopt
30,11,732.9929730989061,592.4620115224421,520.6489354226028,12,34.09457778660945,2.1580393559070172,1.1379299393775766,1.0201094165294406,FALSE,TRUE,TRUE,gekko_apopt
30,12,660.1823440209828,554.6918048871582,523.0198338460366,9,41.379020231587546,2.1503312549626576,1.0605559655514805,1.0897752894111772,FALSE,TRUE,TRUE,gekko_apopt
30,13,683.5973744434098,566.9122138088878,522.5552861839951,11,28.009659383537862,1.7459473154038134,1.0848846596669472,0.6610626557368662,FALSE,TRUE,TRUE,gekko_apopt
30,14,610.1580890523982,501.3749299666646,468.6857505876635,11,34.76622357377195,2.5266447151969764,1.0697464758380506,1.4568982393589258,FALSE,TRUE,TRUE,gekko_apopt
30,15,804.3839482014822,604.3383461263875,537.8019588921896,12,39.438362052285896,2.3101511879328354,1.1237191239899074,1.186432063942928,FALSE,TRUE,TRUE,gekko_apopt
30,16,655.8444678638932,522.8653580407481,477.57670785462415,10,29.464980307537346,1.7341880947303097,1.0948301067478148,0.6393579879824949,FALSE,TRUE,TRUE,gekko_apopt
30,17,735.2536884087167,612.7155844085278,542.6147115824784,10,36.5531989001949,1.8898011413168685,1.129190881355958,0.7606102599609106,FALSE,TRUE,TRUE,gekko_apopt
30,18,741.6916630329733,595.4789896852246,525.307161693566,13,37.1340032256724,2.7208290817977576,1.1335824696648489,1.5872466121329087,FALSE,TRUE,TRUE,gekko_apopt
