n_users,iteration,social_cost_mean,social_cost_std,count
20,0,422.71165944523636,6.3787593445256805,2
20,1,395.5847361206823,3.50144999103094,2
20,2,372.38202483697046,5.597515450930787,2
20,3,352.02434029917254,9.879116929368571,2
20,4,333.89362087595316,11.162998292272672,2
20,5,318.679897259412,10.093078371253252,2
20,6,308.78591853747776,8.23997971085216,2
20,7,303.78085408328786,6.641623091614871,2
20,8,301.6204669791336,6.783231063500455,2
50,0,1253.4316819371832,21.430010337139883,2
50,1,1216.6754745668009,14.215415723948832,2
50,2,1185.5867758523555,14.853029586440934,2
50,3,1156.773693055437,16.233171104607468,2
50,4,1132.2797528163135,13.159900688318228,2
50,5,1108.538236566078,10.040558522916028,2
50,6,1087.847091035614,7.353790441277675,2
50,7,1072.4118947359814,1.4842835643149261,2
50,8,1058.74547864014,4.833934521025702,2
50,9,1047.4657679477568,10.34596555677837,2
50,10,1040.2319741079473,15.360782921110783,2
50,11,1035.3268985394939,18.9211441693409,2
50,12,1032.361293220825,21.6248680546972,2
50,13,1013.2826045341816,0.0,1
50,14,1010.4066767346424,0.0,1
50,15,1010.2210588580763,0.0,1
