figure_id,block,trial,iteration,pE,pN,restricted_gap,grid_ne_gap
C1,C,1,1,0.5,0.5,124.54923962288503,164.2057909
C1,C,1,2,7.512714875742,0.5,41.02486556819998,28.0699797
C1,C,1,3,7.512714875742,2.026267375712,5.294690096979096,38.54169273
C1,C,1,4,6.312628976326,2.026267375712,3.4122968774783544,31.97291138
C1,C,1,5,6.312628976326,2.506344854217,11.335349661525257,41.15516537
C1,C,1,6,4.945476357006,2.506344854217,19.843647514050375,26.15037315
C1,C,1,7,4.945476357006,2.323690723546,2.7854453759204176,15.55814532
C1,C,1,8,4.299361828893,2.323690723546,11.446018854503137,12.86125473
C1,C,1,9,4.299361828893,2.972649164262,3.309608711084195,24.29360081
C1,C,1,10,3.283430874352,2.972649164262,0.0,17.22264275
C1,C,2,1,0.5,0.5,121.88192174927207,164.2057909
C1,C,2,2,5.171047167083,0.5,48.24940017695675,52.04352297
C1,C,2,3,5.171047167083,1.706080673147,0.0,7.412303938
C1,C,3,1,0.5,0.5,136.48535019626826,164.2057909
C1,C,3,2,11.658988996701,0.5,6.894530865893206,19.66058136
C1,C,3,3,11.658988996701,0.914164386781,12.827959985577138,65.22033732
C1,C,3,4,10.318162581833,0.914164386781,4.080579344559354,27.1774906
C1,C,3,5,10.318162581833,1.183606801822,9.662695270484775,40.66844034
C1,C,3,6,9.605589471032,1.183606801822,1.7573046433828878,30.52237061
C1,C,3,7,9.605589471032,1.608571586047,7.877517768415487,41.73440116
C1,C,3,8,8.671922621488,1.608571586047,0.0,33.43216259
C1,C,4,1,0.5,0.5,161.85601495555719,164.2057909
C1,C,4,2,7.933880334827,0.5,30.493414693808333,26.16509868
C1,C,4,3,7.933880334827,1.797068261749,0.0,37.71979132
C1,C,5,1,0.5,0.5,146.70274272858455,164.2057909
C1,C,5,2,9.94809622933,0.5,4.0581631930910085,11.44193447
C1,C,5,3,9.94809622933,0.601877104362,0.0,10.90003706
C1,C,6,1,0.5,0.5,152.47091612152963,164.2057909
C1,C,6,2,8.964773195642,0.5,29.8089370524653,17.61453917
C1,C,6,3,8.964773195642,1.567110787044,15.447321090596006,31.63482413
C1,C,6,4,7.26627531096,1.567110787044,11.73004510258275,42.26893608
C1,C,6,5,7.26627531096,2.515196978046,16.434666401175747,35.01081137
C1,C,6,6,6.236657681798,2.515196978046,2.5862529647364596,41.86434629
C1,C,6,7,6.236657681798,3.123297481751,7.529243855221267,31.42525784
C1,C,6,8,5.71069762942,3.123297481751,0.0,35.06052526
C1,C,7,1,0.5,0.5,123.36625412401841,164.2057909
C1,C,7,2,3.814695532293,0.5,12.094566144606357,68.45637584
C1,C,7,3,3.814695532293,0.800539140832,41.052868856141885,56.37583893
C1,C,7,4,8.249550691499,0.800539140832,7.258612700914622,12.08053691
C1,C,7,5,8.249550691499,1.540367534557,21.080686125295188,37.08008208
C1,C,7,6,5.938126386094,1.540367534557,6.507417305937736,10.62714908
C1,C,7,7,5.938126386094,1.540367534557,6.507417305937736,10.62714908
C1,C,7,8,5.227502422804,1.540367534557,8.475143906130349,9.939234193
C1,C,7,9,5.227502422804,1.982262936727,11.55529287763919,15.50176459
C1,C,7,10,5.128114335459,1.982262936727,0.3045915870210223,5.679062333
C1,C,7,11,5.128114335459,1.982262936727,0.3045915870210223,5.679062333
C1,C,7,12,4.285352983508,1.982262936727,2.7843456746088435,4.97716781
C1,C,7,13,4.285352983508,2.386871355721,16.146731829886733,12.86125473
C1,C,7,14,3.998496933914,2.386871355721,0.0,17.10880319
C1,C,8,1,0.5,0.5,77.70439135363857,164.2057909
C1,C,8,2,3.802706484016,0.5,44.19396822853302,68.45637584
C1,C,8,3,3.802706484016,3.482312506747,17.505977058548794,23.97641894
C1,C,8,4,1.993269916687,3.482312506747,3.915196215578277,13.13359598
C1,C,8,5,1.993269916687,3.299047722073,0.0,0.4538327398
C1,C,9,1,0.5,0.5,74.25192760378678,164.2057909
C1,C,9,2,3.325296441698,0.5,72.28406199601983,78.20615838
C1,C,9,3,3.325296441698,2.10159554685,0.0,13.77662818
C1,C,10,1,0.5,0.5,65.41747630620608,164.2057909
C1,C,10,2,5.628475340586,0.5,21.864599960690853,46.38329793
C1,C,10,3,5.628475340586,0.993183187355,1.3283809117042154,26.24906974
C1,C,10,4,5.751377246717,0.993183187355,0.2823759654273488,26.10096077
C1,C,10,5,5.751377246717,1.00785704021,0.0,26.10096077
