trial,seed,n_users,algorithm2_social_cost,optimal_social_cost,paper_gap_pct_signed,relative_error_pct,algorithm2_offloading_size,optimal_offloading_size
0,20272000,6,73.50351673389767,76.83720450035176,4.338637497462352,-4.338637497462352,3,2
1,20272001,6,94.41754425324514,116.26510969233206,18.79116228153167,-18.79116228153167,4,3
2,20272002,6,100.5464611987648,116.50553514205868,13.698125092369645,-13.698125092369645,4,2
3,20272003,6,125.7237631666149,178.67029891159143,29.633652637014514,-29.633652637014514,5,2
4,20272004,6,83.44718280310882,93.53622623770679,10.7862416952319,-10.7862416952319,5,4
5,20272005,6,91.5226634529513,103.28048452185035,11.38435893608877,-11.38435893608877,5,5
6,20272006,6,84.80777609139157,115.6236180321142,26.651857522883944,-26.651857522883944,6,3
7,20272007,6,84.3183773835975,101.0689579462922,16.57341769724778,-16.57341769724778,4,2
8,20272008,6,91.12543496162581,654033829976.8383,99.99999998606715,-99.99999998606715,5,2
9,20272009,6,73.12869664788029,76.72584862975671,4.688318273590698,-4.688318273590698,5,3
0,20274000,8,110.40050282352838,133.45225630675594,17.27340857410485,-17.27340857410485,5,3
1,20274001,8,134.09233508451268,140.97593559997057,4.88281952956184,-4.88281952956184,5,4
2,20274002,8,128.10091711319114,138.806866686812,7.712838585843543,-7.712838585843543,5,4
3,20274003,8,123.07327188048572,126.45073168279285,2.6709689674075068,-2.6709689674075068,6,5
4,20274004,8,115.82748258125217,116.22107580895837,0.3386590813814053,-0.3386590813814053,5,4
5,20274005,8,109.28735837591633,117.33060334049709,6.855197821866659,-6.855197821866659,4,3
6,20274006,8,107.57804423267507,144.3661613051727,25.482506939234874,-25.482506939234874,6,3
7,20274007,8,102.50056851616165,2.0157879615174198e+26,100.0,-100.0,7,6
8,20274008,8,91.66860531343814,91.6686055651406,2.7457869377627836e-07,-2.7457869377627836e-07,5,5
9,20274009,8,99.24862917477301,120.43457550313612,17.591249223784093,-17.591249223784093,3,1
0,20276000,10,164.58705449734197,1483082.0035039529,99.98890236317962,-99.98890236317962,6,3
1,20276001,10,142.08632718059064,165.25437708370066,14.01962859439148,-14.01962859439148,6,5
2,20276002,10,168.6462832198332,218.0414348389735,22.654020624850162,-22.654020624850162,6,5
3,20276003,10,157.88408423336875,169.59999772093533,6.907967951063466,-6.907967951063466,6,5
4,20276004,10,169.28787609267766,192.2315337037199,11.935428682790684,-11.935428682790684,6,5
5,20276005,10,162.77076669222907,208.15664431123406,21.803713145540723,-21.803713145540723,7,6
6,20276006,10,149.87753842466702,163.70209599322868,8.444948419679058,-8.444948419679058,7,6
7,20276007,10,135.15855974593572,154.36411628525417,12.44172350511042,-12.44172350511042,7,4
8,20276008,10,132.24312501687035,170.88069315206553,22.610844690811195,-22.610844690811195,6,3
9,20276009,10,129.0077822004278,155.9605821628867,17.281802612347995,-17.281802612347995,5,3
0,20278000,12,200.04752688105432,211.06511239644118,5.219993674128698,-5.219993674128698,5,4
1,20278001,12,180.63506767357887,214.48894130801364,15.783505400317779,-15.783505400317779,6,6
2,20278002,12,173.81723326328574,187.84807077723713,7.469247597751533,-7.469247597751533,8,5
3,20278003,12,180.93142553400918,208.7921065597217,13.34374248374347,-13.34374248374347,6,5
4,20278004,12,190.72553738981486,207.0981799881294,7.9057394899622,-7.9057394899622,8,7
5,20278005,12,182.6953601630173,194.47374470714857,6.056542265830242,-6.056542265830242,6,6
6,20278006,12,180.68379274561659,207.8441784216359,13.067667269910888,-13.067667269910888,8,6
7,20278007,12,205.07343405911575,364587863860.5362,99.99999994375199,-99.99999994375199,8,5
8,20278008,12,167.8857770898526,187.63151992195804,10.523681117286863,-10.523681117286863,6,4
9,20278009,12,190.59103802670165,1.0124123660828073e+26,100.0,-100.0,7,4
0,20280000,14,249.6828433809504,317.4596277238004,21.349733453923744,-21.349733453923744,10,6
1,20280001,14,223.26949736800168,245.38074772574333,9.010996405657265,-9.010996405657265,7,5
2,20280002,14,187.67242360180808,195.32494136077213,3.9178395271239728,-3.9178395271239728,8,7
3,20280003,14,223.62559833368562,239.052066289816,6.45318327323221,-6.45318327323221,8,8
4,20280004,14,239.2418679263579,251.72008910619684,4.957181297744796,-4.957181297744796,8,7
5,20280005,14,194.62158018286385,199.37888610972297,2.3860630479403215,-2.3860630479403215,7,6
6,20280006,14,179.53115713188402,207.48094805397025,13.471015620584062,-13.471015620584062,9,9
7,20280007,14,174.88810115950855,186.97068187505116,6.4622862763142495,-6.4622862763142495,8,8
8,20280008,14,212.9007445088746,240.51497274440214,11.481292794554411,-11.481292794554411,7,6
9,20280009,14,210.0945618069818,214.88838463345323,2.2308431582509733,-2.2308431582509733,7,6
0,20282000,16,251.97229394486652,252.0390632269784,0.026491640326309903,-0.026491640326309903,9,8
1,20282001,16,274.405234273829,303.5505593770399,9.601473034022483,-9.601473034022483,8,6
2,20282002,16,234.06052441691168,269.107749826437,13.023491680239339,-13.023491680239339,8,6
3,20282003,16,230.95660526148157,247.97007272672226,6.861097098596469,-6.861097098596469,8,7
4,20282004,16,253.05989721973975,271.2178743154144,6.694978028829224,-6.694978028829224,7,7
5,20282005,16,273.72279756757763,335.7208800289201,18.467151181064978,-18.467151181064978,7,4
6,20282006,16,229.1741307750023,259.06075810823495,11.536532028809273,-11.536532028809273,7,6
7,20282007,16,279.56402437993995,332.0851310142318,15.815555027677835,-15.815555027677835,8,6
8,20282008,16,273.65311122545245,287.37525006386636,4.774989786129564,-4.774989786129564,9,7
9,20282009,16,196.33895728057027,206.80671257840942,5.061612927032224,-5.061612927032224,8,6
