n_users,paper_gap_pct_signed_mean,paper_gap_pct_signed_std,relative_error_pct_mean,relative_error_pct_std,algorithm2_social_cost_mean,optimal_social_cost_mean,count
6,23.654577161948843,28.07778876048528,-23.654577161948843,28.07778876048528,90.25414166930778,65403383095.53516,10
8,18.280764899776347,29.91263112559861,-18.280764899776347,29.91263112559861,112.17777150959344,2.0157879615174197e+25,10
10,23.80889805897648,27.366849343894298,-23.80889805897648,27.366849343894298,151.15493973039423,148468.01949792047,10
12,27.937011924268365,38.131556411467606,-27.937011924268365,38.131556411467606,185.3086192826047,1.012412366082811e+25,10
14,8.172043485532601,5.929890039131681,-8.172043485532601,5.929890039131681,209.55283754009164,229.81713456229286,10
16,9.18633724327277,5.602472313552509,-9.18633724327277,5.602472313552509,249.6907576345371,276.4934051266255,10
