metric,method,n_users,count,mean,std,min,max,source
total_stage2_solver_calls,Proposed,150,10,61,18.5903200618,37,85,q4_proposed
total_stage2_solver_calls,Proposed,200,10,90.4,90.2576312563,37,355,q4_proposed
total_stage2_solver_calls,Proposed,250,10,57.4,12.9243955371,37,85,q4_proposed
total_stage2_solver_calls,GA,50,10,3238.9,355.617055272,2677,3941,old_rerun_baseline
total_stage2_solver_calls,GA,100,10,3117.4,194.214932485,2826,3437,old_rerun_baseline
total_stage2_solver_calls,GA,150,10,3268.3,386.944194943,2518,3763,old_rerun_baseline
total_stage2_solver_calls,GA,200,10,3307.1,296.578977677,2748,3764,old_rerun_baseline
total_stage2_solver_calls,GA,250,10,3262.5,358.640000558,2849,3993,old_rerun_baseline
total_stage2_solver_calls,BO-online,50,10,1311,0,1311,1311,old_rerun_baseline
total_stage2_solver_calls,BO-online,100,10,1311,0,1311,1311,old_rerun_baseline
total_stage2_solver_calls,BO-online,150,10,1311,0,1311,1311,old_rerun_baseline
total_stage2_solver_calls,BO-online,200,10,1311,0,1311,1311,old_rerun_baseline
total_stage2_solver_calls,BO-online,250,10,1311,0,1311,1311,old_rerun_baseline
total_stage2_solver_calls,MARL,50,10,300.8,2.4,300,308,old_rerun_baseline
total_stage2_solver_calls,MARL,100,10,300.4,1.2,300,304,old_rerun_baseline
total_stage2_solver_calls,MARL,150,10,300,0,300,300,old_rerun_baseline
total_stage2_solver_calls,MARL,200,10,300,0,300,300,old_rerun_baseline
total_stage2_solver_calls,MARL,250,10,300,0,300,300,old_rerun_baseline
