step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_joint_revenue
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909,69.06979866
1,6,0.5,6.040268456,0.5033557047,44.54791412,148.5230089
2,6,3.817512909,6.040268456,3.825503356,34.20378118,124.1427613
3,2.338995472,3.817512909,2.315436242,3.825503356,0,234.3626048
