figure_id,block,trial,iteration,pE,pN,esp_gain,nsp_gain,restricted_gap,grid_true_esp_gain,grid_true_nsp_gain,grid_true_gap
C2,C,1,1,0.5,0.5,81.97443795089066,0.0,81.97443795089066,90.79830893000002,164.20579091,164.20579091
C2,C,1,2,4.654127176458759,0.5,0.0,63.41652179435755,63.41652179435755,4.612097800000015,58.95977056000001,58.95977056000001
C2,C,1,3,4.654127176458759,2.135321489906115,0.0,3.9377932048078037,3.9377932048078037,12.226396399999999,5.126208470000009,12.226396399999999
C2,C,1,4,4.654127176458759,2.135321489906115,0.0,3.9377932048078037,3.9377932048078037,12.226396399999999,5.126208470000009,12.226396399999999
C2,C,1,5,4.654127176458759,2.7040635737003953,0.0,0.0,0.0,25.23890250000001,15.243507200000003,25.23890250000001
C2,C,2,1,0.5,0.5,59.595691367929824,0.0,59.595691367929824,90.79830893000002,164.20579091,164.20579091
C2,C,2,2,3.658707067660438,0.5,0.0,56.173303641977775,56.173303641977775,10.105141700000019,74.33377804,74.33377804
C2,C,2,3,3.658707067660438,2.125267925124432,0.9428419305231586,0.0,0.9428419305231586,5.338268499999998,9.904247839999996,9.904247839999996
C2,C,2,4,3.0044222041001216,2.125267925124432,4.506342971719761,0.0,4.506342971719761,9.64255639999999,22.512234410000005,22.512234410000005
C2,C,2,5,3.0044222041001216,2.125267925124432,4.506342971719761,0.0,4.506342971719761,9.64255639999999,22.512234410000005,22.512234410000005
C2,C,2,6,2.753889980251581,2.125267925124432,0.0,2.902136661120011,2.902136661120011,9.371020999999985,29.92842691,29.92842691
C2,C,2,7,2.753889980251581,2.522735079543465,3.7799115646724744,0.0,3.7799115646724744,3.8786288000000013,13.821044399999991,13.821044399999991
C2,C,2,8,2.497334490970788,2.522735079543465,0.0,3.029495428093057,3.029495428093057,7.556566800000013,19.08116919999999,19.08116919999999
C2,C,2,9,2.497334490970788,2.98682290648659,3.0001843581853365,0.0,3.0001843581853365,6.738596400000006,8.905958900000002,8.905958900000002
C2,C,2,10,2.2361381706231236,2.98682290648659,0.7453392271376345,0.0,0.7453392271376345,2.5083225000000056,5.619388000000001,5.619388000000001
C2,C,2,11,2.2361381706231236,2.98682290648659,0.7453392271376345,0.0,0.7453392271376345,2.5083225000000056,5.619388000000001,5.619388000000001
C2,C,2,12,1.7024634899668971,2.98682290648659,0.0,0.0,0.0,7.817135900000011,24.16107389999999,24.16107389999999
C2,C,3,1,0.5,0.5,38.19315974979912,0.0,38.19315974979912,90.79830893000002,164.20579091,164.20579091
C2,C,3,2,2.5916579392887713,0.5,0.0,64.40837773489321,64.40837773489321,15.37431860000001,96.13786611,96.13786611
C2,C,3,3,2.5916579392887713,2.2515441004902192,6.236831028145318,0.0,6.236831028145318,8.851722199999983,27.681490269999998,27.681490269999998
C2,C,3,4,2.4726018936750966,2.2515441004902192,0.0,0.0,0.0,11.29323579999999,31.161706069999994,31.161706069999994
C2,C,4,1,0.5,0.5,74.83855388269151,0.0,74.83855388269151,90.79830893000002,164.20579091,164.20579091
