trial,seed,n_users,provider,pE,pN,approx_gain,exact_gain,abs_error,rel_error,approx_best_set,exact_best_set,candidate_count
0,20266003,6,E,0.027242546140183788,0.029967371506885374,25.98197337310628,1.023368026030945,24.958605347075334,24.388689808763505,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.027242546140183788,0.029967371506885374,48.37206934369687,0.0,48.37206934369687,4837206934.369687,"(0, 1, 2, 3, 4, 5)","(0, 4)",15
0,20266003,6,E,0.025619513779923955,0.023218606612582814,25.225303247469757,0.10439466436843925,25.12090858310132,240.63402794650787,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.025619513779923955,0.023218606612582814,48.64201993946898,0.0,48.64201993946898,4864201993.9468975,"(0, 1, 2, 3, 4, 5)","(0, 1, 4, 5)",15
0,20266003,6,E,0.023823346197246322,0.013177519089022382,25.53075688603417,0.230231544665088,25.30052534136908,109.89165441326955,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.023823346197246322,0.013177519089022382,49.04366344041139,0.0,49.04366344041139,4904366344.04114,"(0, 1, 2, 3, 4, 5)","(2, 3, 4, 5)",15
0,20266003,6,E,0.02153145928300242,0.023610586950794186,25.6719160301975,0.14220199740403294,25.529714032793468,179.53133218133988,"(1, 3, 5)","(0, 1, 2, 3)",15
0,20266003,6,N,0.02153145928300242,0.023610586950794186,48.62634072594052,0.0,48.62634072594052,4862634072.594052,"(0, 1, 2, 3, 4, 5)","(2, 3, 4, 5)",15
0,20266003,6,E,0.028547896673546867,0.02724646876235995,25.77971910795951,0.951648814220486,24.828070293739025,26.089530005957272,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.028547896673546867,0.02724646876235995,48.480905453477895,0.0,48.480905453477895,4848090545.34779,"(0, 1, 2, 3, 4, 5)","(1, 5)",15
0,20268003,8,E,0.015063134998603983,0.024840470217645433,37.912303125868014,0.0,37.912303125868014,3791230312.5868015,"(0, 1, 2, 3, 4, 5, 6, 7)","(2, 4, 5)",24
0,20268003,8,N,0.015063134998603983,0.024840470217645433,109.70438220193054,0.0,109.70438220193054,10970438220.193054,"(0, 1, 2, 3, 4, 5, 6, 7)","(2, 4, 5)",24
0,20268003,8,E,0.01692444952508476,0.028656793214182415,37.72617167321994,1.1102230246251565e-16,37.72617167321994,3772617167.321994,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 3, 5)",24
0,20268003,8,N,0.01692444952508476,0.028656793214182415,109.55172928206906,0.0,109.55172928206906,10955172928.206905,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2, 5, 6, 7)",24
0,20268003,8,E,0.011719991060782474,0.022153312145164118,38.34539119853265,0.09877367888248648,38.246617519650165,387.2146704705929,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2, 5)",16
0,20268003,8,N,0.011719991060782474,0.022153312145164118,109.81186852482979,0.0,109.81186852482979,10981186852.482979,"(0, 1, 2, 3, 4, 5, 6, 7)","(2,)",16
0,20268003,8,E,0.021832248174014288,0.02202652789433322,37.723579857040754,0.4881880487137721,37.23539180832698,76.27264105795089,"(0, 1, 2, 3, 4, 5, 6, 7)","(2, 3, 5)",21
0,20268003,8,N,0.021832248174014288,0.02202652789433322,109.81693989486303,0.0,109.81693989486303,10981693989.486301,"(0, 1, 2, 3, 4, 5, 6, 7)","(1, 5)",21
0,20268003,8,E,0.011067437954324999,0.02456596020846838,38.341282831647234,0.02941000135132045,38.31187283029591,1302.6817772851202,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2, 5)",21
0,20268003,8,N,0.011067437954324999,0.02456596020846838,109.71536260229762,0.0,109.71536260229762,10971536260.229761,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2)",21
