figure_id,block,method,step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_grid_ne_gap
C5,C,BO,44,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,45,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,46,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,47,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,48,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,49,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,50,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,51,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,BO,52,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144
C5,C,GA,0,0.5,0.5,0.5033557047,0.5033557047,164.2057909
C5,C,GA,1,4.144049,2.482911,4.127516779,2.516778523,13.64958021
C5,C,GA,2,1.08174,4.038742,1.10738255,4.026845638,12.08053691
C5,C,GA,3,1.477436,4.08685,1.510067114,4.127516779,4.28967708
C5,C,MARL,0,0.5,0.5,0.5033557047,0.5033557047,164.2057909
C5,C,MARL,1,0.0,0.0,0.0,0.0,184.3400191
C5,C,MARL,2,1.10738255,1.10738255,1.10738255,1.10738255,128.8590604
C5,C,MARL,3,2.11409396,1.10738255,2.11409396,1.10738255,85.3365556
C5,C,MARL,4,3.22147651,1.10738255,3.22147651,1.10738255,56.37583893
C5,C,MARL,5,2.11409396,1.10738255,2.11409396,1.10738255,85.3365556
