pN\pE,0.01,0.3095,0.609,0.9085,1.208,1.5075,1.807,2.1065,2.406,2.7055,3.005,3.3045,3.604,3.9035,4.203,4.5025,4.802,5.1015,5.401,5.7005,6
0.01,0,0,15.8601768812,34.8071749567,35.1133830551,45.785692183,50.1834615069,68.0925226736,72.8155763364,76.6403124917,81.0391814295,85.0074699933,88.7986040737,103.692549058,107.616690207,111.402692806,115.064192799,137.805857008,141.808778736,145.701769565,144.716571839
0.3095,0,0,15.8601768812,34.8071749567,35.1133830551,45.785692183,50.1834615069,68.0925226736,72.8155763364,76.6403124917,81.0391814295,85.0074699933,88.7986040737,103.692549058,107.616690207,111.402692806,115.064192799,137.805857008,141.808778736,145.701769565,144.716571839
0.609,0,0,15.8947916717,30.4097240194,40.8491902494,45.708637062,50.1834615069,68.0925226736,64.0820022454,67.9849273291,80.1535966684,84.0785203336,87.8282254347,91.4242725708,92.7359621802,96.6800862395,123.076448232,126.609635889,130.287334889,133.864034473,137.347625115
0.9085,0,0,15.8947916717,30.4097240194,40.8491902494,45.708637062,50.0990051512,59.9254364301,64.0820022454,67.9849273291,80.1535966684,84.0785203336,87.8282254347,91.4242725708,92.7359621802,96.6800862395,122.821865298,126.609635889,130.287334889,142.026878165,145.722893346
1.208,0,0,15.8947916717,30.4097240194,40.8491902494,45.708637062,50.0990051512,59.9254364301,64.0820022454,67.9849273291,80.1535966684,84.0785203336,87.8282254347,100.280974012,125.553827641,129.970866642,143.552119991,139.646921864,143.703322005,174.21461032,186.900517389
1.5075,0,0,15.8947916717,30.4097240194,40.8491902494,45.708637062,50.0990051512,59.9254364301,64.0820022454,76.0263242139,80.1535966684,92.2236040323,96.3365607912,120.975625686,134.260743067,138.984095191,143.552119991,161.633145776,189.063084172,194.253318933,199.308441069
1.807,0,0,15.8947916717,30.4097240194,40.8491902494,45.708637062,50.0990051512,60.9536296248,72.9742859542,76.8086883454,87.9184544588,92.2236040323,124.276656518,129.36505165,134.260743067,156.801682716,178.229761755,183.72628673,189.063084172,194.253318933,199.308441069
2.1065,0,0,15.8947916717,30.4097240194,40.8491902494,45.708637062,55.7715759323,68.2409378726,72.9742859542,85.0194981557,95.2736419389,118.970835859,124.276656518,145.949489799,172.497495986,172.558246964,178.229761755,183.72628673,189.063084172,194.253318933,199.308441069
2.406,0,0,15.8947916717,34.7187108551,40.1449874282,51.4158595554,63.1538531274,68.2409378726,80.1970318288,89.6563104459,112.033232786,127.656257606,159.66999414,166.207537422,166.693882691,172.558246964,178.229761755,183.72628673,189.063084172,194.253318933,199.308441069
