pN\pE,0.01,0.3095,0.609,0.9085,1.208,1.5075,1.807,2.1065,2.406,2.7055,3.005,3.3045,3.604,3.9035,4.203,4.5025,4.802,5.1015,5.401,5.7005,6
0.01,239.556896218,239.993837357,227.42844746,222.541782336,207.93185125,196.204892408,199.786588019,217.811180394,221.241815638,225.024228696,230.492592221,231.252602101,234.437093482,237.827274056,240.754016448,246.979851403,252.251109983,273.435917495,282.322816213,296.24423969,304.662089331
0.3095,239.561267629,240.002570777,227.43718088,222.550515756,207.94058467,196.4775634,200.064723231,218.053953172,221.486293934,225.270361039,230.740773451,231.5023576,234.688385187,238.079605014,242.240121525,252.724888811,264.231109983,285.415917495,294.302816213,308.22423969,316.642089331
0.609,239.565638987,222.498989848,243.951980876,217.672296157,209.962728743,206.202533333,200.342174836,218.296140322,222.043302654,225.826956469,229.738774661,230.509667421,238.419147571,243.002784194,252.922435471,263.36154959,283.63130139,294.682316376,305.412191847,315.847396341,326.01095072
0.9085,222.069958023,222.503361021,243.960714296,217.681029577,209.971462163,206.47733907,220.602149623,218.853120228,222.28671067,226.072016408,229.985330954,230.75778495,238.667966371,243.253117797,260.437888647,272.228461373,283.63130139,294.682316376,305.412191847,315.847396341,326.01095072
1.208,222.000746231,222.507732138,243.969447716,217.689762997,209.980195583,206.751486872,220.840400895,219.094238942,222.529531821,226.316487461,229.741337242,231.005308806,238.916199571,251.155644893,263.376416113,275.166988838,286.569828856,297.620843842,308.350719313,318.785923807,328.949478186
1.5075,215.706349867,222.512103199,243.978181136,217.698496417,209.988929003,207.024976997,221.078076645,219.334772743,222.771766437,226.248996903,229.86273845,232.164472735,244.111269065,256.813073056,269.033844276,280.824417001,292.227257019,303.278272005,314.008147476,324.44335197,334.606906349
1.807,205.532374633,222.516474204,243.986914556,217.707229837,209.997662423,207.297809663,221.315176716,220.23968289,221.66582296,224.283488824,227.762747095,232.644578033,245.889126121,258.590930112,270.811701332,282.602274058,294.005114076,305.056129061,315.786004532,326.221209026,336.384763405
2.1065,199.21836795,222.520845153,243.995647976,217.715963257,209.22725041,207.569985043,216.366156572,218.919216292,222.22828012,227.460762005,225.442489121,238.282411405,251.526959493,264.228763484,276.449534704,288.24010743,299.642947448,310.693962433,321.423837904,331.859042398,342.022596777
2.406,191.20222317,220.914263602,240.595956874,224.543392296,207.71063767,204.474266449,216.002281273,219.157708391,225.595848783,227.435179505,228.35466684,242.21811445,255.462662538,268.164466529,280.385237749,292.175810474,303.578650492,314.629665478,325.359540949,335.794745443,345.958299822
2.7055,183.332536058,213.042301025,245.349662407,222.93893743,204.757006244,203.476975777,216.238440939,222.638486089,224.073344734,217.858659969,233.497021025,246.176819804,259.544831022,272.246635014,284.467406234,296.257978959,307.660818977,318.711833963,329.441709434,339.876913928,350.040468307
3.005,176.582315302,206.292120521,244.597517227,222.539790925,210.875798784,203.74637634,219.741098301,220.8695972,214.330136242,229.512746609,231.576424275,246.718250211,263.66611423,276.687766558,288.908537778,300.699110503,312.101950521,323.152965507,333.882840978,344.318045472,354.481599851
3.3045,182.059484252,211.245689756,229.930817156,225.44719296,210.884532204,206.916442521,218.3130574,211.488591501,183.867588118,212.78511968,232.091309841,247.233135778,264.180999797,281.603400529,293.824171749,305.614744475,317.017584493,328.068599478,338.79847495,349.233679443,359.397233822
3.604,195.802225445,223.510331719,225.553059563,225.45592638,209.740416976,182.031057608,203.161747447,195.918263376,180.053710643,213.277019447,232.583209608,247.725035545,264.672899564,281.603400529,293.824171749,305.614744475,317.017584493,328.068599478,338.79847495,349.233679443,359.397233822
3.9035,196.930668303,224.59131572,216.797712094,224.26476834,200.489562834,199.781113009,194.70650885,193.736966107,195.137195578,213.748761811,233.054951972,248.196777908,265.144641927,282.981081399,296.532075529,309.34831937,322.60288771,333.653902695,344.383778166,354.81898266,364.982537039
4.203,197.011307362,215.196696565,215.742032806,222.664050216,200.493935551,196.279504781,196.920158275,194.665597722,197.285119136,214.202638717,233.508828879,248.650654815,265.598518834,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,359.184896036,369.348450415
4.5025,191.363913403,215.474450204,216.249260261,226.336220153,190.484652772,198.038605846,197.183152896,195.586605721,198.215102978,214.640538141,233.946728302,249.088554239,262.303103911,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,361.45666143,371.620215809
4.802,189.815625206,202.510777603,222.684821922,226.344953573,210.47802905,187.947709217,197.445483461,196.500034916,199.137407716,215.064037252,234.370227414,244.964515286,262.303103911,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,363.326484208,373.490038587
5.1015,194.12595333,207.857851912,213.202966458,223.137380861,193.406862663,187.952082322,197.866679002,197.405924933,200.052079804,215.474469655,229.41370672,244.964515286,262.303103911,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,363.326484208,373.490038587
5.401,191.178799021,201.055700463,211.546936456,223.146114281,185.651985277,187.978915217,178.786027904,190.551284872,200.95916049,209.677448898,229.41370672,244.964515286,262.303103911,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,363.326484208,373.490038587
5.7005,198.433527642,207.132575729,217.437670101,226.103444216,186.532926517,188.0381439,178.61609342,181.342805851,192.72161865,209.677448898,229.41370672,244.964515286,262.303103911,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,363.326484208,373.490038587
6,198.595858845,198.421581729,216.673659534,205.263657023,187.405743532,180.161157817,180.780791255,182.402104048,185.82342284,209.677448898,229.41370672,244.964515286,262.303103911,280.51425661,296.532075529,309.34831937,323.109346545,336.88282156,347.612697032,363.326484208,373.490038587
