variant,mae,rmse,max_abs_diff,argmin_hat_pE,argmin_hat_pN,argmin_hat_value,argmin_real_pE,argmin_real_pN,argmin_real_value,argmin_grid_distance,argmin_price_distance
boundary,143.73009576144543,153.74604829199203,246.9115442133911,6.0,0.9085,79.87270197188224,3.6039999999999996,1.208,0.0,8.06225774829855,2.414646195615416
refined_price,253.3705217873398,258.5562268120219,373.4900385866125,1.5075,3.6039999999999996,197.7033732975131,3.6039999999999996,1.208,0.0,10.63014581273465,3.1837286709140273
topk_real_reval,102.80375434186739,114.40246501829759,198.47500669046946,0.01,0.01,0.0,3.6039999999999996,1.208,0.0,12.649110640673518,3.7884086368817185
