figure_id,block,method,n_users,trial,runtime_sec,restricted_gap,offloading_size,final_pE,final_pN
D2,D,VBBR,8,1,0.3871491998434067,0.0,5,1.3901647581112972,0.7583624784309556
D2,D,GA,8,1,72.95189240016043,0.5921962696246688,1,6.0,6.0
D2,D,BO,8,1,12.765961199998856,1.3319155282425523,1,5.667266645427624,5.309174968482478
D2,D,MARL,8,1,1.130999400280416,0.8151825959464682,1,6.0,5.5721428571428575
D2,D,VBBR,8,2,0.186315200291574,0.0,5,1.3401463959756825,0.5
D2,D,GA,8,2,93.9814937999472,0.07955412818781404,2,2.783362,2.428924
D2,D,BO,8,2,10.660782499238849,1.9869953175402735,2,5.170801594161251,0.5502046564498999
D2,D,MARL,8,2,0.837160499766469,6.142068862891559,5,0.8657142857142858,0.4378571428571429
D2,D,VBBR,8,3,0.2298055998980999,0.0,2,5.411313632324236,7.594097027948184
D2,D,GA,8,3,208.2262093005702,0.007926251480988356,3,6.0,1.896651
D2,D,BO,8,3,23.28694980032742,1.347809130017211,3,5.812449939045694,1.7942481556958252
D2,D,MARL,8,3,1.9318920001387596,2.4216388388397903,2,6.0,5.5721428571428575
D2,D,VBBR,8,4,0.15642899926751852,0.0,2,5.694981633069877,0.5
D2,D,GA,8,4,180.68020210042596,1.3422351675985933,2,4.93327,1.578314
D2,D,BO,8,4,18.195993000641465,1.5248285308259533,3,2.515355415717247,1.3861787187894494
D2,D,MARL,8,4,1.5771389994770288,4.28842849628564,3,4.716428571428572,0.4378571428571429
D2,D,VBBR,8,5,0.2241601999849081,0.0,5,1.7983811184944125,0.5
D2,D,GA,8,5,145.51437530014664,0.02729859429773107,2,2.310893,2.355405
D2,D,BO,8,5,14.99845669977367,0.13177530588702702,2,2.22044487710016,2.3989984307401437
D2,D,MARL,8,5,1.2413951996713877,4.785954671126344,6,0.8657142857142858,0.8657142857142858
D2,D,VBBR,8,6,0.20326569955796003,0.0,4,2.959766439593223,0.5
D2,D,GA,8,6,212.14801200013608,0.11924708891246638,5,0.943345,1.149068
D2,D,BO,8,6,14.921781999990344,0.16419556122900758,5,1.72528236046521,0.6606401946191646
D2,D,MARL,8,6,1.2087329998612404,9.157512208300773,4,0.4378571428571429,1.7214285714285715
D2,D,VBBR,8,7,0.13636319991201162,0.0,3,0.27779784143985814,0.5
D2,D,GA,8,7,114.71288000047207,0.0016791374375193513,1,1.841038,5.452358
D2,D,BO,8,7,12.16453200019896,0.015021555245875007,1,4.8944241627022995,2.4449180654544342
D2,D,MARL,8,7,1.167807400226593,0.07735823587603008,1,1.7214285714285715,5.5721428571428575
D2,D,VBBR,8,8,0.4549500001594424,0.0,5,2.5660860334887783,0.5
D2,D,GA,8,8,232.75371590070426,0.09268061882728063,5,1.19512,1.652481
D2,D,BO,8,8,15.839298999868333,0.8914988516256308,5,1.2787721110472918,1.469825491445666
D2,D,MARL,8,8,1.2059420999139547,7.465774443244371,6,0.8657142857142858,0.8657142857142858
D2,D,VBBR,8,9,0.3593546003103256,0.0,4,1.7173907452802535,0.5
D2,D,GA,8,9,64.79871139954776,3.9669758734603033,0,5.031579,4.573838
D2,D,BO,8,9,9.819654299877584,4.9515642635158095,3,1.2787721110472918,1.469825491445666
D2,D,MARL,8,9,1.3228485006839037,29.591470764726004,0,0.4378571428571429,5.5721428571428575
D2,D,VBBR,8,10,0.2592335995286703,0.0,5,2.00773896361113,0.5
D2,D,GA,8,10,94.25093090068549,3.9812288861692853,1,6.0,6.0
D2,D,BO,8,10,16.365047700703144,4.349883821933025,1,5.792441114504886,5.791944558752192
D2,D,MARL,8,10,1.4709045998752117,4.254665985641138,1,6.0,5.5721428571428575
D2,D,VBBR,12,1,0.5648258002474904,0.0,6,1.4583709748429643,0.8004881872475279
D2,D,GA,12,1,107.46795830037445,0.7829771619547115,0,5.481398,5.261425
D2,D,BO,12,1,13.81961159966886,0.9060041028315247,0,5.324731593817013,5.253934378990272
D2,D,MARL,12,1,2.162455399520695,51.8695760037424,0,0.4378571428571429,5.5721428571428575
D2,D,VBBR,12,2,0.6600610008463264,0.0,6,2.169207697649477,0.6134356051551408
D2,D,GA,12,2,205.5465315002948,0.018566332821356113,1,3.469003,3.841066
D2,D,BO,12,2,27.20373629964888,0.22616416477567203,1,2.907810682330392,4.174172822103272
D2,D,MARL,12,2,2.5836404003202915,14.475675623105822,8,0.8657142857142858,0.8657142857142858
D2,D,VBBR,12,3,0.4665660997852683,0.0,5,2.39963135605631,0.8404076172433879
D2,D,GA,12,3,176.60863399971277,0.0013384754383505282,1,5.461362,3.679981
D2,D,BO,12,3,30.92423180025071,3.101852771313375,5,2.345238937971461,1.019368697400196
D2,D,MARL,12,3,2.2559869000688195,8.014755086843302,4,4.716428571428572,0.4378571428571429
D2,D,VBBR,12,4,0.3528493996709585,0.0,4,2.4266828952654147,2.132262543925229
D2,D,GA,12,4,429.6125005995855,0.02435447861193296,4,0.602473,5.587187
D2,D,BO,12,4,42.46069629956037,0.008963204655252355,4,1.1044232628713084,4.18810366411332
D2,D,MARL,12,4,2.8362031998112798,6.753942826744414,5,2.577142857142857,0.8657142857142858
D2,D,VBBR,12,5,0.31725949980318546,0.0,3,2.190545966559553,2.46425501091454
D2,D,GA,12,5,363.390594500117,0.22782319623893343,4,0.871092,3.471798
D2,D,BO,12,5,32.98510470055044,0.4984945207101248,4,2.6060973112694272,1.840283194584338
D2,D,MARL,12,5,2.2495429003611207,11.081597707506596,3,4.716428571428572,0.8657142857142858
D2,D,VBBR,12,6,0.30362270027399063,0.0,3,3.70585018263932,1.1854831882725174
D2,D,GA,12,6,352.13798679970205,0.0405922548631068,4,3.870516,1.094364
D2,D,BO,12,6,34.481403100304306,0.9242092516091134,4,4.259529859561816,0.8259232616673106
D2,D,MARL,12,6,2.360407500527799,7.404168367678466,3,4.716428571428572,0.8657142857142858
D2,D,VBBR,12,7,0.42477000039070845,0.0,6,3.3535172455060294,0.5159472789165332
D2,D,GA,12,7,285.3224485004321,0.021805936883350086,3,2.950112,5.042572
D2,D,BO,12,7,40.25722809974104,0.677483887826412,4,3.7145928706328046,1.40592621877635
D2,D,MARL,12,7,2.8401094004511833,5.687066701817102,4,4.716428571428572,0.8657142857142858
D2,D,VBBR,12,8,0.4246968999505043,0.0,5,2.6141473899165804,0.5
D2,D,GA,12,8,343.42326219938695,0.0026198004557151933,6,0.822429,2.131392
D2,D,BO,12,8,27.082259099930525,0.04636199201219071,6,1.5558974585118357,1.3142323696648008
D2,D,MARL,12,8,1.8888095002621412,2.8095441314375513,6,0.4378571428571429,2.577142857142857
D2,D,VBBR,12,9,0.3832149999216199,0.0,5,3.0212129177264453,1.0739350548483413
D2,D,GA,12,9,411.3666842998937,1.6065371799571793,6,2.817564,1.081226
D2,D,BO,12,9,41.052475900389254,5.612714591345576,6,4.092817266468973,0.6783569419859045
D2,D,MARL,12,9,2.9091881001368165,11.292983005191417,6,2.577142857142857,0.8657142857142858
D2,D,VBBR,12,10,0.5522851999849081,0.0,3,2.5150842457554523,0.5
D2,D,GA,12,10,180.346353800036,0.7080782600122895,4,1.10811,0.939737
D2,D,BO,12,10,16.392961099743843,0.21491015969077765,1,3.1663120324047607,2.640279921726139
D2,D,MARL,12,10,1.5159006994217634,7.070750118627849,5,0.4378571428571429,0.8657142857142858
D2,D,VBBR,16,1,0.32197370007634163,0.0,5,4.5772251344835535,0.8312500350904383
D2,D,GA,16,1,616.1169218001887,0.14460220475392305,4,4.783155,1.709217
D2,D,BO,16,1,63.95477039925754,0.47900948900207396,4,5.604956284441181,1.282063847692233
D2,D,MARL,16,1,4.075600200332701,9.034964055104044,2,4.288571428571428,5.5721428571428575
D2,D,VBBR,16,2,0.4558958997949958,0.0,6,2.7797285360658193,0.817450595164168
D2,D,GA,16,2,209.63089120015502,0.003426670240203933,1,5.072546,4.106666
D2,D,BO,16,2,45.7750834999606,8.844188227416943,7,1.2787721110472918,1.469825491445666
D2,D,MARL,16,2,3.2780391993001103,13.728978056881381,5,3.8607142857142858,0.4378571428571429
D2,D,VBBR,16,3,1.0449346993118525,0.0,8,2.155767551764678,1.1649727510241181
D2,D,GA,16,3,680.5958874998614,0.043517125757027486,9,1.790038,1.590634
D2,D,BO,16,3,51.10237789992243,0.19463705535645204,9,2.1426544743740035,1.1746997628606295
D2,D,MARL,16,3,3.515438299626112,6.884431765108751,8,2.577142857142857,0.8657142857142858
D2,D,VBBR,16,4,0.3370735999196768,0.0,5,3.2824172668761897,0.5270975811730823
D2,D,GA,16,4,454.80665639974177,0.058060897172399706,7,0.321471,2.566615
D2,D,BO,16,4,35.98274170048535,0.4077497274368369,6,1.2787721110472918,1.469825491445666
D2,D,MARL,16,4,2.716480399481952,15.571788879137358,4,3.8607142857142858,0.4378571428571429
D2,D,VBBR,16,5,0.6205068994313478,0.0,6,3.0813620972265574,0.9476295998017025
D2,D,GA,16,5,641.6557342000306,0.11075451189315544,9,0.999219,1.67579
D2,D,BO,16,5,50.14465630054474,0.06239740328858545,9,0.9288514500945826,1.7463351528859403
D2,D,MARL,16,5,3.041955099441111,2.0431361277785953,9,0.8657142857142858,1.7214285714285715
D2,D,VBBR,16,6,0.68068110011518,0.0,5,1.0752444088024808,1.019903420409692
D2,D,GA,16,6,416.36894320044667,0.0126399545081739,6,1.042045,1.047315
D2,D,BO,16,6,38.54097219929099,0.4137366595927787,2,2.947026151147843,3.4509101691590462
D2,D,MARL,16,6,3.010766599327326,0.9482338868536537,2,4.716428571428572,2.149285714285714
D2,D,VBBR,16,7,0.856827000156045,0.0,5,2.4984738740647114,1.0771426210722057
D2,D,GA,16,7,403.66904579941183,0.9372120158419577,7,1.01849,1.663883
D2,D,BO,16,7,28.38794230017811,1.223398561175891,7,0.9288514500945826,1.7463351528859403
D2,D,MARL,16,7,2.4064489006996155,7.804313635021892,6,0.4378571428571429,2.577142857142857
D2,D,VBBR,16,8,0.9151356006041169,0.0,6,1.6572948929689928,0.6752098067582464
D2,D,GA,16,8,429.2995682004839,5.544702095211896,6,1.510973,0.82176
D2,D,BO,16,8,34.558280100114644,5.294840769313142,1,3.5991666933899413,4.33442211862147
D2,D,MARL,16,8,2.7276514004915953,11.786758633703137,5,2.577142857142857,0.4378571428571429
D2,D,VBBR,16,9,0.23264020029455423,0.0,4,5.201843237637031,0.5797443412620948
