iteration,updated_provider,restricted_gap,social_cost,offloading_count,stage2_calls,pE1,pE2,pE3,pN1,pN2,pN3,esp1_revenue,esp2_revenue,esp3_revenue,nsp1_revenue,nsp2_revenue,nsp3_revenue,provider1_gain,provider2_gain,provider3_gain,provider4_gain,provider5_gain,provider6_gain
0,N1,28.903773285965826,499.0707757581181,13,39,0.42,0.5,0.58,3.1478283947068757,0.5,0.62,18.540000000000003,17.15,0.0,7.86,6.859999999999999,6.06,1.8900000000000006,1.3256328644638273,0.0,28.903773285965826,13.01310845416345,0.620000000000001
1,N2,27.305640746481146,550.4781465168958,12,74,0.42,0.5,0.58,3.1478283947068757,2.4504029104629392,0.62,18.54,14.924641042820447,0.0,36.763773285965826,6.859999999999999,6.06,1.8900000000000006,0.0075006426193748865,0.0,0.004254417606631478,27.305640746481146,8.919687208141045
2,N1,18.192532507034343,575.4358615273984,12,111,0.42,0.5,0.58,3.110622666405508,2.4504029104629392,0.62,18.540000000000003,15.670279652687467,0.0,34.871912113146465,34.165640746481145,6.0600000000000005,1.8900000000000006,0.011840191799858957,0.0,18.192532507034343,0.0,0.620000000000001
3,E1,1.8900000000000006,574.8407216754715,13,142,0.462,0.5,0.58,3.110622666405508,2.4504029104629392,0.62,18.540000000000003,17.15,0.0,53.06444462018081,28.257324027760102,6.0600000000000005,1.8900000000000006,0.0,0.0,0.0,1.338713074365728,0.620000000000001
4,E1,0.7945514802410507,576.7307216754714,13,173,0.5082000000000001,0.5,0.58,3.110622666405508,2.4504029104629392,0.62,20.430000000000003,17.15,0.0,53.06444462018081,28.257324027760102,6.0600000000000005,0.7945514802410507,0.0,0.0,0.0,0.2571053059660251,0.620000000000001
5,N3,0.620000000000001,579.1475777505999,13,209,0.5082000000000001,0.5,0.58,3.110622666405508,2.4504029104629392,0.682,21.224551480241054,17.15,0.0,53.06444462018081,28.257324027760102,6.0600000000000005,0.0,0.0,0.0,0.007410694519307981,0.0,0.620000000000001
6,N3,0.6820000000000004,579.7675777506,13,245,0.5082000000000001,0.5,0.58,3.110622666405508,2.4504029104629392,0.7502000000000001,21.224551480241054,17.15,0.0,53.06444462018081,28.257324027760102,6.6800000000000015,0.0,0.0,0.0,0.007410694519307981,0.0,0.6820000000000004
7,N3,0.7502000000000013,580.4495777506,13,281,0.5082000000000001,0.5,0.58,3.110622666405508,2.4504029104629392,0.8252200000000002,21.224551480241054,17.15,0.0,53.06444462018081,28.257324027760102,7.362000000000002,0.0,0.0,0.0,0.007410694519307981,0.0,0.7502000000000013
8,N3,0.8252200000000016,581.1997777506,13,317,0.5082000000000001,0.5,0.58,3.110622666405508,2.4504029104629392,0.9077420000000003,21.224551480241054,17.15,0.0,53.06444462018081,28.257324027760102,8.112200000000003,0.0,0.0,0.0,0.007410694519307981,0.0,0.8252200000000016
9,N3,0.9077420000000007,582.0249977505999,13,353,0.5082000000000001,0.5,0.58,3.110622666405508,2.4504029104629392,0.9985162000000004,21.224551480241054,17.15,0.0,53.06444462018081,28.257324027760102,8.937420000000005,0.0,0.0,0.0,0.007410694519307981,0.0,0.9077420000000007
