trial,seed,n_users,provider,pE,pN,approx_gain,exact_gain,abs_error,rel_error,approx_best_set,exact_best_set,candidate_count
0,20266003,6,E,0.027242546140183788,0.029967371506885374,25.98197337310628,1.023368026030945,24.958605347075334,24.388689808763505,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.027242546140183788,0.029967371506885374,48.37206934369687,0.0,48.37206934369687,4837206934.369687,"(0, 1, 2, 3, 4, 5)","(0, 4)",15
0,20266003,6,E,0.025619513779923955,0.023218606612582814,25.225303247469757,0.10439466436843925,25.12090858310132,240.63402794650787,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.025619513779923955,0.023218606612582814,48.64201993946898,0.0,48.64201993946898,4864201993.9468975,"(0, 1, 2, 3, 4, 5)","(0, 1, 4, 5)",15
0,20266003,6,E,0.023823346197246322,0.013177519089022382,25.53075688603417,0.230231544665088,25.30052534136908,109.89165441326955,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.023823346197246322,0.013177519089022382,49.04366344041139,0.0,49.04366344041139,4904366344.04114,"(0, 1, 2, 3, 4, 5)","(2, 3, 4, 5)",15
0,20266003,6,E,0.02153145928300242,0.023610586950794186,25.6719160301975,0.14220199740403294,25.529714032793468,179.53133218133988,"(1, 3, 5)","(0, 1, 2, 3)",15
0,20266003,6,N,0.02153145928300242,0.023610586950794186,48.62634072594052,0.0,48.62634072594052,4862634072.594052,"(0, 1, 2, 3, 4, 5)","(2, 3, 4, 5)",15
0,20266003,6,E,0.028547896673546867,0.02724646876235995,25.77971910795951,0.951648814220486,24.828070293739025,26.089530005957272,"(1, 3, 5)","(0, 1, 2, 3, 4)",15
0,20266003,6,N,0.028547896673546867,0.02724646876235995,48.480905453477895,0.0,48.480905453477895,4848090545.34779,"(0, 1, 2, 3, 4, 5)","(1, 5)",15
1,20266004,6,E,0.024015920268048115,0.02170645302818522,38.40863106013037,0.27563169063771675,38.13299936949265,138.34765981105448,"(1, 2, 3, 5)","(0, 1, 3, 4)",16
1,20266004,6,N,0.024015920268048115,0.02170645302818522,70.64545085070274,0.0,70.64545085070274,7064545085.070274,"(0, 1, 2, 3, 4, 5)","(0, 3, 4)",16
1,20266004,6,E,0.01494785867880486,0.017974782535168488,39.055790161891764,0.015984633474785737,39.03980552841698,2442.3334817153373,"(1, 2, 3, 5)","(0, 1, 2)",16
1,20266004,6,N,0.01494785867880486,0.017974782535168488,70.79471767042341,0.0,70.79471767042341,7079471767.042341,"(0, 1, 2, 3, 4, 5)","(0, 2, 4)",16
1,20266004,6,E,0.0200868864356313,0.02639393643512281,36.72934819309889,2.220446049250313e-16,36.72934819309889,3672934819.3098893,"(0, 1, 2, 3, 4, 5)","(0, 1, 3, 4)",15
1,20266004,6,N,0.0200868864356313,0.02639393643512281,70.45795151442523,0.0,70.45795151442523,7045795151.442523,"(0, 1, 2, 3, 4, 5)","(1, 2, 4, 5)",15
1,20266004,6,E,0.012845554329911501,0.013804003735557383,37.62974788943258,0.17626648576170012,37.45348140367088,212.4821473680785,"(0, 1, 2, 3, 4, 5)","(0, 1, 2)",12
1,20266004,6,N,0.012845554329911501,0.013804003735557383,70.96154882240785,0.0,70.96154882240785,7096154882.240785,"(0, 1, 2, 3, 4, 5)","(0,)",12
1,20266004,6,E,0.018032174721977705,0.029888169666532072,36.93481936446425,1.1102230246251565e-16,36.93481936446425,3693481936.4464254,"(0, 1, 2, 3, 4, 5)","(0, 1, 3, 4)",12
1,20266004,6,N,0.018032174721977705,0.029888169666532072,70.31818218516887,0.0,70.31818218516887,7031818218.516887,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 4, 5)",12
2,20266005,6,E,0.01232620647113269,0.018088968419370424,44.82573642702491,5.551115123125783e-17,44.82573642702491,4482573642.702491,"(3, 4, 5)","(1, 3, 5)",12
2,20266005,6,N,0.01232620647113269,0.018088968419370424,50.89653642495334,0.0,50.89653642495334,5089653642.495334,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 5)",12
2,20266005,6,E,0.02783459139951435,0.016208141259717014,45.05835707413818,1.783459139951435,43.27489793418675,24.26458614317632,"(3, 4, 5)","(0, 1, 2, 5)",7
2,20266005,6,N,0.02783459139951435,0.016208141259717014,51.22009516172815,0.24832565038868054,50.971769511339474,205.2617980927794,"(0, 1, 2, 3, 4, 5)","(0,)",7
2,20266005,6,E,0.02210406754954067,0.021772176990523022,43.847950319184115,2.220446049250313e-16,43.847950319184115,4384795031.918411,"(3, 4, 5)","(0, 1, 2, 4)",12
2,20266005,6,N,0.02210406754954067,0.021772176990523022,50.74920808210723,0.0,50.74920808210723,5074920808.210723,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 4, 5)",12
2,20266005,6,E,0.013404874545127964,0.013867445288404444,44.71786961962538,5.551115123125783e-17,44.71786961962538,4471786961.962538,"(3, 4, 5)","(1, 3, 5)",16
2,20266005,6,N,0.013404874545127964,0.013867445288404444,51.06539735019197,0.0,51.06539735019197,5106539735.019197,"(0, 1, 2, 3, 4, 5)","(0, 1, 5)",16
2,20266005,6,E,0.018822997280918158,0.021373512260010892,44.17605734604636,1.1102230246251565e-16,44.17605734604636,4417605734.604636,"(3, 4, 5)","(1, 3, 5)",15
2,20266005,6,N,0.018822997280918158,0.021373512260010892,50.765154671327714,0.0,50.765154671327714,5076515467.1327715,"(0, 1, 2, 3, 4, 5)","(1, 2, 3, 4)",15
3,20266006,6,E,0.01695496150820451,0.016356825201412448,37.710753386564676,0.27880105156308177,37.4319523350016,134.2604417205084,"(0, 1, 2, 3, 4, 5)","(1, 2, 4)",15
