figure_id,block,method,n_users,trial,ratio,cE,cN,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap,runtime_sec,stage2_calls
E2-cost-ratio,E,Full model,100,1,0.01,0.01,1.0,2245.031782617947,102.20958926371675,64.17211241572312,166.38170167943986,0.2540217005389687,0.7336086580687144,4.033655815501364,3.1868646079185297,10,0.0,4.506263999996008,55
E2-cost-ratio,E,ME,100,1,0.01,0.01,1.0,1971.5254066771042,49.0,0.0,49.0,0.717700466970377,0.9348112717144266,0.5,1.0,17,169.73657901657498,8.898440875025699,0
E2-cost-ratio,E,SingleSP,100,1,0.01,0.01,1.0,1922.5254066771045,342.9833092920941,0.0,342.9833092920941,0.8438485471110837,0.9976804252797793,0.01,1.0,17,202.15287098212482,0.09962208298384212,0
E2-cost-ratio,E,Coop,100,1,0.01,0.01,1.0,2156.5903404988344,68.58379152697012,150.66414869838556,219.24794022535568,0.9159771823301517,0.9432229676443168,0.75875,4.993333333333334,16,18.52204585730523,917.4645948340185,625
E2-cost-ratio,E,Rand,100,1,0.01,0.01,1.0,2300.0599281026657,9.421094761708598,3.043600817485338,12.464695579193936,0.5228149667423938,0.8812175179404299,1.165426145028053,2.155426145028053,2,134.60923301490385,0.38855795800918713,0
E2-cost-ratio,E,Full model,100,2,0.01,0.01,1.0,2137.249418382077,101.00038067618233,57.775429737026975,158.7758104132093,0.3198737200317213,0.8355664562421028,3.1675079273835407,2.728630598602163,11,0.0,1.294557834014995,43
E2-cost-ratio,E,ME,100,2,0.01,0.01,1.0,1910.9110238217286,49.0,0.0,49.0,0.8164726165611144,0.9918533764564381,0.5,1.0,17,138.44674940503845,3.7438048330077436,0
E2-cost-ratio,E,SingleSP,100,2,0.01,0.01,1.0,1861.9110238217286,304.92281736590695,0.0,304.92281736590695,0.36617279988631823,0.4309311105961747,0.01,1.0,17,171.72320085798384,0.07209225001861341,0
E2-cost-ratio,E,Coop,100,2,0.01,0.01,1.0,2056.420642323132,74.87500000000001,119.68940927798317,194.5644092779832,0.9747630207470954,0.9485910715083344,0.75875,3.995,18,11.011770538595798,262.5429599590134,625
E2-cost-ratio,E,Rand,100,2,0.01,0.01,1.0,2204.5889982647777,13.537821142828548,4.51752865176443,18.055349794592978,0.3119520276154962,0.6150376669143005,2.7218132098677805,3.7118132098677807,2,78.58162469510378,0.12366620899410918,0
E2-cost-ratio,E,Full model,100,3,0.01,0.01,1.0,2117.5319612657254,70.38002875796113,55.55591862889966,125.93594738686079,0.2872940644378825,0.7474795286847604,2.459755754462459,2.8581083660797364,9,0.0,0.30082991599920206,37
E2-cost-ratio,E,ME,100,3,0.01,0.01,1.0,1932.4205800881252,49.0,0.0,49.0,0.5212365917530982,0.7608270010987275,0.5,1.0,16,138.8262518908668,1.244692042004317,0
E2-cost-ratio,E,SingleSP,100,3,0.01,0.01,1.0,1883.4205800881252,273.1843355614284,0.0,273.1843355614284,0.9989971715071978,0.9937414190961438,0.01,1.0,16,171.04232367166946,0.024511416006134823,0
E2-cost-ratio,E,Coop,100,3,0.01,0.01,1.0,2081.3744135289135,49.91666666666664,132.82379443953258,182.74046110619923,0.9822165758536064,0.8362168825703421,0.5091666666666667,4.74375,15,18.509689340094674,210.35483987501357,625
E2-cost-ratio,E,Rand,100,3,0.01,0.01,1.0,2173.9550661285666,0.4110969653297717,0.41480525035211735,0.825902215681889,0.4459709056245826,0.9999995086854883,0.0968969119025097,1.0868969119025098,3,139.21099708899598,0.24722316701081581,0
E2-cost-ratio,E,Full model,100,4,0.01,0.01,1.0,2253.194541369541,109.49704499094254,84.90775828646937,194.40480327741193,0.3598248772856199,0.8202112149598231,3.0530648880351468,3.587984556228864,12,0.0,1.1221390420105308,61
E2-cost-ratio,E,ME,100,4,0.01,0.01,1.0,1978.3385207590493,49.00000000000001,0.0,49.00000000000001,0.8938439568058254,0.9433932508803862,0.5,1.0,18,175.37368225850287,1.5601749589841347,0
E2-cost-ratio,E,SingleSP,100,4,0.01,0.01,1.0,1929.3385207590493,361.82776863399783,0.0,361.82776863399783,0.6116674799281776,0.7486303416928154,0.01,1.0,18,200.8418409955586,0.029013207997195423,0
