n_users,method,outer_iters_mean,outer_iters_std,inner_iters_mean,inner_iters_std,total_rounds_mean,total_rounds_std,count
20,Algorithm2,9.5,0.7071067811865476,1.0,0.0,10.5,0.7071067811865476,2
20,PEN,8.0,0.0,328.0,4.242640687119285,336.0,4.242640687119285,2
20,UBRD,3.0,0.0,0.0,0.0,3.0,0.0,2
20,VI,0.0,0.0,123.0,108.89444430272832,123.0,108.89444430272832,2
50,Algorithm2,15.0,1.4142135623730951,1.0,0.0,16.0,1.4142135623730951,2
50,PEN,8.0,0.0,322.0,19.79898987322333,330.0,19.79898987322333,2
50,UBRD,4.5,0.7071067811865476,0.0,0.0,4.5,0.7071067811865476,2
50,VI,0.0,0.0,200.0,0.0,200.0,0.0,2
