trial,seed,n_users,method,outer_iterations,inner_iterations,total_rounds
0,20313001,50,Algorithm2,16,1,17
0,20313001,50,UBRD,4,0,4
0,20313001,50,VI,0,200,200
0,20313001,50,PEN,8,336,344
0,20363001,100,Algorithm2,18,1,19
0,20363001,100,UBRD,6,0,6
0,20363001,100,VI,0,200,200
0,20363001,100,PEN,8,349,357
0,20463001,200,Algorithm2,27,1,28
0,20463001,200,UBRD,5,0,5
0,20463001,200,VI,0,200,200
0,20463001,200,PEN,8,332,340
