iteration,pE,pN,epsilon,dist_to_se,epsilon_delta
0,0.5625532232761117,1.2086088623425089,204.10152601401083,0.48954478671678525,nan
1,0.49245552332260395,6.367970791394018,0.20210829199753277,5.3829084412398025,203.8994177220133
2,0.492455523322604,6.367970791394018,0.0,5.3829084412398025,0.20210829199753277
3,0.492455523322604,6.367970791394018,0.0,5.3829084412398025,nan
