iteration,pE,pN
0,1.1044232628713084,4.18810366411332
1,0.41393898493906056,4.206797800330067
2,0.41393898493906056,4.206797800330067
3,0.41393898493906056,4.206797800330067
4,0.41393898493906056,4.206797800330067
5,0.41393898493906056,4.206797800330067
6,0.41393898493906056,4.206797800330067
7,1.2787721110472918,1.469825491445666
8,1.2787721110472918,1.469825491445666
9,1.2787721110472918,1.469825491445666
10,1.2787721110472918,1.469825491445666
11,1.2787721110472918,1.469825491445666
12,1.2787721110472918,1.469825491445666
13,0.8396152586522446,2.132045194265436
14,0.8396152586522446,2.132045194265436
15,0.8396152586522446,2.132045194265436
16,0.8396152586522446,2.132045194265436
17,0.8396152586522446,2.132045194265436
18,0.8396152586522446,2.132045194265436
19,0.8396152586522446,2.132045194265436
20,0.8396152586522446,2.132045194265436
21,0.8396152586522446,2.132045194265436
22,0.8396152586522446,2.132045194265436
23,0.8396152586522446,2.132045194265436
24,0.8396152586522446,2.132045194265436
25,0.8396152586522446,2.132045194265436
26,0.8396152586522446,2.132045194265436
27,0.8396152586522446,2.132045194265436
28,0.8396152586522446,2.132045194265436
29,0.8396152586522446,2.132045194265436
30,0.8396152586522446,2.132045194265436
31,0.8396152586522446,2.132045194265436
32,0.8396152586522446,2.132045194265436
33,0.8396152586522446,2.132045194265436
34,0.8396152586522446,2.132045194265436
35,0.8396152586522446,2.132045194265436
36,0.8396152586522446,2.132045194265436
37,0.8396152586522446,2.132045194265436
38,0.8396152586522446,2.132045194265436
39,0.8396152586522446,2.132045194265436
40,1.7318737473960812,1.3457066153515058
41,1.7318737473960812,1.3457066153515058
42,1.7318737473960812,1.3457066153515058
43,1.7318737473960812,1.3457066153515058
44,1.7318737473960812,1.3457066153515058
45,1.7318737473960812,1.3457066153515058
46,1.7318737473960812,1.3457066153515058
47,1.7318737473960812,1.3457066153515058
48,1.7318737473960812,1.3457066153515058
49,1.7318737473960812,1.3457066153515058
50,1.7318737473960812,1.3457066153515058
51,1.7318737473960812,1.3457066153515058
