provider,kind,index,price,cost,capacity,demand,utilization,revenue,served_users
ESP1,ESP,1,0.9156494533405691,0.008,45.0,45.0,1.0,40.84422540032561,9
ESP2,ESP,2,0.9010122709558193,0.01,35.0,35.0,1.0,31.185429483453674,8
ESP3,ESP,3,0.7497602084545153,0.013,25.0,25.0,1.0,18.419005211362883,5
NSP1,NSP,1,1.9704299621692267,0.007,45.45454545454546,39.387145278290205,0.8665171961223844,77.33390116370718,11
NSP2,NSP,2,2.4013017960376453,0.01,31.81818181818182,16.766622012222278,0.5269509775269858,40.09405333131146,5
NSP3,NSP,3,0.62,0.014,22.72727272727273,22.72727272727273,1.0,13.772727272727273,6
