n_users,matched_trials,old_mean_true_grid_ne_gap,new_mean_true_grid_ne_gap,delta_mean_new_minus_old,old_median_true_grid_ne_gap,new_median_true_grid_ne_gap,delta_median_new_minus_old,old_max_true_grid_ne_gap,new_max_true_grid_ne_gap,delta_max_new_minus_old
50,10,5.696943351459305,4.979487726246918,-0.7174556252123869,6.195574185012333,4.09022263924631,-2.1053515457660232,14.57021456014747,14.57021456014747,0.0
100,10,5.997272249097591,3.882723320600364,-2.114548928497227,6.101138496906529,3.216990944064932,-2.884147552841597,13.186181209634924,9.709287564177544,-3.4768936454573804
150,10,7.544243972702118,5.465327560325777,-2.0789164123763406,7.750617114945101,4.85947674070912,-2.891140374235981,17.344659261248324,12.169809575602159,-5.174849685646166
200,10,6.052090267431103,6.853078226622219,0.800987959191116,7.5343461961099365,6.210521676558429,-1.3238245195515077,9.81214760404626,11.008447536811246,1.1962999327649868
250,10,6.602601208750374,6.496248621330726,-0.10635258741964826,7.249118777212885,7.865978297015076,0.6168595198021904,12.467369281659614,10.671125558169024,-1.7962437234905906
