iteration,pE,pN,epsilon,dist_to_se,epsilon_delta
0,0.38132571224981565,2.4699789215822823,7.781056300914141,0.8470264341372825,nan
1,0.7048360977794663,8.02615330655113,0.0,6.2224871904611865,7.781056300914141
2,0.7048370387772858,8.026158162663641,0.0,6.222492013172841,0.0
3,0.7048370733887217,8.026158341279386,0.0,6.222492190560051,0.0
4,0.7048370733887217,8.026158341279386,0.0,6.222492190560051,nan
