method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
BO-online,10,5,0,1.3091057673831883,1.0792922986159557,1.0322980818776557,0.45983601526366513,2.1097674048659414,0.0,2.9436273349086797,43.431990735830276,25.332612453793416,44.05775637589832,35.92711146201878,68.42936201255125,0.0,68.74572382868304,11.75893734022975,4.577244642742405,11.655713600106537,9.2769919000566,14.837527600117028,4.841931300237775,18.182522300630808,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,1071.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,1311.0,0.0,1311.0,1311.0,1311.0,1311.0,1311.0
BO-online,15,5,0,1.7816522789943618,1.4368624591923582,1.0448687797549,0.8393600577569273,1.7275311047705273,0.7263780408077878,4.570123411881667,73.53299725678788,15.236542588911709,76.95900330807544,72.53065456991874,81.2640298453129,45.68844532199024,91.2228532386421,27.997124660015107,4.106406669949033,26.072521300055087,25.304403900168836,31.826273599639535,22.988201799802482,33.79422270040959,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,1071.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,1311.0,0.0,1311.0,1311.0,1311.0,1311.0,1311.0
BO-online,20,5,0,2.55766501145433,1.7235356156911064,1.8792958426999817,1.726033078599535,3.0282801996965105,0.533793687638763,5.620922248636859,86.60215175685622,7.085716599764099,84.1741010648181,81.99673236046468,85.46820612757554,80.95723154598899,100.41448768543377,48.29145801980049,11.645652073508522,46.84068949986249,38.58844009973109,51.134129700250924,36.02698679920286,68.86704399995506,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,1071.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,1311.0,0.0,1311.0,1311.0,1311.0,1311.0,1311.0
BO-online,25,5,0,2.5115949790584593,1.8122199874425255,2.7016549605722844,0.9362927775581795,4.426643119755006,0.0,4.493384037406827,89.37750226295447,34.380594124764905,81.4400295268013,76.0188938021391,123.5927991291038,35.93635144593094,129.89943741079716,57.384213080070914,15.136252870322997,52.49491980019957,51.1664736000821,67.54750250000507,35.728867299854755,79.98330220021307,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,1071.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,1311.0,0.0,1311.0,1311.0,1311.0,1311.0,1311.0
BO-online,30,5,0,4.112218753530565,2.914266446711085,3.1403621504957115,3.1211240924991657,4.380836170466878,0.5417827174184069,9.376988636772666,93.35357747104716,11.4882132859555,96.126379357615,85.37829003178786,100.52845592947989,76.00924031245346,108.72552172389965,94.40478473994881,8.438478597430258,91.40294060017914,89.26151050068438,95.5331609994173,85.77469009999186,110.05162149947137,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,1071.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,1311.0,0.0,1311.0,1311.0,1311.0,1311.0,1311.0
