k,mae,rmse,max_abs_diff,argmin_hat_pE,argmin_hat_pN,argmin_real_pE,argmin_real_pN,argmin_price_distance,runtime_sec
2,99.56804986689603,112.3553313378589,198.47500669046946,0.01,0.01,3.6039999999999996,1.208,3.7884086368817185,7.503487943002256
4,101.37464717131078,113.36865505467483,198.47500669046946,0.01,0.01,3.6039999999999996,1.208,3.7884086368817185,7.522395414009225
8,102.80375434186739,114.40246501829759,198.47500669046946,0.01,0.01,3.6039999999999996,1.208,3.7884086368817185,7.621494293998694
16,104.47923814319874,115.54070120779004,198.47500669046946,0.01,0.01,3.6039999999999996,1.208,3.7884086368817185,7.772688494995236
