provider,point_group,boundary_price,pE,pN,candidate_set_size,candidate_set
E,unique,1.05484413636,1.05484413636,0.5,20,5;6;11;12;13;15;16;25;31;38;45;46;48;51;64;65;70;77;90;97
E,unique,1.39264546017,1.39264546017,0.5,21,5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;70;77;90;97
E,unique,1.24958274143,1.24958274143,0.5,22,5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;70;77;90;93;97
E,unique,1.51513760531,1.51513760531,0.5,23,5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;70;75;77;90;93;97
E,unique,1.72982815163,1.72982815163,0.5,24,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;70;75;77;90;93;97
E,unique,1.61830196272,1.61830196272,0.5,25,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;70;75;77;90;93;97
E,unique,2.40350514026,2.40350514026,0.5,26,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;70;75;77;90;93;96;97
E,unique,1.99496460511,1.99496460511,0.5,27,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;70;75;77;82;90;93;96;97
E,unique,2.25528773886,2.25528773886,0.5,28,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;70;75;77;82;90;93;95;96;97
E,unique,3.19613944481,3.19613944481,0.5,29,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;70;75;77;82;90;93;95;96;97
E,unique,2.73605456279,2.73605456279,0.5,30,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;70;74;75;77;82;90;93;95;96;97
E,unique,2.4938371908,2.4938371908,0.5,31,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;70;74;75;77;82;89;90;93;95;96;97
E,unique,4.08860125137,4.08860125137,0.5,32,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,3.77294885078,3.77294885078,0.5,33,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.43873833797,3.43873833797,0.5,34,1;2;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.0752412866,3.0752412866,0.5,35,1;2;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;56;64;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.32834397562,2.32834397562,0.5,15,6;11;13;15;16;31;38;45;48;64;65;70;77;90;97
E,unique,1.48306860502,1.48306860502,0.5,16,6;11;12;13;15;16;31;38;45;48;64;65;70;77;90;97
E,unique,1.07956243961,1.07956243961,0.5,17,6;11;12;13;15;16;25;31;38;45;48;64;65;70;77;90;97
E,unique,0.890352081083,0.890352081083,0.5,18,6;11;12;13;15;16;25;31;38;45;46;48;64;65;70;77;90;97
E,unique,1.31989557031,1.31989557031,0.5,19,5;6;11;12;13;15;16;25;31;38;45;46;48;64;65;70;77;90;97
E,unique,1.22155206018,1.22155206018,0.5,20,5;6;10;11;12;13;15;16;25;31;38;45;46;48;64;65;70;77;90;97
E,unique,1.34629001707,1.34629001707,0.5,21,5;6;10;11;12;13;15;16;25;31;38;45;46;48;64;65;70;77;90;93;97
E,unique,1.29910654171,1.29910654171,0.5,22,5;6;10;11;12;13;15;16;25;31;38;45;46;48;64;65;70;75;77;90;93;97
E,unique,1.55894790516,1.55894790516,0.5,23,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;64;65;70;75;77;90;93;97
E,unique,1.75338579923,1.75338579923,0.5,24,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;64;65;70;75;77;90;93;97
E,unique,2.69732778371,2.69732778371,0.5,25,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;64;65;70;75;77;90;93;96;97
E,unique,2.26340680094,2.26340680094,0.5,26,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;64;65;70;75;77;82;90;93;96;97
E,unique,1.91983992899,1.91983992899,0.5,27,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;64;65;70;75;77;82;90;93;95;96;97
E,unique,2.11955971553,2.11955971553,0.5,28,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;64;65;70;75;77;82;90;93;95;96;97
E,unique,2.96158040422,2.96158040422,0.5,29,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;64;65;70;74;75;77;82;90;93;95;96;97
E,unique,2.70935129179,2.70935129179,0.5,30,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;64;65;70;74;75;77;82;89;90;93;95;96;97
E,unique,2.4922958679,2.4922958679,0.5,31,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;64;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,4.0536378876,4.0536378876,0.5,32,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;64;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.70693550477,3.70693550477,0.5,33,1;2;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;64;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.32914108712,3.32914108712,0.5,34,1;2;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;56;64;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.2535723765,3.2535723765,0.5,14,6;11;13;15;16;31;38;45;48;65;70;77;90;97
E,unique,1.8865974077,1.8865974077,0.5,15,6;11;12;13;15;16;31;38;45;48;65;70;77;90;97
E,unique,1.3461886597,1.3461886597,0.5,16,6;11;12;13;15;16;25;31;38;45;48;65;70;77;90;97
E,unique,1.1134524923,1.1134524923,0.5,17,6;11;12;13;15;16;25;31;38;45;46;48;65;70;77;90;97
E,unique,0.878660367825,0.878660367825,0.5,18,5;6;11;12;13;15;16;25;31;38;45;46;48;65;70;77;90;97
E,unique,1.64936218561,1.64936218561,0.5,19,5;6;10;11;12;13;15;16;25;31;38;45;46;48;65;70;77;90;97
E,unique,1.21075596979,1.21075596979,0.5,20,5;6;10;11;12;13;15;16;25;31;38;45;46;48;65;70;77;90;93;97
E,unique,1.16563795736,1.16563795736,0.5,21,5;6;10;11;12;13;15;16;25;31;38;45;46;48;65;70;75;77;90;93;97
E,unique,1.28653231015,1.28653231015,0.5,22,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;65;70;75;77;90;93;97
E,unique,1.63007141645,1.63007141645,0.5,23,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;65;70;75;77;90;93;97
E,unique,1.70031250876,1.70031250876,0.5,24,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;65;70;75;77;90;93;96;97
E,unique,2.61437838432,2.61437838432,0.5,25,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;65;70;75;77;82;90;93;96;97
E,unique,2.24407751694,2.24407751694,0.5,26,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,1.84518712808,1.84518712808,0.5,27,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,3.24924700433,3.24924700433,0.5,28,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;65;70;74;75;77;82;90;93;95;96;97
E,unique,2.98478563088,2.98478563088,0.5,29,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;55;65;70;74;75;77;82;89;90;93;95;96;97
