provider,fixed_price,exact_count,old_raw_count,old_unique_count,hypothesis_count,match_tol,old_coverage_count,old_coverage_ratio,old_nearest_mean_abs_error,old_nearest_max_abs_error,ordered_match_count,hypothesis_mean_abs_error,hypothesis_max_abs_error
E,0.5,20,479,463,14,0.042569584945,17,0.85,0.0433595365659,0.494827128239,14,5.19453123192,8.34400630518
N,0.5,17,479,375,14,0.042569584945,11,0.647058823529,0.0536731093085,0.361522279207,14,4.35022853105,17.710352466
