trial,seed,n_users,iteration,pE,pN,epsilon,offloading_size
0,20280309,20,0,0.31121708036242746,1.8796664725277639,318.3568257964107,10
0,20280309,20,1,0.7405196529734611,9.624882610535451,0.0,20
0,20280309,20,2,0.7405196529734611,9.624882610535451,374.4624745840238,1
1,20280310,20,0,0.5399977005081282,1.6464036566304965,585.1669189986517,10
1,20280310,20,1,1.9534945254238791,15.634596921083158,0.6405577971665934,20
1,20280310,20,2,1.9534945254238791,15.634596921083158,509.48004361174065,1
2,20280311,20,0,0.6985697044939702,1.496893357312925,130.7763372241011,7
2,20280311,20,1,0.7652746545676986,4.708593069159955,0.053278491546876694,13
2,20280311,20,2,0.7652746545676986,4.708593069159955,0.0,15
2,20280311,20,3,0.7652746545676986,4.708593069159955,156.72931905412565,1
