F,B,trials,price_margin_E_mean,price_margin_E_std,price_margin_N_mean,price_margin_N_std,comp_utilization_mean,comp_utilization_std,band_utilization_mean,band_utilization_std,offloading_ratio_mean,offloading_ratio_std,offloading_size_mean,offloading_size_std,social_cost_mean,social_cost_std,joint_revenue_mean,joint_revenue_std,restricted_gap_mean,restricted_gap_std,runtime_sec_mean,runtime_sec_std
20.0,20.0,10,4.22340200507019,0.4628703279291336,3.159399854954464,3.0221228042763224,0.6264635789136592,0.1303705046058382,0.8373674971845189,0.23745056414851917,0.1,0.02529822128134704,5.0,1.2649110640673518,1153.879781465228,79.76662073369195,93.3722700735042,26.577884860577345,1.695041980971503,3.4257798134167055,0.9593993198126555,0.5178942762107025
40.0,20.0,10,4.221816341660914,1.014403271246523,3.010720687490667,2.4549179912779873,0.33283764070000793,0.09935301288779723,0.8701274716409809,0.25911489938862925,0.10400000000000001,0.028,5.2,1.4000000000000001,1152.822265372557,86.21353837972816,93.47233413771664,28.230390193365174,0.0,0.0,0.7423338298685849,0.45584219973087753
60.0,20.0,10,3.9412953052124564,0.8154689433431255,3.1450021787787046,2.3962266031121433,0.23795110943293918,0.06876320304552691,0.8693406103948931,0.25891441067773374,0.10800000000000001,0.029933259094191533,5.4,1.4966629547095764,1151.8238656379249,86.05726153076489,96.6064029491391,28.896004315979056,0.0,0.0,0.8606208801269531,0.7275000329055253
80.0,20.0,10,3.9412953052124564,0.8154689433431255,3.1450021787787046,2.3962266031121433,0.17846333207470438,0.05157240228414519,0.8693406103948931,0.25891441067773374,0.10800000000000001,0.029933259094191533,5.4,1.4966629547095764,1151.8238656379249,86.05726153076489,96.6064029491391,28.896004315979056,0.0,0.0,0.849143770057708,0.6800575213064821
100.0,20.0,10,3.9412953052124564,0.8154689433431255,3.1450021787787046,2.3962266031121433,0.1427706656597635,0.04125792182731615,0.8693406103948931,0.25891441067773374,0.10800000000000001,0.029933259094191533,5.4,1.4966629547095764,1151.8238656379249,86.05726153076489,96.6064029491391,28.896004315979056,0.0,0.0,0.8412733401171864,0.5887005208111017
120.0,20.0,10,3.9412953052124564,0.8154689433431255,3.1450021787787046,2.3962266031121433,0.11897555471646959,0.034381601522763455,0.8693406103948931,0.25891441067773374,0.10800000000000001,0.029933259094191533,5.4,1.4966629547095764,1151.8238656379249,86.05726153076489,96.6064029491391,28.896004315979056,0.0,0.0,0.8348909098654985,0.6125425119797914
20.0,40.0,10,4.719684003476296,0.9894464501358388,1.7605050844246601,0.9804946303797343,0.827276775352978,0.12230922892664181,0.7682802709318755,0.2272221417923259,0.14000000000000004,0.025298221281347035,7.0,1.2649110640673518,1142.4895442971479,80.11163259562204,123.5535321245602,23.483028705966305,1.4586428491836614,4.375928547550984,0.8350240697152913,0.40135449997900846
40.0,40.0,10,3.710557535670187,1.4361657448002307,1.858490968185268,0.4667829434426764,0.5810676116478948,0.18206865375788425,0.8146765671357349,0.17380862160618019,0.16399999999999998,0.026532998322843195,8.2,1.32664991614216,1131.9352516981917,86.97932340379919,135.2034663619363,16.72703472049058,1.4586428491836614,4.375928547550984,1.1261412498541177,0.4796943566900495
60.0,40.0,10,3.540270104091275,1.9545993779508735,1.977755581861341,0.7789027196425312,0.4147101441795157,0.11392337565048366,0.8454580483652402,0.1921279262630648,0.16999999999999998,0.022360679774997894,8.5,1.118033988749895,1129.9295639679829,87.56339696378855,139.39656463729006,18.971756435504528,0.0,0.0,1.4613562600687147,0.6763604471771228
80.0,40.0,10,3.6113303975693745,1.9942256846536555,1.8812547734636282,0.7974166344386477,0.31060463689090934,0.08387015524337808,0.874921230999119,0.20382133370255517,0.16999999999999998,0.022360679774997894,8.5,1.118033988749895,1128.0197683424824,90.38831348930816,138.82842393601985,18.026212385573896,0.0,0.0,1.3012517900206149,0.3474166717858773
100.0,40.0,10,3.524685127665033,1.9930305438513596,1.9278263378525786,0.8179493780951346,0.2510081681244226,0.06593054676399843,0.8677785065507239,0.20890163687220814,0.16999999999999998,0.022360679774997894,8.5,1.118033988749895,1127.5466598187954,90.24021230811788,138.5922023053441,18.293769913050948,0.0,0.0,0.9423674198798835,0.2595840651205902
120.0,40.0,10,3.524685127665033,1.9930305438513596,1.9278263378525786,0.8179493780951346,0.20917347343701884,0.054942122303332015,0.8677785065507239,0.20890163687220814,0.16999999999999998,0.022360679774997894,8.5,1.118033988749895,1127.5466598187954,90.24021230811788,138.5922023053441,18.293769913050948,0.0,0.0,1.2254760499112307,0.30484249139729785
20.0,60.0,10,5.029320677583542,1.0415119223783407,1.6091485226718454,1.0506918947353496,0.8263042968540925,0.12026176090557815,0.6376368545881566,0.26925370507670066,0.146,0.031048349392520047,7.3,1.5524174696260025,1141.0511740324398,78.82424762162492,130.62335526216793,30.62658124179483,0.0,0.0,1.1630451001226902,0.7055744913658932
40.0,60.0,10,3.597693760833283,1.1767005249851756,1.2629199491197276,0.3588420472882361,0.6812113669983784,0.18395387247369233,0.8358683172154475,0.191209754654077,0.196,0.034409301068170514,9.8,1.7204650534085253,1107.177831443065,75.83667110492975,151.0036325117552,21.594667145687456,0.0,0.0,1.935325939860195,0.9898691938390438
60.0,60.0,10,3.2709799284782557,1.2794038569391524,1.2550695169846944,0.18834538624086805,0.5311325740815969,0.12115210714011293,0.8920835959981652,0.12614592331976696,0.21799999999999997,0.028913664589601918,10.9,1.445683229480096,1099.7407014163484,77.02848540508602,162.355188808165,16.868388623347965,0.0,0.0,2.668570340052247,0.9932661490430299
80.0,60.0,10,3.196957493913936,1.3110277979169573,1.2347427136378262,0.2017358962478857,0.41215785564080265,0.10288640756680364,0.9171740701585168,0.12725509092972517,0.22199999999999998,0.028913664589601925,11.1,1.445683229480096,1095.9201886701758,76.24262126597093,162.84400594566267,16.086008550446028,0.0,0.0,2.4262164399959145,0.7357520088718285
100.0,60.0,10,2.953796743627691,0.9190505965645719,1.3560726836068988,0.42210481385538035,0.3401691998598263,0.0708196818288993,0.9047745996530029,0.1581453524704267,0.22599999999999998,0.02835489375751565,11.3,1.4177446878757827,1094.798533525588,77.97964500079244,165.16285299972387,18.871511737814966,0.0,0.0,2.445878039766103,0.7582922597521166
120.0,60.0,10,2.91866143757657,0.717107861363276,1.3795892529013014,0.5091778626574486,0.2800428516901177,0.05052894075897788,0.899453000590729,0.16344795736886855,0.22399999999999998,0.028000000000000004,11.2,1.4000000000000001,1095.3193460748932,76.42715727013974,164.55279592471317,18.574266010332643,0.0,0.0,2.220969540067017,0.6956380497166809
20.0,80.0,10,5.581090755166008,1.1738716855401028,1.2471680044583873,1.2570463439970907,0.8733283650961171,0.10598448552234661,0.7369069110748374,0.327040129286474,0.16399999999999998,0.026532998322843195,8.2,1.3266499161421599,1131.474280676886,84.76745092527985,139.55265617012327,25.03212824676551,1.092533821501739,3.277601464505217,1.2540566802024842,0.7324998834522249
40.0,80.0,10,3.8174687193513024,1.25058393313181,0.9605957288908611,0.3904945574339537,0.7759649624134378,0.15249596142711672,0.8992807911392401,0.1785899775088216,0.23599999999999993,0.030724582991474434,11.8,1.5362291495737217,1097.519292838784,83.90590162867097,175.22111801053052,18.936737701922574,0.0,0.0,2.767796680238098,0.8110512455177605
60.0,80.0,10,3.183751638976683,0.8758762410174072,1.147904384994145,0.5287448772916896,0.6027676421025215,0.11800253510252717,0.8787123921773986,0.18864808106988468,0.254,0.032310988842807024,12.7,1.6155494421403511,1089.7390575820843,81.64519181262467,182.8744450961191,17.982590393093567,0.0,0.0,2.7075843999162315,0.6627365582932732
80.0,80.0,10,3.22145550034746,1.1229096006765718,1.0414239195973107,0.22668439367458554,0.4625436533422844,0.09931073735438144,0.889963099000376,0.15717887721248672,0.258,0.03280243893371345,12.9,1.6401219466856725,1086.3494956449154,79.2643916133371,182.6228991814871,16.013273238536513,0.0,0.0,2.633860609959811,0.6637106553024535
100.0,80.0,10,3.0485198843444445,1.185323083125026,1.0823471862168466,0.22730966234088718,0.397136751052541,0.12054237033499351,0.9027002727906013,0.16043281254038375,0.26399999999999996,0.0417612260356422,13.2,2.08806130178211,1081.144911285383,77.83650010627477,184.85630688080053,20.14727553974233,0.0,0.0,2.8341841399669647,0.8624150227411395
120.0,80.0,10,3.0174700918997615,1.0871282924213006,1.0815604633039257,0.24225720603454337,0.32428978683518317,0.08011121426061724,0.8967918881606292,0.16257298366852832,0.262,0.039446165846632034,13.1,1.972308292331602,1081.065088617755,77.10334407461767,183.3794312871131,18.63832623143901,0.0,0.0,2.612526149954647,0.6335051901982225
20.0,100.0,10,5.640365719869503,1.1496482006663329,1.225254529377302,1.26979748070604,0.8881925696845592,0.10483377850610132,0.6533090009238094,0.3109902405210334,0.16999999999999998,0.03130495168499705,8.5,1.5652475842498528,1130.7978823355602,83.83259292305007,144.27348569185412,28.472883009621555,1.092533821501739,3.277601464505217,0.8550716400146484,0.29900117804082843
