trial,seed,n_users,variant,epsilon,runtime_sec,stage2_oracle_calls,outer_iterations
0,20302001,20,Full,87.0997124896375,107.22128495801007,2,4
0,20302001,20,NoPrio,87.0997124896375,26.529635051003424,2,14
0,20302001,20,NeighborhoodOnly,87.0997124896375,64.82821683998918,2,3
0,20302001,20,DevTargetOnly,493.72668283394717,0.8991562230221462,2,1
0,20302001,20,RandomRestart,512.5774939883905,0.2514663160254713,2,2
