figure_id,block,method,n_users,trial,ratio,cE,cN,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap,runtime_sec,stage2_calls
E2-cost-ratio,E,Full model,100,1,0.001,0.01,10.0,2288.401317637078,20.536445957670185,19.685386553795038,40.22183251146522,0.21030316773999838,0.10930070303993482,0.9865162445417734,14.502575465274605,4,0.0,0.09640716697322205,49
E2-cost-ratio,E,ME,100,1,0.001,0.01,10.0,2224.9829480568833,24.228431634268077,0.0,24.228431634268077,0.9983000249216134,0.3593020241629459,0.25269689501580944,10.0,10,47.738102780492575,15.412397291976959,0
E2-cost-ratio,E,SingleSP,100,1,0.001,0.01,10.0,2218.167829199692,23.83791974280787,0.0,23.83791974280787,0.587789839231441,0.04541218037135723,0.01,10.0,5,58.23089711886022,0.007910957996500656,0
E2-cost-ratio,E,Coop,100,1,0.001,0.01,10.0,2289.6332174867634,22.58534274553823,30.081300469614455,52.66664321515269,0.30164063766995963,0.1255479986210954,0.75875,15.99,5,0.04070363496525431,85.36148466699524,625
E2-cost-ratio,E,Rand,100,1,0.001,0.01,10.0,2306.5087159691984,1.1165932023553438,0.6018618054651371,1.7184550078204808,0.36388377938460986,0.1951807567530911,0.735362993806399,10.7253629938064,1,30.054626560142044,0.11172700001043268,0
E2-cost-ratio,E,Full model,100,2,0.001,0.01,10.0,2192.381621603131,13.836904240571698,20.408114944611523,34.245019185183224,0.26663543267758494,0.11773433115512003,0.5289446916945677,14.333509763970833,4,0.0,0.2121347920037806,85
E2-cost-ratio,E,ME,100,2,0.001,0.01,10.0,2148.3528073199304,27.819843867221262,0.0,27.819843867221262,0.9653102285692199,0.3421539643844357,0.2881984386722127,10.0,11,35.65860556504213,12.49622274999274,0
E2-cost-ratio,E,SingleSP,100,2,0.001,0.01,10.0,2165.2083337464514,5.326428174417771,0.0,5.326428174417771,0.30042669432457736,0.07033317539109667,0.01,10.0,3,52.676229617823594,0.0060141249850858,0
E2-cost-ratio,E,Coop,100,2,0.001,0.01,10.0,2190.2385982785026,12.37300452692261,31.1823777984208,43.55538232534341,0.49574642511876904,0.13014347996002001,0.25958333333333333,15.99,5,5.716055986993744,86.68649683301919,625
E2-cost-ratio,E,Rand,100,2,0.001,0.01,10.0,2207.65938289023,4.598423569915626,1.5344795895052246,6.1329031594208505,0.2617539873361232,0.1574754648717967,0.9311279754623127,10.921127975462312,2,18.329211511564502,0.17163491700193845,0
E2-cost-ratio,E,Full model,100,3,0.001,0.01,10.0,2179.5677467305595,13.625188361761577,10.626149823280757,24.251338185042336,0.30193784404587265,0.13762568957713187,0.46125805295514843,11.930262775781655,4,0.0,0.09411887501482852,34
E2-cost-ratio,E,ME,100,3,0.001,0.01,10.0,2142.077714845219,9.082692789499994,0.0,9.082692789499994,0.9957368797721364,0.27034314529351505,0.10121579178204658,10.0,6,27.743424678086885,23.61008437498822,0
E2-cost-ratio,E,SingleSP,100,3,0.001,0.01,10.0,2178.0328379784924,8.35159650488707,0.0,8.35159650488707,0.9522354799620419,0.05464489799221095,0.01,10.0,1,33.8950283521103,0.004534209001576528,0
E2-cost-ratio,E,Coop,100,3,0.001,0.01,10.0,2176.6640769795936,12.585519627630449,19.2644594735247,31.84997910115515,0.5042612204726724,0.17542382279731092,0.25958333333333333,12.745416666666667,5,1.322577450632874,82.25313983400702,625
E2-cost-ratio,E,Rand,100,3,0.001,0.01,10.0,2197.6049156495533,1.438734410241743,0.9536610438783377,2.3923954541200807,0.3194456131514025,0.19202570175636305,0.6468358606307947,10.636835860630795,1,19.65743993156469,0.12925158301368356,0
E2-cost-ratio,E,Full model,100,4,0.001,0.01,10.0,2297.554568551864,28.76550943262005,26.213254018258315,54.97876345087836,0.5832227189392922,0.22856169537175508,0.5032165448721873,12.867196751365372,8,0.0,0.39206879198900424,46
E2-cost-ratio,E,ME,100,4,0.001,0.01,10.0,2254.899692565489,39.6880274675349,0.0,39.6880274675349,0.9989366363823687,0.41227615757966946,0.40730275196697546,10.0,12,33.24017895467795,29.83273491699947,0
E2-cost-ratio,E,SingleSP,100,4,0.001,0.01,10.0,2262.3475876913276,15.871921801106538,0.0,15.871921801106538,0.7333939219812067,0.20334962232623396,0.01,10.0,5,56.363114048214634,0.011356665985658765,0
E2-cost-ratio,E,Coop,100,4,0.001,0.01,10.0,2293.273275523906,20.26698131800081,36.86977152867478,57.13675284667559,0.8120326404541225,0.2172430807935272,0.25958333333333333,14.242916666666666,8,8.619044285636207,96.83508175000316,625
E2-cost-ratio,E,Rand,100,4,0.001,0.01,10.0,2332.1662893930466,2.2140602803460463,0.4998139740615461,2.7138742544075924,0.37787994982503625,0.23092012817007138,0.9028474912672132,10.892847491267213,1,36.593294238122844,0.10098950000246987,0
E2-cost-ratio,E,Full model,100,5,0.001,0.01,10.0,2222.569716060071,3.6165845499194473,7.780225680542939,11.396810230462386,0.08906960107130654,0.02146658666235813,0.416040277088938,19.060855601912763,1,0.0,0.03660166700137779,30
E2-cost-ratio,E,ME,100,5,0.001,0.01,10.0,2186.930324157192,8.037755516060876,0.0,8.037755516060876,0.9955245960288734,0.16702862830876225,0.09073889432891273,10.0,6,21.50377488878836,15.77109029199346,0
E2-cost-ratio,E,SingleSP,100,5,0.001,0.01,10.0,2193.181943578538,22.182560665204655,0.0,22.182560665204655,0.9514360153968963,0.05770549502145237,0.01,10.0,2,24.879530244670708,0.0051542499859351665,0
