step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_objective
0,0,0,0,0,184.3400191,-1.4
1,1.10738255,1.10738255,1.10738255,1.10738255,128.8590604,138.7158373
2,0,2.11409396,0,2.11409396,136.3670062,83.16375839
3,0,3.22147651,0,3.22147651,120.4355255,127.4590604
4,0,2.11409396,0,2.11409396,136.3670062,83.16375839
