figure_id,block,method,n_users,trial,social_cost,esp_revenue,nsp_revenue,joint_revenue,comp_utilization,band_utilization,final_pE,final_pN,offloading_size,restricted_gap
E2,E,Full model,20,1,413.68337931653207,54.43884062211086,43.46678603843787,97.90562666054873,0.2934207598959552,0.9148666069151254,1.86531659864198,1.1977902666325646,9.0,0.0
E2,E,ME,20,1,312.1727182321275,33.09690324194164,19.6,52.69690324194164,0.5285098958073255,0.5574229909973057,0.3413676850054143,0.5,13.0,66.95899185333397
E2,E,SingleSP,20,1,259.43599913890307,216.35895615000496,0.0,216.35895615000496,0.9455173038348806,0.047862175030753996,0.01,0.01,13.0,106.06181311781987
E2,E,Coop,20,1,374.0729391297481,24.95833333333334,83.03983486819067,107.99816820152401,0.9333511262228313,0.8086550398914765,0.25958333333333333,2.25625,12.0,11.400033506029423
E2,E,Rand,20,1,412.0941650247536,29.76895154762167,15.544091699565755,45.31304324718742,0.4743981792218802,0.9638133600687929,0.5449180326543067,0.5449180326543067,7,51.21283631199596
E2,E,Full model,20,2,377.77319878595995,50.09615152269639,20.57846778605124,70.67461930874762,0.13035069781074735,0.9034356359717167,3.8531824580969745,0.524461694651281,5.0,0.0
E2,E,ME,20,2,270.7013905235996,17.0624293353099,19.6,36.6624293353099,0.6014114568062353,0.6908805534745296,0.1810101386927484,0.5,9.0,51.520200412071425
E2,E,SingleSP,20,2,234.00046880227967,182.6228136593941,0.0,182.6228136593941,0.2072986361014808,0.2649554035819237,0.01,0.01,9.0,79.42338839226406
E2,E,Coop,20,2,327.86357693075246,20.794459445312654,65.66527153802004,86.45973098333269,0.8331669894616088,0.9396413766470788,0.25958333333333333,1.7570833333333336,9.0,15.5497454243975
E2,E,Rand,20,2,389.33811940243066,24.226414179444998,10.700437037873176,34.92685121731817,0.41659133500672285,0.9230607927670433,0.3412616803182106,0.3412616803182106,5,53.67755896693572
E2,E,Full model,20,3,522.9872101630888,43.56762947233735,23.95345950460317,67.52108897694052,0.059300660162088584,0.16820760004926896,7.356904630277709,3.5701036305117997,3.0,0.0
E2,E,ME,20,3,320.814494042933,25.440026836227172,19.599999999999998,45.04002683622717,0.6348216280163917,0.64189140900265,0.26440026836227176,0.5,11.0,61.941285286985085
E2,E,SingleSP,20,3,275.7744672067058,269.8671394483233,0.0,269.8671394483233,0.053658009531160344,0.04483866032044602,0.01,0.01,11.0,89.56391154870967
E2,E,Coop,20,3,400.46396167426894,35.02066602425917,73.0832794986891,108.10394552294827,0.7015826248599499,0.9150661039067917,0.5091666666666667,2.006666666666667,10.0,29.351681753072107
E2,E,Rand,20,3,486.7230936282154,12.99574042512279,4.618152701438969,17.61389312656176,0.7124688001071432,0.7580632933933688,0.1438402305813285,0.1438402305813285,4,79.00759932739795
E2,E,Full model,20,4,410.8131242491847,64.60294149948989,42.33949559843575,106.94243709792563,0.2814173166179376,0.9988908148847948,2.3056277984555296,1.0696627521126745,9.0,0.0
E2,E,ME,20,4,290.8890588600228,35.451876412909876,19.600000000000005,55.05187641290988,0.5085716466096192,0.5463627490322475,0.3649534284342901,0.5,13.0,73.13580467435787
E2,E,SingleSP,20,4,235.79377074372104,277.16481482628046,0.0,277.16481482628046,0.0717195228934929,0.17924051014953596,0.01,0.01,13.0,116.08976366843262
E2,E,Coop,20,4,382.7740100539434,39.13139625023568,87.4238906483438,126.55528689857948,0.7839344824755062,0.8756984038231431,0.5091666666666667,2.5058333333333334,12.0,17.47666840851877
E2,E,Rand,20,4,431.12834795724024,42.20834671054412,17.420329647022044,59.628676357566164,0.4218068763971284,0.6074771494075235,0.561812566656663,0.561812566656663,8,64.27281714101849
E2,E,Full model,20,5,478.3446068396729,51.02648420611566,44.90369878382674,95.93018298994241,0.17476708592276474,0.8886742454125096,2.9296850160141665,1.2732215633463952,6.0,0.0
E2,E,ME,20,5,348.10092056268996,21.402995694536802,19.599999999999994,41.00299569453679,0.4467680141374511,0.9345978970683619,0.22402995694536806,0.49999999999999994,10.0,80.41912668774383
E2,E,SingleSP,20,5,307.0979248681532,231.6754836114198,0.0,231.6754836114198,0.07067971388785846,0.08868637214705846,0.01,0.01,10.0,110.22091691423995
E2,E,Coop,20,5,454.6594636213514,43.33292254214029,79.86666666666669,123.19958920880697,0.434052646498901,0.9672225584217985,1.0083333333333333,2.006666666666667,9.0,1.9008118613988572
E2,E,Rand,20,5,469.9215709418639,20.467521672140123,10.945636183204375,31.413157855344497,0.4530132957862747,0.6713964074126333,0.3349309006930903,0.3349309006930903,7,76.53670033383662
E2,E,Full model,20,6,421.9868924412136,37.592570206910615,29.459255036865763,67.05182524377638,0.12040136481317378,0.8359308427214358,3.1322711025944616,0.8910314661006806,4.0,0.0
E2,E,ME,20,6,325.03981196723703,13.511639561792322,19.6,33.11163956179232,0.6862596755264093,0.6746711995726286,0.1455204557474507,0.5,8.0,53.54441112293069
E2,E,SingleSP,20,6,291.8225579184847,160.25324578856075,0.0,160.25324578856075,0.5555128937705109,0.04528311683358191,0.01,0.01,7.0,82.79925587773556
E2,E,Coop,20,6,387.05258981958036,23.199330886920414,59.90000000000001,83.09933088692043,0.41513980415918217,0.9054219149113187,0.5091666666666667,1.5075,7.0,12.739199802891775
E2,E,Rand,20,6,444.9428431966143,10.993543431104673,12.412509225002331,23.406052656107004,0.2446531470445055,0.8792091460003245,1.0682042211718372,1.0682042211718372,3,39.37078403302898
E2,E,Full model,20,7,436.9754664466909,59.009965754432336,28.89192728507239,87.90189303950473,0.12022218416705323,0.8797351290583698,4.023400642200384,0.7322981821268097,6.0,0.0
E2,E,ME,20,7,314.16941296001113,21.969549135918122,19.6,41.56954913591812,0.4994754664100248,0.6192973288021676,0.2301200507011143,0.5,10.0,66.74784354745015
E2,E,SingleSP,20,7,272.5574934974472,193.650411723804,0.0,193.650411723804,0.24776655026478772,0.4342944275139187,0.01,0.01,10.0,98.31275110300176
E2,E,Coop,20,7,398.02590179697404,36.35930531902918,67.8345613250412,104.19386664407037,0.48560007103878694,0.970682966730854,0.75875,1.7570833333333336,9.0,4.488439995909829
E2,E,Rand,20,7,419.7022591395683,1.8587725472637873,0.7017252671556221,2.5604978144194095,0.7683589558541688,0.34674752425089606,0.04578813200261438,0.04578813200261438,6,95.42808441588151
E2,E,Full model,20,8,385.3059881409514,55.6319810201756,38.066531742980814,93.69851276315642,0.2371617331393534,0.957019838135954,2.114936238665683,0.9616632935745204,8.0,0.0
E2,E,ME,20,8,280.332228411776,23.105278461704987,19.6,42.70527846170499,0.6769102790089403,0.8406966320992344,0.24144381689700503,0.5,10.0,62.55780371347378
E2,E,SingleSP,20,8,237.58791564284894,201.56102128915356,0.0,201.56102128915356,0.9843240175682217,0.11013729007924825,0.01,0.01,10.0,92.25230867167424
E2,E,Coop,20,8,388.5131916388017,53.17100993382321,57.201320260124824,110.37233019394803,0.3550651748502384,0.95494691586185,1.5075,1.5075,9.0,0.20711860549939587
E2,E,Rand,20,8,353.3563898049751,7.210921456373449,3.144947030040193,10.355868486413643,0.7527253824492794,0.2933829359029521,0.11295442593696729,0.11295442593696729,9,83.64479806753354
E2,E,Full model,20,9,468.07206038941894,56.76400529016947,61.911194457590746,118.67519974776022,0.26858767287297924,0.8917308842639351,2.1234255598176452,1.7457028771268348,8.0,0.0
E2,E,ME,20,9,329.3892513480296,22.009804026666725,19.6,41.60980402666672,0.6063982243030982,0.9000429060131925,0.23049974685726127,0.5,10.0,85.15912573860743
E2,E,SingleSP,20,9,287.7393531641955,233.20284935598465,0.0,233.20284935598465,0.21868169668710713,0.30578858304897244,0.01,0.01,10.0,113.49309139531428
