n_users,iteration,social_cost_mean,social_cost_std,count
20,0,444.5634034900479,38.11614407029586,3
20,1,412.5184012313064,29.434284741711632,3
20,2,387.6035771051166,26.659952174890005,3
20,3,366.52846479202714,26.075033222696845,3
20,4,348.50789918589993,26.514857287912857,3
20,5,333.3240587834,26.349374105015986,3
20,6,321.95419022189554,23.540577101709758,3
20,7,314.7315333449693,19.539900396936467,3
20,8,309.9883957786969,15.26672227474194,3
20,9,320.69945887164647,0.0,1
20,10,320.69945887164647,0.0,1
50,0,1234.0958737098204,36.759258846459545,3
50,1,1197.6444211984801,34.46131162660471,3
50,2,1166.7347328884036,34.30021597150527,3
50,3,1137.6415452832196,35.06957594824357,3
50,4,1112.3976779175255,35.67186846670971,3
50,5,1087.8863158432168,36.46795711794232,3
50,6,1066.0403619267156,38.12662350921957,3
50,7,1049.2607179995298,40.11274737158881,3
50,8,1034.0432789428667,42.921783177411235,3
50,9,1022.7917021475981,43.358367946484236,3
50,10,1014.6837972170389,45.56429362255228,3
50,11,1008.4933470714908,48.36448388535118,3
50,12,1005.0675978619138,49.6855600574923,3
50,13,980.8925396893474,45.80646898970864,2
50,14,978.9787585346294,44.445788155610586,2
50,15,978.8859495963463,44.314536496381265,2
