Q,trial,final_pE,final_pN,nearest_heatmap_grid_ne_gap,direct_grid_ne_gap,direct_esp_gain,direct_nsp_gain,best_response_pE_on_grid,best_response_pN_on_grid,current_esp_revenue,current_nsp_revenue,current_joint_revenue,best_esp_revenue_on_grid,best_nsp_revenue_on_grid,offloading_size,audit_runtime_sec
1,1,3.8700666590085078,2.239708283853868,0.0,9.773801447136691,9.773801447136691,5.324469743172813,3.825503356,2.214765101,123.83748160108681,82.86613429682718,206.703615897914,133.6112830482235,88.19060404,12,88.96534083306324
2,1,3.3359722468505133,2.7014025843128797,11.03677363,3.094397260679912,3.094397260679912,0.0,3.120805369,2.7014025843128797,124.7219794157666,99.51053459545469,224.23251401122127,127.81637667644651,99.51053459545469,13,89.24972612503916
3,1,3.3359722468505133,2.7014025843128797,11.03677363,3.094397260679912,3.094397260679912,0.0,3.120805369,2.7014025843128797,124.7219794157666,99.51053459545469,224.23251401122127,127.81637667644651,99.51053459545469,13,0.00019566703122109175
4,1,3.231871855652794,2.5675158198045165,5.266507063,0.0,0.0,0.0,3.231871855652794,2.5675158198045165,130.0852935368727,101.77483286187744,231.86012639875014,130.0852935368727,101.77483286187744,14,89.01888991589658
5,1,3.587099557370865,2.474645911411589,10.05710453,0.5161349448047474,0.5161349448047474,0.0,3.22147651,2.474645911411589,129.3584790342061,95.21010652135527,224.56858555556138,129.87461397901086,95.21010652135527,13,87.45652875001542
6,1,1.997829662297771,3.370831815782325,0.4538327398,1.0358927131098028,0.9104690121595667,1.0358927131098028,2.617449664,3.422818792,116.07280409341624,134.05567109012128,250.12847518353752,116.9832731055758,135.09156380323108,16,96.37866383302025
