n_users,trial,variant,iterations,final_epsilon,dist_to_true_se,runtime_sec,evaluated_candidates,final_pE,final_pN,stopping_reason
8,0,baseline_two_stage_boundary,9,4.958309318681131e-10,2.810463616627172,25.20831337297568,87,0.6997885350467823,4.231999498495659,no_improving_candidate
8,0,full_search_boundary,9,4.958309318681131e-10,2.810463616627172,21.623699095012853,87,0.6997885350467823,4.231999498495659,no_improving_candidate
8,0,full_search_refined,9,3.4708591556409374e-10,2.810463616627172,22.219432218989823,87,0.6997885350467823,4.231999498495659,no_improving_candidate
8,1,baseline_two_stage_boundary,9,7.133849067031406e-10,5.632115207150794,18.00790974899428,88,0.19740399782489038,2.1648341821974273,no_improving_candidate
8,1,full_search_boundary,9,7.133849067031406e-10,5.632115207150794,17.88505071902182,88,0.19740399782489038,2.1648341821974273,no_improving_candidate
8,1,full_search_refined,9,4.993694346921984e-10,5.632115207150794,18.429433195007732,88,0.19740399782489038,2.1648341821974273,no_improving_candidate
12,0,baseline_two_stage_boundary,8,1.3112355645716889e-09,5.540423457961785,30.015853811986744,132,0.5246112618933869,3.8514102197802735,no_improving_candidate
12,0,full_search_boundary,8,1.3112355645716889e-09,5.540423457961785,29.810123317991383,132,0.5246112618933869,3.8514102197802735,no_improving_candidate
12,0,full_search_refined,8,9.17850684345467e-10,5.540423457961785,32.93738290498732,132,0.5246112618933869,3.8514102197802735,no_improving_candidate
12,1,baseline_two_stage_boundary,8,1.1542340416781371e-09,0.7925228679218114,40.91280806000577,131,1.6513630453186254,4.623909506867752,no_improving_candidate
12,1,full_search_boundary,8,1.1542340416781371e-09,0.7925228679218114,40.848018559016054,131,1.6513630453186254,4.623909506867752,no_improving_candidate
12,1,full_search_refined,8,8.079439339780947e-10,0.7925228679218114,42.49369193200255,131,1.6513630453186254,4.623909506867752,no_improving_candidate
