n_users,empirical_ratio_mean,empirical_ratio_std,theorem2_bound_mean,theorem2_bound_std,v_optimal_mean,v_empty_mean,count
6,0.824604639040154,0.21069692464005807,2.048609560314084,1.956149711774836,659359.0777883448,135.32995363191972,20
8,0.8750258192164221,0.09847077786976206,1.8161423124144906,0.8915910419162193,142.5926644148531,189.1426620902117,20
10,0.9082708267171211,0.10518785684386948,9.087596386065142,17.329089854116546,161.95608331583125,247.22146990059622,20
12,0.8983655746936083,0.0636645156823766,3.435885382172787,5.42584430392117,199.06510966761422,268.5310435216987,20
14,0.8873191435085326,0.07730169399633559,1.9709637722420577,0.7436101059438798,250.07269889682863,331.4676979299776,20
16,0.8761436839381105,0.21456359258186217,2.529564252547778,1.219061271628868,2.6580750223703345e+34,377.15455516832935,20
