iteration,pE,pN,epsilon,dist_to_se,epsilon_delta
0,0.27307594831880416,2.0218600335502774,419.64317347156066,1.2925183901197022,nan
1,1.2776924492962702,11.466801490584585,0.0,10.510211073520868,419.64317347156066
2,1.2776924492962702,11.466801490584585,0.0,10.510211073520868,nan
