figure_id,block,n_users,iteration,social_cost,centralized_social_cost
A1,A,50,1,1222.2182525631306,977.4149545654126
A1,A,50,2,1189.0443005467584,977.4149545654126
A1,A,50,3,1156.8887604886488,977.4149545654126
A1,A,50,4,1131.004483818526,977.4149545654126
A1,A,50,5,1107.40858338924,977.4149545654126
A1,A,50,6,1107.40858338924,977.4149545654126
A1,A,50,7,1107.40858338924,977.4149545654126
A1,A,50,8,1106.4837357837137,977.4149545654126
A1,A,50,9,1106.4837357837137,977.4149545654126
A1,A,50,10,1106.4837357837137,977.4149545654126
A1,A,50,11,1106.4837357837137,977.4149545654126
A1,A,50,12,1106.4837357837137,977.4149545654126
A1,A,50,13,1106.4837357837137,977.4149545654126
A1,A,50,14,1106.4837357837137,977.4149545654126
A1,A,50,15,1106.4837357837137,977.4149545654126
A1,A,50,16,1106.4837357837137,977.4149545654126
A1,A,50,17,1106.4837357837137,977.4149545654126
A1,A,50,18,1106.4837357837137,977.4149545654126
A1,A,50,19,1106.4837357837137,977.4149545654126
A1,A,50,20,1106.4837357837137,977.4149545654126
A1,A,50,21,1106.4837357837137,977.4149545654126
A1,A,50,22,1106.4837357837137,977.4149545654126
A1,A,50,23,1106.4837357837137,977.4149545654126
A1,A,50,24,1106.4837357837137,977.4149545654126
A1,A,50,25,1106.4837357837137,977.4149545654126
A1,A,50,26,1098.661756927199,977.4149545654126
A1,A,50,27,1098.661756927199,977.4149545654126
A1,A,50,28,1098.661756927199,977.4149545654126
A1,A,50,29,1098.661756927199,977.4149545654126
A1,A,50,30,1098.661756927199,977.4149545654126
A1,A,50,31,1098.661756927199,977.4149545654126
A1,A,50,32,1098.661756927199,977.4149545654126
A1,A,50,33,1098.661756927199,977.4149545654126
A1,A,50,34,1098.661756927199,977.4149545654126
A1,A,50,35,1098.661756927199,977.4149545654126
A1,A,50,36,1098.661756927199,977.4149545654126
A1,A,50,37,1092.9108430621257,977.4149545654126
A1,A,50,38,1092.9108430621257,977.4149545654126
A1,A,50,39,1092.9108430621257,977.4149545654126
A1,A,50,40,1092.9108430621257,977.4149545654126
A1,A,100,1,2354.6093269522935,2007.8316726467124
A1,A,100,2,2309.740443321518,2007.8316726467124
A1,A,100,3,2271.0240838832315,2007.8316726467124
A1,A,100,4,2236.498937509822,2007.8316726467124
A1,A,100,5,2206.9682503646245,2007.8316726467124
A1,A,100,6,2178.2471761852094,2007.8316726467124
A1,A,100,7,2168.2279628049023,2007.8316726467124
A1,A,100,8,2168.2279628049023,2007.8316726467124
A1,A,100,9,2168.2279628049023,2007.8316726467124
A1,A,100,10,2168.2279628049023,2007.8316726467124
A1,A,100,11,2168.2279628049023,2007.8316726467124
A1,A,100,12,2168.2279628049023,2007.8316726467124
A1,A,100,13,2166.6308545660986,2007.8316726467124
A1,A,100,14,2162.9363092771787,2007.8316726467124
A1,A,100,15,2162.9363092771787,2007.8316726467124
A1,A,100,16,2162.9363092771787,2007.8316726467124
A1,A,100,17,2162.9363092771787,2007.8316726467124
A1,A,100,18,2162.9363092771787,2007.8316726467124
A1,A,100,19,2118.499674701189,2007.8316726467124
A1,A,100,20,2118.499674701189,2007.8316726467124
A1,A,100,21,2118.499674701189,2007.8316726467124
A1,A,100,22,2118.499674701189,2007.8316726467124
A1,A,100,23,2118.499674701189,2007.8316726467124
A1,A,100,24,2118.499674701189,2007.8316726467124
A1,A,100,25,2118.499674701189,2007.8316726467124
A1,A,100,26,2118.499674701189,2007.8316726467124
A1,A,100,27,2118.499674701189,2007.8316726467124
A1,A,100,28,2118.499674701189,2007.8316726467124
A1,A,100,29,2118.499674701189,2007.8316726467124
A1,A,100,30,2118.499674701189,2007.8316726467124
A1,A,100,31,2118.499674701189,2007.8316726467124
A1,A,100,32,2118.499674701189,2007.8316726467124
A1,A,100,33,2118.499674701189,2007.8316726467124
A1,A,100,34,2118.499674701189,2007.8316726467124
A1,A,100,35,2118.499674701189,2007.8316726467124
A1,A,100,36,2118.499674701189,2007.8316726467124
A1,A,100,37,2118.499674701189,2007.8316726467124
A1,A,100,38,2118.499674701189,2007.8316726467124
A1,A,100,39,2118.499674701189,2007.8316726467124
A1,A,100,40,2118.499674701189,2007.8316726467124
A1,A,100,41,2118.499674701189,2007.8316726467124
A1,A,100,42,2118.499674701189,2007.8316726467124
A1,A,100,43,2118.499674701189,2007.8316726467124
A1,A,100,44,2118.499674701189,2007.8316726467124
A1,A,100,45,2118.499674701189,2007.8316726467124
A1,A,100,46,2118.499674701189,2007.8316726467124
A1,A,100,47,2118.499674701189,2007.8316726467124
A1,A,100,48,2118.499674701189,2007.8316726467124
A1,A,100,49,2118.499674701189,2007.8316726467124
A1,A,100,50,2118.499674701189,2007.8316726467124
A1,A,100,51,2118.499674701189,2007.8316726467124
A1,A,100,52,2118.499674701189,2007.8316726467124
A1,A,100,53,2118.499674701189,2007.8316726467124
A1,A,100,54,2118.499674701189,2007.8316726467124
A1,A,100,55,2118.499674701189,2007.8316726467124
A1,A,100,56,2118.499674701189,2007.8316726467124
A1,A,100,57,2118.499674701189,2007.8316726467124
A1,A,100,58,2118.499674701189,2007.8316726467124
A1,A,100,59,2118.499674701189,2007.8316726467124
A1,A,100,60,2118.499674701189,2007.8316726467124
A1,A,100,61,2118.499674701189,2007.8316726467124
A1,A,100,62,2118.499674701189,2007.8316726467124
A1,A,100,63,2118.499674701189,2007.8316726467124
A1,A,100,64,2118.499674701189,2007.8316726467124
A1,A,100,65,2118.499674701189,2007.8316726467124
A1,A,100,66,2118.499674701189,2007.8316726467124
A1,A,100,67,2118.499674701189,2007.8316726467124
A1,A,100,68,2106.276133219719,2007.8316726467124
A1,A,150,1,3685.3467155355684,3220.060601103881
A1,A,150,2,3643.542695137721,3220.060601103881
A1,A,150,3,3601.845589687339,3220.060601103881
A1,A,150,4,3561.892291325266,3220.060601103881
A1,A,150,5,3522.2852453719925,3220.060601103881
A1,A,150,6,3483.1797074100173,3220.060601103881
A1,A,150,7,3446.1176207264707,3220.060601103881
A1,A,150,8,3446.1176207264707,3220.060601103881
A1,A,150,9,3446.1176207264707,3220.060601103881
A1,A,150,10,3446.1176207264707,3220.060601103881
A1,A,150,11,3446.1176207264707,3220.060601103881
A1,A,150,12,3446.1176207264707,3220.060601103881
A1,A,150,13,3446.1176207264707,3220.060601103881
A1,A,150,14,3446.1176207264707,3220.060601103881
A1,A,150,15,3446.1176207264707,3220.060601103881
A1,A,150,16,3441.05716159549,3220.060601103881
A1,A,150,17,3441.05716159549,3220.060601103881
A1,A,150,18,3441.05716159549,3220.060601103881
A1,A,150,19,3441.05716159549,3220.060601103881
A1,A,150,20,3433.420475518553,3220.060601103881
A1,A,150,21,3431.037618456157,3220.060601103881
A1,A,150,22,3431.037618456157,3220.060601103881
A1,A,150,23,3430.3914098888395,3220.060601103881
A1,A,150,24,3430.3914098888395,3220.060601103881
A1,A,150,25,3430.3914098888395,3220.060601103881
A1,A,150,26,3430.3914098888395,3220.060601103881
A1,A,150,27,3430.3914098888395,3220.060601103881
A1,A,150,28,3430.3914098888395,3220.060601103881
A1,A,150,29,3388.169057873076,3220.060601103881
A1,A,150,30,3388.169057873076,3220.060601103881
A1,A,150,31,3388.169057873076,3220.060601103881
A1,A,150,32,3388.169057873076,3220.060601103881
A1,A,150,33,3388.169057873076,3220.060601103881
A1,A,150,34,3388.169057873076,3220.060601103881
A1,A,150,35,3388.169057873076,3220.060601103881
A1,A,150,36,3388.169057873076,3220.060601103881
A1,A,150,37,3388.169057873076,3220.060601103881
A1,A,150,38,3388.169057873076,3220.060601103881
A1,A,150,39,3388.169057873076,3220.060601103881
A1,A,150,40,3388.169057873076,3220.060601103881
A1,A,150,41,3388.169057873076,3220.060601103881
A1,A,150,42,3388.169057873076,3220.060601103881
A1,A,150,43,3388.169057873076,3220.060601103881
A1,A,150,44,3388.169057873076,3220.060601103881
A1,A,150,45,3388.169057873076,3220.060601103881
A1,A,150,46,3388.169057873076,3220.060601103881
A1,A,150,47,3388.169057873076,3220.060601103881
A1,A,150,48,3388.169057873076,3220.060601103881
A1,A,150,49,3388.169057873076,3220.060601103881
A1,A,150,50,3388.169057873076,3220.060601103881
A1,A,150,51,3388.169057873076,3220.060601103881
A1,A,150,52,3388.169057873076,3220.060601103881
A1,A,150,53,3388.169057873076,3220.060601103881
A1,A,150,54,3388.169057873076,3220.060601103881
A1,A,150,55,3388.169057873076,3220.060601103881
A1,A,150,56,3388.169057873076,3220.060601103881
A1,A,150,57,3388.169057873076,3220.060601103881
A1,A,150,58,3388.169057873076,3220.060601103881
A1,A,150,59,3388.169057873076,3220.060601103881
A1,A,150,60,3388.169057873076,3220.060601103881
A1,A,150,61,3388.169057873076,3220.060601103881
A1,A,150,62,3388.169057873076,3220.060601103881
A1,A,150,63,3388.169057873076,3220.060601103881
A1,A,150,64,3388.169057873076,3220.060601103881
A1,A,150,65,3388.169057873076,3220.060601103881
A1,A,150,66,3388.169057873076,3220.060601103881
A1,A,150,67,3388.169057873076,3220.060601103881
A1,A,150,68,3388.169057873076,3220.060601103881
A1,A,150,69,3388.169057873076,3220.060601103881
A1,A,150,70,3388.169057873076,3220.060601103881
A1,A,150,71,3388.169057873076,3220.060601103881
A1,A,150,72,3388.169057873076,3220.060601103881
A1,A,150,73,3388.169057873076,3220.060601103881
A1,A,150,74,3388.169057873076,3220.060601103881
A1,A,150,75,3388.169057873076,3220.060601103881
A1,A,150,76,3388.169057873076,3220.060601103881
A1,A,150,77,3388.169057873076,3220.060601103881
A1,A,150,78,3388.169057873076,3220.060601103881
A1,A,150,79,3388.169057873076,3220.060601103881
A1,A,150,80,3388.169057873076,3220.060601103881
A1,A,150,81,3388.169057873076,3220.060601103881
A1,A,150,82,3388.169057873076,3220.060601103881
A1,A,150,83,3388.169057873076,3220.060601103881
A1,A,150,84,3388.169057873076,3220.060601103881
A1,A,150,85,3388.169057873076,3220.060601103881
A1,A,150,86,3388.169057873076,3220.060601103881
A1,A,150,87,3388.169057873076,3220.060601103881
A1,A,150,88,3388.169057873076,3220.060601103881
A1,A,150,89,3388.169057873076,3220.060601103881
A1,A,150,90,3388.169057873076,3220.060601103881
A1,A,150,91,3388.169057873076,3220.060601103881
A1,A,150,92,3388.169057873076,3220.060601103881
A1,A,150,93,3388.169057873076,3220.060601103881
A1,A,150,94,3388.169057873076,3220.060601103881
A1,A,150,95,3388.169057873076,3220.060601103881
A1,A,150,96,3388.169057873076,3220.060601103881
A1,A,150,97,3388.169057873076,3220.060601103881
A1,A,150,98,3388.169057873076,3220.060601103881
A1,A,150,99,3388.169057873076,3220.060601103881
A1,A,150,100,3388.169057873076,3220.060601103881
A1,A,150,101,3388.169057873076,3220.060601103881
A1,A,150,102,3388.169057873076,3220.060601103881
A1,A,150,103,3388.169057873076,3220.060601103881
A1,A,150,104,3388.169057873076,3220.060601103881
A1,A,150,105,3388.169057873076,3220.060601103881
A1,A,150,106,3388.169057873076,3220.060601103881
A1,A,150,107,3388.169057873076,3220.060601103881
A1,A,150,108,3388.169057873076,3220.060601103881
A1,A,150,109,3388.169057873076,3220.060601103881
A1,A,150,110,3388.169057873076,3220.060601103881
A1,A,150,111,3388.169057873076,3220.060601103881
A1,A,150,112,3375.621727468703,3220.060601103881
A1,A,200,1,4645.1160693131915,4189.905194672991
A1,A,200,2,4602.449411955842,4189.905194672991
A1,A,200,3,4562.2102873170425,4189.905194672991
A1,A,200,4,4524.213223043884,4189.905194672991
A1,A,200,5,4488.076490266661,4189.905194672991
A1,A,200,6,4477.917015486965,4189.905194672991
A1,A,200,7,4477.917015486965,4189.905194672991
A1,A,200,8,4477.917015486965,4189.905194672991
A1,A,200,9,4477.422174769617,4189.905194672991
A1,A,200,10,4477.422174769617,4189.905194672991
A1,A,200,11,4477.422174769617,4189.905194672991
A1,A,200,12,4477.422174769617,4189.905194672991
A1,A,200,13,4477.422174769617,4189.905194672991
A1,A,200,14,4472.459593993277,4189.905194672991
A1,A,200,15,4472.459593993277,4189.905194672991
A1,A,200,16,4472.459593993277,4189.905194672991
A1,A,200,17,4472.240607520336,4189.905194672991
A1,A,200,18,4471.039341202443,4189.905194672991
A1,A,200,19,4468.488243560957,4189.905194672991
A1,A,200,20,4468.488243560957,4189.905194672991
A1,A,200,21,4468.488243560957,4189.905194672991
A1,A,200,22,4468.488243560957,4189.905194672991
A1,A,200,23,4468.488243560957,4189.905194672991
A1,A,200,24,4468.488243560957,4189.905194672991
A1,A,200,25,4468.488243560957,4189.905194672991
A1,A,200,26,4468.488243560957,4189.905194672991
A1,A,200,27,4468.488243560957,4189.905194672991
A1,A,200,28,4468.488243560957,4189.905194672991
A1,A,200,29,4468.488243560957,4189.905194672991
A1,A,200,30,4468.488243560957,4189.905194672991
A1,A,200,31,4468.488243560957,4189.905194672991
A1,A,200,32,4468.488243560957,4189.905194672991
A1,A,200,33,4468.488243560957,4189.905194672991
