n_users,iteration,epsilon_mean,epsilon_std,count
20,0,442.4868469349333,0.0,1
20,1,63.383564779087,0.0,1
20,2,41.73164158331186,0.0,1
20,3,40.27631570323549,0.0,1
20,4,71.64692132775612,0.0,1
