n_users,L,epsilon_mean,epsilon_std,runtime_mean,runtime_std,stage2_calls_mean,stage2_calls_std,count
20,4,91.76439632505807,0.0,13.948696909996215,0.0,2.0,0.0,1
20,8,122.77300498419066,0.0,31.39803688999382,0.0,2.0,0.0,1
