step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_joint_revenue
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909,69.06979866
1,6,0.5,6.040268456,0.5033557047,44.54791412,148.5230089
2,6,1.807,6.040268456,1.812080537,8.311467197,191.3381554
3,4.003333333,1.807,4.026845638,1.812080537,12.96647828,209.1834693
4,4.003333333,2.805333333,4.026845638,2.818791946,10.93251428,199.8416354
5,3.005,2.805333333,3.020134228,2.818791946,0,232.4004426
