trial,seed,n_users,provider,pE,pN,hit,candidate_count,exact_target,approx_target
1,20270005,10,E,2.7275734404094503,1.216253267489669,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(2, 4, 5, 6, 7, 8, 9)"
1,20270005,10,N,2.7275734404094503,1.216253267489669,False,32,"(0, 1, 2, 5, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
2,20270006,10,E,1.2195831808174245,1.6720714343700154,True,20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(5, 6, 7, 9)"
2,20270006,10,N,1.2195831808174245,1.6720714343700154,False,20,"(0, 1, 2, 3, 4, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
3,20270007,10,E,1.3941406749162895,0.6379502748520847,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 2, 6, 7, 9)"
3,20270007,10,N,1.3941406749162895,0.6379502748520847,False,32,"(0, 1, 2, 3, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
4,20270008,10,E,0.8427597396187754,2.5355730010644812,True,27,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 8, 9)"
4,20270008,10,N,0.8427597396187754,2.5355730010644812,False,27,"(0, 2, 3, 4, 6, 7, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8)"
5,20270009,10,E,1.6776640170537969,1.9686174025211964,True,20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 9)"
5,20270009,10,N,1.6776640170537969,1.9686174025211964,True,20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
6,20270010,10,E,1.0331702086593983,2.994686567531889,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 5, 6, 8)"
6,20270010,10,N,1.0331702086593983,2.994686567531889,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
7,20270011,10,E,2.488136680876659,1.7883757996532235,True,36,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
7,20270011,10,N,2.488136680876659,1.7883757996532235,False,36,"(0, 1, 2, 3, 4, 5, 7, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
8,20270012,10,E,2.8671946110139244,2.810242370276827,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 8, 9)"
8,20270012,10,N,2.8671946110139244,2.810242370276827,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 8, 9)"
9,20270013,10,E,0.8196521594656754,0.8653541631788954,True,32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 6)"
9,20270013,10,N,0.8196521594656754,0.8653541631788954,True,32,"(0, 2, 3, 5, 7, 8, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
