step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_joint_revenue
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909,69.06979866
1,0.826773101,0.5,0.8053691275,0.5033557047,162.2716335,99.27114094
2,0.826773101,4.394258295,0.8053691275,4.429530201,20.32498666,255.6128729
