method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
MARL,10,1,1,0.609,5.401,1,13.248952396073005,29.27607171889716,3.520910191750764,10.637313184323911,14.158223376074675,0.5575117999687791,62,240,302,
MARL,10,2,1,3.005,5.401,2,1.94065190766484,4.420736566278343,19.606040299358753,21.516477349656245,41.122517649014995,0.8924696007743478,62,240,302,
MARL,10,3,1,0.609,0.609,5,7.32313698929276,6.241680672268913,16.485436555669093,23.960000000000004,40.4454365556691,0.3962941002100706,63,240,303,
MARL,10,4,1,3.005,5.401,2,5.748577539080664,5.542078075978807,18.618331062946915,29.470103984068018,48.08843504701493,1.1183254001662135,62,240,302,
MARL,10,5,1,2.4059999999999997,5.401,1,5.1187136109779265,4.981775281642201,7.93137044937282,7.043746231064655,14.975116680437475,0.48999010026454926,61,240,301,
MARL,15,1,1,0.609,5.401,4,14.915533352691114,17.39926406155177,14.118107975855253,41.627535255184604,55.74564323103986,1.3660356001928449,62,240,302,
MARL,15,2,1,4.202999999999999,5.401,1,14.256407209186756,13.804459789266197,10.911369271556902,14.688423029584762,25.59979230114166,1.3319771001115441,60,240,300,
MARL,15,3,1,0.609,5.401,4,20.816503292715367,20.22608093645546,14.53125039304814,43.324351448189915,57.855601841238055,1.6712391003966331,62,240,302,
MARL,15,4,1,4.802,5.401,2,5.819371794791749,5.690911782890158,23.004629887509246,27.09928114082327,50.10391102833252,1.4648742005228996,60,240,300,
MARL,15,5,1,4.802,5.401,1,6.285921942954099,6.124541794518594,12.333630432765363,14.974574017577497,27.30820445034286,1.2760320995002985,60,240,300,
MARL,20,1,1,4.802,5.401,2,0.445236497621714,2.8107916178561343,20.67641368491416,13.669688256497027,34.346101941411185,2.4935105005279183,60,240,300,
MARL,20,2,1,4.802,5.401,1,4.585716359196784,15.173851617594094,10.071108199929476,8.228953295834655,18.300061495764133,2.0137446001172066,60,240,300,
MARL,20,3,1,4.802,5.401,4,6.174594192293718,5.08827770254112,46.76120977751139,37.32259657384691,84.0838063513583,2.808401199989021,60,240,300,
MARL,20,4,1,4.802,5.401,2,18.685754033303795,18.53492187254608,23.228346925276348,20.387708327583027,43.616055252859375,3.0829053996130824,60,240,300,
MARL,20,5,1,4.802,5.401,1,18.324047692439503,21.23541684753608,12.37517323185477,10.305521089642538,22.680694321497306,2.416932700201869,60,240,300,
MARL,25,1,1,4.802,5.401,1,25.59134186939872,30.04197584379873,12.256587187039601,6.062411724849369,18.31899891188897,4.3567084996029735,60,240,300,
MARL,25,2,1,2.4059999999999997,5.401,2,5.7047926907386035,27.682859052986956,16.605694779726083,28.69361153524835,45.29930631497443,3.387260500341654,61,240,301,
MARL,25,3,1,4.802,5.401,1,11.496753671420624,16.367499510700434,9.784138149595796,7.775698336171502,17.5598364857673,3.3157500997185707,60,240,300,
MARL,25,4,1,4.802,5.401,1,13.561219068716756,13.39633557556176,13.098955224631965,11.02988306357307,24.128838288205035,3.561587699688971,60,240,300,
MARL,25,5,1,0.609,5.401,1,20.013592164744395,48.21683351682801,3.3961223779199154,14.199973205861061,17.596095583780976,2.5475615998730063,62,240,302,
MARL,30,1,1,4.802,5.401,2,18.91006315297431,18.665724150702495,21.9017147739317,19.09801853643334,40.999733310365045,6.370017000474036,60,240,300,
MARL,30,2,1,4.802,5.401,1,24.74809073310837,26.873496126857155,11.689239019599029,12.825411580898562,24.51465060049759,5.311575899831951,60,240,300,
MARL,30,3,1,3.005,5.401,2,3.150469354896156,12.955661782758884,17.874770472478776,28.333100973709524,46.2078714461883,5.254676999524236,62,240,302,
MARL,30,4,1,4.802,5.401,2,5.618334150478194,2.8223298554287837,23.864074699490036,25.726623700690656,49.59069840018069,5.703028899617493,60,240,300,
MARL,30,5,1,4.802,5.401,1,2.5866951577436375,6.231662298507532,12.285487122013539,15.63693543514975,27.922422557163287,5.314613199792802,60,240,300,
