pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps
9.060402685,0,123.2072581,-0.4,122.8072581,36.47425183
9.161073826,0,123.8913563,-0.4,123.4913563,36.47425183
9.261744966,0,124.5716978,-0.4,124.1716978,35.31419721
9.362416107,0,125.2483437,-0.4,124.8483437,35.31419721
9.463087248,0,125.9213537,-0.4,125.5213537,34.945267
9.563758389,0,126.5907858,-0.4,126.1907858,34.1142577
9.66442953,0,127.2566965,-0.4,126.8566965,34.1142577
9.765100671,0,127.9191406,-0.4,127.5191406,32.87001345
9.865771812,0,128.5781718,-0.4,128.1781718,32.87001345
9.966442953,0,129.2338424,-0.4,128.8338424,31.57616266
10.06711409,0,129.8862031,-0.4,129.4862031,31.57616266
10.16778523,0,130.5353037,-0.4,130.1353037,30.2262537
10.26845638,0,131.1811925,-0.4,130.7811925,30.2262537
10.36912752,0,131.8239168,-0.4,131.4239168,30.2262537
10.46979866,0,132.4635225,-0.4,132.0635225,28.81230249
10.5704698,0,133.1000547,-0.4,132.7000547,28.81230249
10.67114094,0,133.7335572,-0.4,133.3335572,28.81230249
10.77181208,0,134.3640729,-0.4,133.9640729,27.32422882
10.87248322,0,134.9916437,-0.4,134.5916437,27.32422882
10.97315436,0,135.6163104,-0.4,135.2163104,27.32422882
11.0738255,0,136.2381129,-0.4,135.8381129,25.74899445
11.17449664,0,136.8570904,-0.4,136.4570904,25.74899445
11.27516779,0,137.473281,-0.4,137.073281,25.74899445
11.37583893,0,138.0867219,-0.4,137.6867219,24.06922403
11.47651007,0,138.6974497,-0.4,138.2974497,24.06922403
11.57718121,0,123.6516986,-0.4,123.2516986,24.06922403
11.67785235,0,124.1890766,-0.4,123.7890766,22.26087028
11.77852349,0,124.7241392,-0.4,124.3241392,22.26087028
11.87919463,0,125.2569163,-0.4,124.8569163,22.26087028
11.97986577,0,110.5569383,-0.4,110.1569383,29.57694111
12.08053691,0,111.0212644,-0.4,110.6212644,29.11261505
12.18120805,0,111.4836566,-0.4,111.0836566,28.65022288
12.28187919,0,111.9441388,-0.4,111.5441388,28.18974063
12.38255034,0,112.4027346,-0.4,112.0027346,27.73114482
12.48322148,0,112.859467,-0.4,112.459467,27.27441246
12.58389262,0,113.3143584,-0.4,112.9143584,26.81952101
12.68456376,0,113.767431,-0.4,113.367431,26.3664484
12.7852349,0,114.2187065,-0.4,113.8187065,25.91517298
12.88590604,0,99.11926902,-0.4,98.71926902,41.01461043
12.98657718,0,99.50629946,-0.4,99.10629946,40.62757999
13.08724832,0,99.89183036,-0.4,99.49183036,40.24204909
13.18791946,0,100.275879,-0.4,99.87587903,39.85800042
13.2885906,0,100.6584624,-0.4,100.2584624,39.47541702
13.38926174,0,101.0395972,-0.4,100.6395972,39.09428225
13.48993289,0,101.4192997,-0.4,101.0192997,38.71457978
13.59060403,0,101.7975859,-0.4,101.3975859,38.33629357
13.69127517,0,102.1744715,-0.4,101.7744715,37.9594079
13.79194631,0,102.5499721,-0.4,102.1499721,37.58390733
13.89261745,0,97.86615439,-0.4,97.46615439,42.26772506
13.99328859,0,98.22061085,-0.4,97.82061085,41.9132686
14.09395973,0,98.57379275,-0.4,98.17379275,41.5600867
14.19463087,0,82.6051044,-0.4,82.2051044,57.52877505
14.29530201,0,82.89792432,-0.4,82.49792432,57.23595512
14.39597315,0,83.18971356,-0.4,82.78971356,56.94416589
14.4966443,0,83.48048291,-0.4,83.08048291,56.65339653
14.59731544,0,83.770243,-0.4,83.370243,56.36363644
14.69798658,0,84.05900427,-0.4,83.65900427,56.07487518
14.79865772,0,84.34677697,-0.4,83.94677697,55.78710248
14.89932886,0,84.63357118,-0.4,84.23357118,55.50030826
15,0,84.91939683,-0.4,84.51939683,55.21448262
0,0.1006711409,-1,3.626845638,2.626845638,180.3131734
0.1006711409,0.1006711409,9.067114094,3.626845638,12.69395973,180.3131734
0.2013422819,0.1006711409,19.13422819,3.626845638,22.76107383,180.3131734
0.3020134228,0.1006711409,29.20134228,3.626845638,32.82818792,180.3131734
0.4026845638,0.1006711409,39.26845638,3.626845638,42.89530201,180.3131734
0.5033557047,0.1006711409,49.33557047,3.626845638,52.96241611,180.3131734
0.6040268456,0.1006711409,59.40268456,3.626845638,63.0295302,180.3131734
0.7046979866,0.1006711409,69.46979866,3.626845638,73.0966443,180.3131734
0.8053691275,0.1006711409,79.53691275,3.626845638,83.16375839,178.379016
0.9060402685,0.1006711409,85.59471849,3.626845638,89.22156412,176.4240829
1.006711409,0.1006711409,90.32544811,3.626845638,93.95229375,172.4491145
1.10738255,0.1006711409,94.82053529,3.626845638,98.44738092,169.1275168
1.208053691,0.1006711409,99.11202596,3.626845638,102.7388716,161.0738255
1.308724832,0.1006711409,103.2253023,3.626845638,106.852148,154.8783243
1.409395973,0.1006711409,102.9744397,3.626845638,106.6012854,152.970935
1.510067114,0.1006711409,106.63945,3.626845638,110.2662956,149.0847043
1.610738255,0.1006711409,110.1826386,3.626845638,113.8094842,147.1040206
1.711409396,0.1006711409,113.6154,3.626845638,117.2422457,140.9395973
1.812080537,0.1006711409,116.9474561,3.626845638,120.5743018,136.9127517
1.912751678,0.1006711409,114.5190974,3.626845638,118.145943,133.4484368
2.013422819,0.1006711409,115.1123378,3.626845638,118.7391834,128.8590604
2.11409396,0.1006711409,117.9830824,3.626845638,121.609928,125.605012
2.214765101,0.1006711409,114.6820806,3.626845638,118.3089262,122.3979115
2.315436242,0.1006711409,117.2826515,3.626845638,120.9094972,120.7633582
2.416107383,0.1006711409,119.8268003,3.626845638,123.453646,117.4280594
2.516778523,0.1006711409,122.3180472,3.626845638,125.9448928,115.7254644
2.617449664,0.1006711409,124.7595608,3.626845638,128.3864064,112.2452487
2.718120805,0.1006711409,125.9959852,3.626845638,129.6228308,110.4653396
2.818791946,0.1006711409,121.4325359,3.626845638,125.0593816,106.8195055
2.919463087,0.1006711409,123.597123,3.626845638,127.2239687,104.9506925
3.020134228,0.1006711409,125.7244498,3.626845638,129.3512955,103.0491472
3.120805369,0.1006711409,127.8163767,3.626845638,131.4432223,99.14056101
3.22147651,0.1006711409,129.874614,3.626845638,133.5014596,96.6442953
3.322147651,0.1006711409,131.9007388,3.626845638,135.5275844,94.31354093
3.422818792,0.1006711409,126.3446521,3.626845638,129.9714977,94.31354093
3.523489933,0.1006711409,128.1999289,3.626845638,131.8267745,92.39687187
3.624161074,0.1006711409,130.0287377,3.626845638,133.6555834,90.44116059
3.724832215,0.1006711409,131.8321801,3.626845638,135.4590257,88.44391954
3.825503356,0.1006711409,133.611283,3.626845638,137.2381287,84.56375839
3.926174497,0.1006711409,135.3670062,3.626845638,138.9938519,82.93890155
4.026845638,0.1006711409,137.1002478,3.626845638,140.7270935,81.42285412
4.127516779,0.1006711409,127.9108791,3.626845638,131.5377247,81.42285412
4.228187919,0.1006711409,129.4688567,3.626845638,133.0957023,79.87928891
4.32885906,0.1006711409,131.0083082,3.626845638,134.6351538,79.87928891
4.429530201,0.1006711409,132.5298792,3.626845638,136.1567249,78.30665085
4.530201342,0.1006711409,134.0341787,3.626845638,137.6610243,76.70323265
4.630872483,0.1006711409,135.5217816,3.626845638,139.1486273,75.06715311
4.731543624,0.1006711409,124.4776296,3.626845638,128.1044752,73.39633121
4.832214765,0.1006711409,125.8004404,3.626845638,129.4272861,71.68845512
4.932885906,0.1006711409,127.109486,3.626845638,130.7363316,71.68845512
5.033557047,0.1006711409,128.4051871,3.626845638,132.0320328,69.94094464
5.134228188,0.1006711409,129.6879439,3.626845638,133.3147895,68.15090552
5.234899329,0.1006711409,130.9581367,3.626845638,134.5849823,66.31507312
5.33557047,0.1006711409,132.2161275,3.626845638,135.8429731,66.31507312
5.436241611,0.1006711409,133.4622614,3.626845638,137.089107,64.42974249
5.536912752,0.1006711409,134.6968675,3.626845638,138.3237131,63.98775871
5.637583893,0.1006711409,135.9202599,3.626845638,139.5471055,62.49068048
5.738255034,0.1006711409,137.1327387,3.626845638,140.7595843,62.3425715
5.838926174,0.1006711409,138.3345909,3.626845638,141.9614365,60.65529667
5.939597315,0.1006711409,139.526091,3.626845638,143.1529366,60.65529667
6.040268456,0.1006711409,128.7887807,3.626845638,132.4156263,60.65529667
6.140939597,0.1006711409,129.8611158,3.626845638,133.4879614,58.92252905
6.241610738,0.1006711409,130.9246683,3.626845638,134.5515139,57.14037806
6.342281879,0.1006711409,131.9796506,3.626845638,135.6064963,57.14037806
6.44295302,0.1006711409,133.0262666,3.626845638,136.6531123,55.30436479
6.543624161,0.1006711409,134.0647122,3.626845638,137.6915579,53.40928951
6.644295302,0.1006711409,135.0951758,3.626845638,138.7220215,53.40928951
6.744966443,0.1006711409,136.1178388,3.626845638,139.7446844,51.44905792
6.845637584,0.1006711409,137.1328755,3.626845638,140.7597211,51.44905792
6.946308725,0.1006711409,138.1404541,3.626845638,141.7672998,48.32214765
7.046979866,0.1006711409,139.1407367,3.626845638,142.7675823,47.77582916
7.147651007,0.1006711409,140.1338794,3.626845638,143.7607251,47.77582916
7.248322148,0.1006711409,125.8604347,3.626845638,129.4872803,46.00920969
7.348993289,0.1006711409,126.73385,3.626845638,130.3606956,46.00920969
7.44966443,0.1006711409,127.601287,3.626845638,131.2281326,46.00920969
7.55033557,0.1006711409,128.4628669,3.626845638,132.0897125,44.17736225
7.651006711,0.1006711409,129.3187067,3.626845638,132.9455524,44.17736225
7.751677852,0.1006711409,130.1689197,3.626845638,133.7957653,44.17736225
7.852348993,0.1006711409,131.0136154,3.626845638,134.640461,42.27248123
7.953020134,0.1006711409,131.8528998,3.626845638,135.4797454,42.27248123
8.053691275,0.1006711409,132.6868756,3.626845638,136.3137212,42.27248123
8.154362416,0.1006711409,133.5156423,3.626845638,137.142488,40.26845638
8.255033557,0.1006711409,134.3392963,3.626845638,137.966142,40.26845638
8.355704698,0.1006711409,135.1579311,3.626845638,138.7847767,36.75578608
8.456375839,0.1006711409,135.9716373,3.626845638,139.5984829,36.75578608
8.55704698,0.1006711409,136.7805028,3.626845638,140.4073485,35.72293478
8.657718121,0.1006711409,137.5846132,3.626845638,141.2114588,35.72293478
8.758389262,0.1006711409,121.131785,3.626845638,124.7586306,34.66223545
8.859060403,0.1006711409,121.8275381,3.626845638,125.4543837,33.5713065
8.959731544,0.1006711409,122.5193403,3.626845638,126.1461859,33.5713065
9.060402685,0.1006711409,123.2072581,3.626845638,126.8341037,32.4474062
9.161073826,0.1006711409,123.8913563,3.626845638,127.5182019,32.4474062
9.261744966,0.1006711409,124.5716978,3.626845638,128.1985434,31.28735158
9.362416107,0.1006711409,125.2483437,3.626845638,128.8751894,31.28735158
9.463087248,0.1006711409,125.9213537,3.626845638,129.5481994,30.91842136
9.563758389,0.1006711409,126.5907858,3.626845638,130.2176315,30.08741207
9.66442953,0.1006711409,127.2566965,3.626845638,130.8835421,30.08741207
9.765100671,0.1006711409,127.9191406,3.626845638,131.5459862,28.84316781
9.865771812,0.1006711409,128.5781718,3.626845638,132.2050175,28.84316781
9.966442953,0.1006711409,129.2338424,3.626845638,132.860688,27.54931702
10.06711409,0.1006711409,129.8862031,3.626845638,133.5130488,27.54931702
10.16778523,0.1006711409,130.5353037,3.626845638,134.1621494,26.19940806
10.26845638,0.1006711409,131.1811925,3.626845638,134.8080382,26.19940806
10.36912752,0.1006711409,131.8239168,3.626845638,135.4507624,26.19940806
10.46979866,0.1006711409,132.4635225,3.626845638,136.0903681,24.78545686
10.5704698,0.1006711409,133.1000547,3.626845638,136.7269003,24.78545686
10.67114094,0.1006711409,133.7335572,3.626845638,137.3604028,24.78545686
10.77181208,0.1006711409,134.3640729,3.626845638,137.9909186,23.29738319
10.87248322,0.1006711409,134.9916437,3.626845638,138.6184893,23.29738319
10.97315436,0.1006711409,135.6163104,3.626845638,139.243156,23.29738319
11.0738255,0.1006711409,136.2381129,3.626845638,139.8649586,21.72214881
11.17449664,0.1006711409,136.8570904,3.626845638,140.4839361,21.72214881
11.27516779,0.1006711409,137.473281,3.626845638,141.1001266,21.72214881
11.37583893,0.1006711409,138.0867219,3.626845638,141.7135675,20.04237839
11.47651007,0.1006711409,138.6974497,3.626845638,142.3242953,20.04237839
11.57718121,0.1006711409,123.6516986,3.626845638,127.2785442,20.04237839
11.67785235,0.1006711409,124.1890766,3.626845638,127.8159222,18.23402464
11.77852349,0.1006711409,124.7241392,3.626845638,128.3509849,18.23402464
11.87919463,0.1006711409,125.2569163,3.626845638,128.8837619,18.23402464
11.97986577,0.1006711409,110.5569383,3.626845638,114.183784,29.57694111
12.08053691,0.1006711409,111.0212644,3.626845638,114.64811,29.11261505
12.18120805,0.1006711409,111.4836566,3.626845638,115.1105022,28.65022288
12.28187919,0.1006711409,111.9441388,3.626845638,115.5709845,28.18974063
12.38255034,0.1006711409,112.4027346,3.626845638,116.0295803,27.73114482
12.48322148,0.1006711409,112.859467,3.626845638,116.4863126,27.27441246
12.58389262,0.1006711409,113.3143584,3.626845638,116.9412041,26.81952101
12.68456376,0.1006711409,113.767431,3.626845638,117.3942767,26.3664484
12.7852349,0.1006711409,114.2187065,3.626845638,117.8455521,25.91517298
12.88590604,0.1006711409,99.11926902,3.626845638,102.7461147,41.01461043
12.98657718,0.1006711409,99.50629946,3.626845638,103.1331451,40.62757999
13.08724832,0.1006711409,99.89183036,3.626845638,103.518676,40.24204909
13.18791946,0.1006711409,100.275879,3.626845638,103.9027247,39.85800042
13.2885906,0.1006711409,100.6584624,3.626845638,104.2853081,39.47541702
