trial,trial_seed,n_users,ratio,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
1,502377,50,0.001,0.01,10.0,0.4709669861677224,10.795816647075169,0.4609669861677224,0.7958166470751689,0.22312255703972234,0.08721760743194305,0.06,3,1174.572693777981,10.285213266463654,2.77636895649629,13.061582222959943,0.0,4,33,0.20175050012767315,vbbr_brd,verified_gain_tolerance
1,502377,50,0.003,0.01,3.3333333333333335,2.4539034396865183,4.2091467156134135,2.4439034396865185,0.87581338228008,0.19014268289675948,0.354882849147636,0.12,6,1172.097959757899,46.469035676261335,12.432445937007301,58.901481613268636,0.0,4,43,0.579355999827385,vbbr_brd,verified_gain_tolerance
1,502377,50,0.01,0.01,1.0,4.002632986835737,1.9804195086682455,3.992632986835737,0.9804195086682455,0.22036973272028418,0.8272317602843614,0.18,9,1157.6134896942162,87.98554641591812,32.44136623891046,120.42691265482858,0.0,3,37,0.6761094005778432,vbbr_brd,verified_gain_tolerance
1,502377,50,0.03,0.01,0.33333333333333337,4.7397809944554865,1.5713604241190193,4.729780994455487,1.2380270907856858,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,48.6687096064791,146.6668529267136,0.0,5,49,1.0191327007487416,vbbr_brd,verified_gain_tolerance
1,502377,50,0.1,0.01,0.09999999999999999,4.7397809944554865,1.5713604241190193,4.729780994455487,1.4713604241190192,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,57.84139437729857,155.83953769753307,0.0,5,49,1.2248395001515746,vbbr_brd,verified_gain_tolerance
1,502377,50,0.3,0.01,0.03333333333333333,4.7397809944554865,1.5713604241190193,4.729780994455487,1.538027090785686,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,60.46216145467556,158.46030477491007,0.0,5,49,1.315577999688685,vbbr_brd,verified_gain_tolerance
1,502377,50,1.0,0.01,0.01,4.7397809944554865,1.5713604241190193,4.729780994455487,1.5613604241190193,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.37942993175751,159.377573251992,0.0,5,49,1.1861939998343587,vbbr_brd,verified_gain_tolerance
1,502377,50,3.0,0.01,0.0033333333333333335,4.7397809944554865,1.5713604241190193,4.729780994455487,1.568027090785686,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.641506639495205,159.6396499597297,0.0,5,49,1.2704159999266267,vbbr_brd,verified_gain_tolerance
1,502377,50,10.0,0.01,0.001,4.7397809944554865,1.5713604241190193,4.729780994455487,1.5703604241190194,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.73323348720341,159.73137680743793,0.0,5,49,1.2038253005594015,vbbr_brd,verified_gain_tolerance
1,502377,50,30.0,0.01,0.0003333333333333333,4.7397809944554865,1.5713604241190193,4.729780994455487,1.571027090785686,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.75944115797718,159.7575844782117,0.0,5,49,1.2445147996768355,vbbr_brd,verified_gain_tolerance
1,502377,50,100.0,0.01,0.0001,4.7397809944554865,1.5713604241190193,4.729780994455487,1.5712604241190193,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.768613842747996,159.76675716298251,0.0,5,49,1.1469732001423836,vbbr_brd,verified_gain_tolerance
1,502377,50,300.0,0.01,3.3333333333333335e-05,4.7397809944554865,1.5713604241190193,4.729780994455487,1.571327090785686,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.77123460982537,159.76937793005987,0.0,5,49,1.2831875998526812,vbbr_brd,verified_gain_tolerance
1,502377,50,1000.0,0.01,1e-05,4.7397809944554865,1.5713604241190193,4.729780994455487,1.5713504241190193,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.77215187830245,159.77029519853696,0.0,5,49,1.2141316998749971,vbbr_brd,verified_gain_tolerance
2,502378,50,0.001,0.01,10.0,0.5,13.287907682577783,0.49,3.2879076825777833,0.12889236401704302,0.04455545454277343,0.04,2,1036.94930699536,6.315725836835108,5.859768851677199,12.175494688512307,0.0,3,19,0.03562919981777668,vbbr_brd,verified_gain_tolerance
2,502378,50,0.003,0.01,3.3333333333333335,1.0464466368973688,6.666347514843923,1.0364466368973688,3.3330141815105896,0.19513112700602375,0.18908516525270394,0.08,4,1027.2182024168992,20.224300033938665,25.208941492021424,45.433241525960085,0.0,8,67,0.8878289004787803,vbbr_brd,verified_gain_tolerance
2,502378,50,0.01,0.01,1.0,1.5411749094339025,1.936140896126901,1.5311749094339024,0.9361408961269011,0.3646656599981481,0.8271227115454238,0.2,10,977.0768678457055,55.83669089213187,30.97213585572182,86.80882674785369,0.0,7,61,1.814733099192381,vbbr_brd,verified_gain_tolerance
2,502378,50,0.03,0.01,0.33333333333333337,1.896006841167177,1.4291079261546944,1.886006841167177,1.095774592821361,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,43.83098371285443,106.21118693752335,0.0,5,49,1.2188626993447542,vbbr_brd,verified_gain_tolerance
2,502378,50,0.1,0.01,0.09999999999999999,1.896006841167177,1.4291079261546944,1.886006841167177,1.3291079261546943,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,53.164317046187776,115.5445202708567,0.0,5,49,1.2484005996957421,vbbr_brd,verified_gain_tolerance
2,502378,50,0.3,0.01,0.03333333333333333,1.896006841167177,1.4291079261546944,1.886006841167177,1.395774592821361,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,55.83098371285444,118.21118693752337,0.0,5,49,1.3281222004443407,vbbr_brd,verified_gain_tolerance
2,502378,50,1.0,0.01,0.01,1.896006841167177,1.4291079261546944,1.886006841167177,1.4191079261546944,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,56.76431704618778,119.1445202708567,0.0,5,49,1.443774700164795,vbbr_brd,verified_gain_tolerance
2,502378,50,3.0,0.01,0.0033333333333333335,1.896006841167177,1.4291079261546944,1.886006841167177,1.425774592821361,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,57.030983712854436,119.41118693752335,0.0,5,49,1.4193261992186308,vbbr_brd,verified_gain_tolerance
2,502378,50,10.0,0.01,0.001,1.896006841167177,1.4291079261546944,1.886006841167177,1.4281079261546945,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,57.124317046187784,119.5045202708567,0.0,5,49,1.3891783002763987,vbbr_brd,verified_gain_tolerance
2,502378,50,30.0,0.01,0.0003333333333333333,1.896006841167177,1.4291079261546944,1.886006841167177,1.428774592821361,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,57.15098371285444,119.53118693752336,0.0,5,49,1.3608598001301289,vbbr_brd,verified_gain_tolerance
2,502378,50,100.0,0.01,0.0001,1.896006841167177,1.4291079261546944,1.886006841167177,1.4290079261546944,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,57.16031704618778,119.54052027085669,0.0,5,49,1.3519679997116327,vbbr_brd,verified_gain_tolerance
2,502378,50,300.0,0.01,3.3333333333333335e-05,1.896006841167177,1.4291079261546944,1.886006841167177,1.429074592821361,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,57.16298371285444,119.54318693752336,0.0,5,49,1.3252868996933103,vbbr_brd,verified_gain_tolerance
2,502378,50,1000.0,0.01,1e-05,1.896006841167177,1.4291079261546944,1.886006841167177,1.4290979261546943,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,57.16391704618778,119.5441202708567,0.0,5,49,1.3206059001386166,vbbr_brd,verified_gain_tolerance
3,502379,50,0.001,0.01,10.0,1.7120255676475908,17.98709509052224,1.7020255676475908,7.987095090522239,0.12248390865951113,0.07027340690383435,0.06,3,1305.6957704496567,20.847074416390008,22.451215331035474,43.298289747425486,0.0,5,46,0.3150067999958992,vbbr_brd,verified_gain_tolerance
3,502379,50,0.003,0.01,3.3333333333333335,3.874559890676109,5.375808024409603,3.864559890676109,2.04247469107627,0.18798014640295854,0.3481936368177533,0.14,7,1271.1163735364548,72.64605340322964,28.447067631762543,101.09312103499218,0.0,4,40,0.919628500007093,vbbr_brd,verified_gain_tolerance
3,502379,50,0.01,0.01,1.0,6.058345159400357,2.2842285984861306,6.048345159400357,1.2842285984861306,0.1954787171090958,0.7723241918150403,0.18,9,1254.7772788353627,118.23227523925915,39.67363257726251,157.90590781652168,0.0,4,43,0.9990755999460816,vbbr_brd,verified_gain_tolerance
3,502379,50,0.03,0.01,0.33333333333333337,4.8496937813037935,2.2994661170775967,4.839693781303794,1.9661327837442633,0.21848384381642164,0.7697610175176116,0.18,9,1230.3076683995814,105.7394900233685,60.538094887588734,166.27758491095724,0.0,4,43,0.9751025000587106,vbbr_brd,verified_gain_tolerance
3,502379,50,0.1,0.01,0.09999999999999999,8.939154840831117,1.5065809475449887,8.929154840831117,1.4065809475449886,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,49.261483792686676,176.92779737535446,0.0,4,43,0.9047519993036985,vbbr_brd,verified_gain_tolerance
3,502379,50,0.3,0.01,0.03333333333333333,8.939154840831117,1.5065809475449887,8.929154840831117,1.4732476142116553,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,51.59629354909951,179.26260713176728,0.0,4,43,0.9615267999470234,vbbr_brd,verified_gain_tolerance
3,502379,50,1.0,0.01,0.01,8.939154840831117,1.5065809475449887,8.929154840831117,1.4965809475449887,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.413476963844005,180.0797905465118,0.0,4,43,1.010487800464034,vbbr_brd,verified_gain_tolerance
3,502379,50,3.0,0.01,0.0033333333333333335,8.939154840831117,1.5065809475449887,8.929154840831117,1.5032476142116553,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.64695793948528,180.31327152215306,0.0,4,43,0.9890872994437814,vbbr_brd,verified_gain_tolerance
3,502379,50,10.0,0.01,0.001,8.939154840831117,1.5065809475449887,8.929154840831117,1.5055809475449888,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.72867628095974,180.39498986362753,0.0,4,43,0.9950264003127813,vbbr_brd,verified_gain_tolerance
3,502379,50,30.0,0.01,0.0003333333333333333,8.939154840831117,1.5065809475449887,8.929154840831117,1.5062476142116554,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.75202437852386,180.41833796119164,0.0,4,43,0.957251800224185,vbbr_brd,verified_gain_tolerance
3,502379,50,100.0,0.01,0.0001,8.939154840831117,1.5065809475449887,8.929154840831117,1.5064809475449887,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.76019621267131,180.4265097953391,0.0,4,43,1.200942300260067,vbbr_brd,verified_gain_tolerance
3,502379,50,300.0,0.01,3.3333333333333335e-05,8.939154840831117,1.5065809475449887,8.929154840831117,1.5065476142116554,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.76253102242772,180.4288446050955,0.0,4,43,0.784417700022459,vbbr_brd,verified_gain_tolerance
3,502379,50,1000.0,0.01,1e-05,8.939154840831117,1.5065809475449887,8.929154840831117,1.5065709475449887,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.76334820584246,180.42966178851026,0.0,4,43,0.7691689999774098,vbbr_brd,verified_gain_tolerance
4,502380,50,0.001,0.01,10.0,0.8505641733076033,10.0,0.8405641733076032,0.0,0.10630592837416832,0.059411576341671525,0.04,2,1094.536858901638,8.935695480153006,0.0,8.935695480153006,0.0,2,20,0.04284469969570637,vbbr_brd,verified_gain_tolerance
4,502380,50,0.003,0.01,3.3333333333333335,0.5131793093267651,5.060182216053399,0.5031793093267651,1.7268488827200659,0.251563868603025,0.19528200871493437,0.08,4,1070.8683351025688,12.658173365523922,13.488900742588584,26.147074108112506,0.0,7,58,0.5972242001444101,vbbr_brd,verified_gain_tolerance
4,502380,50,0.01,0.01,1.0,1.7061688878192318,2.03821883177482,1.6961688878192318,1.0382188317748202,0.3293383698180338,0.9197888070532633,0.18,9,1053.5422995741374,55.86134964504533,38.19768242953578,94.05903207458111,0.0,6,51,0.7006515990942717,vbbr_brd,verified_gain_tolerance
4,502380,50,0.03,0.01,0.33333333333333337,2.016889814157829,1.7395091926807458,2.0068898141578293,1.4061758593474125,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,56.00151684412897,116.79202629923483,0.0,4,43,0.6905714003369212,vbbr_brd,verified_gain_tolerance
4,502380,50,0.1,0.01,0.09999999999999999,2.016889814157829,1.7395091926807458,2.0068898141578293,1.6395091926807457,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,65.29411030610723,126.08461976121308,0.0,4,43,0.7086276998743415,vbbr_brd,verified_gain_tolerance
4,502380,50,0.3,0.01,0.03333333333333333,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7061758593474123,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,67.94913700952958,128.73964646463543,0.0,4,43,0.6929465001448989,vbbr_brd,verified_gain_tolerance
4,502380,50,1.0,0.01,0.01,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7295091926807458,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,68.87839635572742,129.66890581083328,0.0,4,43,0.6787045998498797,vbbr_brd,verified_gain_tolerance
4,502380,50,3.0,0.01,0.0033333333333333335,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7361758593474124,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,69.14389902606965,129.9344084811755,0.0,4,43,0.7052589002996683,vbbr_brd,verified_gain_tolerance
4,502380,50,10.0,0.01,0.001,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7385091926807459,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,69.23682496068943,130.02733441579528,0.0,4,43,0.7640430005267262,vbbr_brd,verified_gain_tolerance
4,502380,50,30.0,0.01,0.0003333333333333333,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7391758593474125,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,69.26337522772366,130.0538846828295,0.0,4,43,0.9829337000846863,vbbr_brd,verified_gain_tolerance
4,502380,50,100.0,0.01,0.0001,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7394091926807458,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,69.27266782118564,130.0631772762915,0.0,4,43,0.9780019000172615,vbbr_brd,verified_gain_tolerance
4,502380,50,300.0,0.01,3.3333333333333335e-05,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7394758593474124,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,69.27532284788906,130.06583230299492,0.0,4,43,0.9976228000596166,vbbr_brd,verified_gain_tolerance
4,502380,50,1000.0,0.01,1e-05,2.016889814157829,1.7395091926807458,2.0068898141578293,1.7394991926807457,0.3029090537320604,0.9956350137833849,0.18,9,1051.9225918612353,60.790509455105855,69.27625210723525,130.0667615623411,0.0,4,43,0.9008721001446247,vbbr_brd,verified_gain_tolerance
5,502381,50,0.001,0.01,10.0,0.3283474411959295,10.74391525082061,0.3183474411959295,0.7439152508206099,0.19284740977322484,0.08495443236063446,0.04,2,1231.4482580064096,6.139247944256902,2.527955914315357,8.66720385857226,0.0,4,37,0.1070389999076724,vbbr_brd,verified_gain_tolerance
5,502381,50,0.003,0.01,3.3333333333333335,1.0949950531977726,5.6172070308860205,1.0849950531977726,2.283873697552687,0.24905095787322717,0.3013820717949197,0.1,5,1214.4446035766407,27.021905728661835,27.532743467454107,54.554649196115946,0.0,5,49,0.7269061002880335,vbbr_brd,verified_gain_tolerance
5,502381,50,0.01,0.01,1.0,1.8658586033754583,4.299600160965751,1.8558586033754583,3.299600160965751,0.19078970228126083,0.34447966820573284,0.1,5,1214.1559592267474,35.40787104141201,45.46580674644258,80.87367778785459,0.0,5,49,0.6525993002578616,vbbr_brd,verified_gain_tolerance
5,502381,50,0.03,0.01,0.33333333333333337,2.46288313507871,1.6787850073349242,2.4528831350787104,1.3454516740015907,0.29150183241823013,1.0,0.18,9,1167.2953262790736,71.50199285832171,53.81806696006363,125.32005981838535,0.0,5,49,1.1243653995916247,vbbr_brd,verified_gain_tolerance
