n_users,method,social_cost_mean,social_cost_std,offloading_size_mean,offloading_size_std,count
20,Algorithm2,316.7062518081131,26.565933515486066,8.0,0.0,3
20,PEN,322.7899630908467,26.85571395455313,7.333333333333333,0.5773502691896257,3
20,UBRD,320.64298119065836,26.28366288363435,9.333333333333334,0.5773502691896257,3
20,VI,324.410343974259,33.12404942662556,7.0,1.0,3
35,Algorithm2,606.838437170411,53.93139381538046,12.666666666666666,2.0816659994661326,3
35,PEN,616.2221189303563,56.42275287687651,12.666666666666666,2.0816659994661326,3
35,UBRD,632.5777939904473,54.32405838178814,16.666666666666668,2.0816659994661326,3
35,VI,624.0661366778855,77.18310223799087,10.666666666666666,0.5773502691896257,3
50,Algorithm2,989.1158202406006,71.46599575161326,14.333333333333334,2.0816659994661326,3
50,PEN,999.0929384180772,70.88009544717129,13.333333333333334,2.0816659994661326,3
50,UBRD,1044.1013421291318,69.47747528006722,20.0,2.6457513110645907,3
50,VI,1024.9885085776093,101.13895310096471,12.0,4.0,3
