iteration,pE,pN,epsilon
0,0.5,0.5,471.9445385303952
1,14.627550389516273,1.0550729665603393,80.76399771305373
2,14.627550389516273,1.0550729665603393,0.0
3,14.627550389516273,1.0550729665603393,101.84655159438823
