n_users,trial,seed,converged,cycle_detected,rounds,updates,initial_social_cost,final_social_cost,social_cost_reduction,final_avg_gain,final_max_gain,offloading_size,total_f,total_b,runtime_sec,stopping_reason,pE,pN,randomize_order
100,1,10002027,1,0,1,4,2398.5979022119623,2381.461720244479,17.13618196748348,0.0,0.0,4,24.523692235646017,40.0,0.0009532499825581908,converged,0.5,0.5,0
100,2,10002028,1,0,1,6,2448.018625436728,2399.812177525042,48.206447911686155,0.0,0.0,6,37.78206854874128,40.0,0.0007653749780729413,converged,0.5,0.5,0
100,3,10002029,1,0,1,6,2263.193778575451,2180.8678836893127,82.32589488613803,1.7763568394002505e-17,1.7763568394002505e-15,6,41.008156387055095,40.0,0.000758624984882772,converged,0.5,0.5,0
100,4,10002030,1,0,1,5,2179.1740933209767,2120.475226311761,58.69886700921552,0.0,0.0,5,28.594202817540168,40.0,0.0007689169142395258,converged,0.5,0.5,0
100,5,10002031,1,0,1,5,2304.9264083060884,2259.7160518774067,45.210356428681735,1.7763568394002505e-17,1.7763568394002505e-15,5,28.678490189830956,40.0,0.0007639999967068434,converged,0.5,0.5,0
100,6,10002032,1,0,1,5,2230.160510043283,2150.538682673378,79.62182736990508,0.0,0.0,5,31.601933853896373,40.0,0.0008075409568846226,converged,0.5,0.5,0
100,7,10002033,1,0,1,5,2344.0170781002203,2282.5196265556056,61.497451544614705,1.7763568394002505e-17,1.7763568394002505e-15,5,36.27507092834523,40.0,0.0007842079503461719,converged,0.5,0.5,0
100,8,10002034,1,0,1,7,2318.14863808339,2185.0919741873913,133.05666389599855,0.0,0.0,7,46.60315865806329,40.0,0.0007026660023257136,converged,0.5,0.5,0
100,9,10002035,1,0,1,5,2376.6801739476573,2323.9408398323794,52.73933411527787,5.329070518200751e-17,3.552713678800501e-15,5,30.868467562763975,40.0,0.0007676660316064954,converged,0.5,0.5,0
100,10,10002036,1,0,1,6,2451.212528849909,2397.0108802187387,54.20164863117043,3.552713678800501e-17,3.552713678800501e-15,6,32.763004917313516,40.0,0.0007261249702423811,converged,0.5,0.5,0
100,11,10002037,1,0,1,5,2466.7033552100706,2404.907882016,61.79547319407084,0.0,0.0,5,30.184596071274015,40.0,0.0007706249598413706,converged,0.5,0.5,0
100,12,10002038,1,0,1,4,2163.2669232340927,2141.254009924692,22.012913309400574,1.7763568394002505e-17,1.7763568394002505e-15,4,23.873821448997212,40.0,0.0007265000604093075,converged,0.5,0.5,0
100,13,10002039,1,0,1,6,2436.3467379538797,2374.9836095729233,61.36312838095637,5.329070518200751e-17,3.552713678800501e-15,6,40.38822937272304,40.0,0.0007235420634970069,converged,0.5,0.5,0
100,14,10002040,1,0,1,6,2338.881828391234,2239.029736656632,99.85209173460225,1.7763568394002505e-17,1.7763568394002505e-15,6,41.32583258925576,40.0,0.0007390410173684359,converged,0.5,0.5,0
100,15,10002041,1,0,1,6,2421.7348459532554,2338.374716374673,83.36012957858247,0.0,0.0,6,36.29796271533644,40.0,0.0007491250289604068,converged,0.5,0.5,0
100,16,10002042,1,0,1,5,2246.0874802604953,2212.0662927289204,34.021187531574924,0.0,0.0,5,26.83400881910025,40.0,0.0007690830389037728,converged,0.5,0.5,0
100,17,10002043,1,0,1,6,2288.600250652708,2252.5006240276725,36.0996266250354,3.552713678800501e-17,1.7763568394002505e-15,6,34.00524182310309,40.0,0.0007559579098597169,converged,0.5,0.5,0
100,18,10002044,1,0,1,5,2272.7345825711313,2199.8350893105,72.89949326063152,0.0,0.0,5,33.98408629708503,40.0,0.0007512909360229969,converged,0.5,0.5,0
100,19,10002045,1,0,1,4,2322.333593468657,2266.8126464089114,55.520947059745595,1.7763568394002505e-17,1.7763568394002505e-15,4,26.740119604729212,40.0,0.0007485410897061229,converged,0.5,0.5,0
100,20,10002046,1,0,1,5,2311.2569696960454,2278.746464422523,32.51050527352254,0.0,0.0,5,31.711249148667438,40.0,0.0007529170252382755,converged,0.5,0.5,0
