method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
GA,50,10,0,102.60997674587479,18.053039288390785,107.24705882352941,87.39108597001194,110.49867321504001,71.73919739762886,130.7246687877992,63.97566049960871,4.24630028122061,65.67418766102097,60.88875979609689,67.4677894024133,54.85615992244815,68.6,8.174848820798797,1.0834117598582176,7.941953833505977,7.242100343239144,8.913287937510177,6.793963041040115,10.323028249957133,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,4.6475800154489,283.0,278.5,287.5,277.0,289.0
GA,100,10,0,148.63205070312958,33.581648139064875,155.15184809616576,137.97673302566903,172.05692849977157,60.666243458473815,181.89767794401996,78.93714153832825,31.01142461498474,68.6,68.6,68.60000000000001,68.6,171.97141538328248,31.206535970797994,12.867430689949169,25.755406229000073,22.662370843740064,32.421291603997815,19.934386792010628,59.64791116700508,54.4,19.24681791881453,49.0,40.0,55.0,37.0,103.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,294.4,19.24681791881453,289.0,280.0,295.0,277.0,343.0
GA,150,10,0,202.06444627427908,21.918297554175318,212.70665246474283,194.5143859850589,217.31291659717283,152.0936872320917,220.00000000000006,68.6,4.4938668397781774e-15,68.6,68.6,68.6,68.6,68.60000000000001,77.07240568749258,17.48126965470512,75.76706620850018,64.09140914572345,89.45241629150405,50.8072577919811,102.38879587501287,46.6,8.138795979750322,46.0,38.5,53.5,37.0,61.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,286.6,8.13879597975032,286.0,278.5,293.5,277.0,301.0
GA,200,10,0,217.73148399155994,2.95255740513167,219.04334140419883,216.38959621290283,220.00000000000003,210.60152116594696,220.00000000000006,68.60000000000002,1.852868764786606e-14,68.60000000000001,68.6,68.60000000000001,68.6,68.60000000000002,208.38695762080607,65.87774741463849,174.8836524374783,161.0546613017359,271.78071083351097,131.9686634580139,328.56022750004195,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,298.0,17.84936973677222,289.0,284.5,310.0,277.0,331.0
GA,250,10,0,212.03312045813283,14.516841768601333,220.0,211.8093918577649,220.00000000000003,172.5706060844625,220.00000000000006,82.943276,43.029827999999995,68.6,68.6,68.60000000000001,68.59999999999998,212.03276,432.4039860250894,147.53479596194,408.9687744999537,334.56577078122064,492.44101917752414,250.17817554203793,802.2490712499712,57.4,22.481992794234234,52.0,44.5,59.5,37.0,121.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.4,22.481992794234234,292.0,284.5,299.5,277.0,361.0
MARL,50,10,0,27.950892247132764,11.40195103537028,29.43938324418277,25.933896174342063,33.34565651423413,3.8351019809630316,44.00377897084198,53.46387704040846,46.48864491498122,35.92590345981274,19.86074216353998,61.76070472792487,14.602896453811809,166.30160968597278,5.0481074959039685,1.0538575844766251,4.942282979027368,4.185868968750583,5.246935021015815,3.773047708964441,7.251579208008479,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,4.6475800154489,283.0,278.5,287.5,277.0,289.0
MARL,100,10,0,41.82103705993365,15.430740163428728,43.77568055291766,31.201075623086034,54.02388121013909,14.556539821224618,65.27255450930897,69.82428231395475,41.67025434656408,63.020069349354685,43.78230505127114,81.88034093747635,19.63418193485119,167.11674908293736,19.508184583298863,8.390326471333815,16.146702916972572,14.277895176506718,21.118219281270285,13.300143957952969,42.952751042030286,48.8,8.63481325796916,49.0,40.0,55.0,37.0,60.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,288.8,8.63481325796916,289.0,280.0,295.0,277.0,300.0
MARL,150,10,0,52.71513460606334,19.34934980257021,49.388888589896254,38.03849648255249,68.08146911653404,26.965217931167246,90.012266609978,131.14602637580532,65.69022454406081,101.67203378213057,80.23184795245295,156.30770919510823,68.69179480607576,254.80491502450303,62.77795336679556,18.74106569371531,55.46921816698159,47.22709426048095,74.43623113523063,42.98857741703978,103.77711366699077,46.5,7.965550828411052,46.0,38.5,53.5,37.0,60.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,286.5,7.965550828411052,286.0,278.5,293.5,277.0,300.0
MARL,200,10,0,77.70646920933244,11.402642673870576,76.14363311695864,66.63752069145063,88.34082765374329,63.8644807947487,96.5042203148587,126.06949778482551,26.972885303592363,135.04612926586856,102.27202059833579,143.50720845269646,84.09886191695966,162.25430647052016,150.64104692081455,27.94041541408209,158.55647145799594,120.1497808751883,172.6260329374927,112.32625108410139,189.1266352920793,51.0,8.12403840463596,49.0,44.5,60.0,37.0,60.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,291.0,8.12403840463596,289.0,284.5,300.0,277.0,300.0
MARL,250,10,0,70.3086672473274,18.202164041106354,73.99446980701131,68.10241842188768,77.90289520212173,22.98578076662406,96.85415816107951,176.50952302328704,84.07729496686741,160.40818819914014,115.49000140153038,199.80076283922796,97.07194174430805,400.68133329376366,310.90661929999476,53.262230849607946,292.2218867294141,275.02807482299977,351.85856556205545,231.43154037499335,403.04102562495973,51.1,7.7903786814249285,52.0,44.5,58.75,37.0,60.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,291.1,7.790378681424928,292.0,284.5,298.75,277.0,300.0
