method,n_users,trial,source,success,budget_stage2_calls,search_budget_exhausted,budget_stop_mode,final_pE,final_pN,offloading_size,final_grid_ne_gap,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,50,1,reused_reference,1,49,0,reference_reuse,4.7397809944554865,1.5713604241190193,9,0.0,97.9981433202345,61.37942993175751,159.377573251992,0.740361666015815,49,0,49,
Proposed,50,2,reused_reference,1,49,0,reference_reuse,1.896006841167177,1.4291079261546944,10,0.0,62.38020322466892,56.76431704618778,119.1445202708567,0.7691459589987062,49,0,49,
Proposed,50,3,reused_reference,1,43,0,reference_reuse,8.939154840831117,1.5065809475449887,8,0.0,127.66631358266778,52.413476963844005,180.0797905465118,0.5546560829970986,43,0,43,
Proposed,50,4,reused_reference,1,43,0,reference_reuse,2.016889814157829,1.7395091926807458,9,0.0,60.790509455105855,68.87839635572742,129.66890581083328,0.4994960830081254,43,0,43,
Proposed,50,5,reused_reference,1,49,0,reference_reuse,2.46288313507871,1.6787850073349242,9,0.0,71.5019928583217,66.75140029339698,138.25339315171868,0.5954982920084149,49,0,49,
Proposed,50,6,reused_reference,1,37,0,reference_reuse,3.6050239448073103,2.689025884624899,6,0.0,60.5250518283515,53.87232584351987,114.39737767187137,0.3596277079777792,37,0,37,
Proposed,50,7,reused_reference,1,37,0,reference_reuse,3.9177676649616155,4.136481749823598,7,0.0,68.2696709906944,68.991161662064,137.26083265275838,0.39260970801115036,37,0,37,
Proposed,50,8,reused_reference,1,37,0,reference_reuse,2.786247118200113,1.240957452387599,9,0.0,85.00252088975235,49.238298095503964,134.2408189852563,0.45906383299734443,37,0,37,
Proposed,50,9,reused_reference,1,43,0,reference_reuse,2.624406401978074,1.7181830405114251,9,0.0,76.24920907558304,68.32732162045701,144.57653069604004,0.5356770830112509,43,0,43,
Proposed,50,10,reused_reference,1,43,0,reference_reuse,2.358690521012906,1.6682717533438869,9,0.0,69.01837049222745,59.903909523374935,128.92228001560238,0.5818453750107437,43,0,43,
Proposed,100,1,reused_reference,1,55,0,reference_reuse,4.654127176458759,2.7040635737003953,10,0.0,109.20299150441947,86.95431499916536,196.15730650358483,1.327515790995676,55,0,55,
Proposed,100,2,reused_reference,1,103,0,reference_reuse,1.7024634899668971,2.98682290648659,14,0.0,93.35073127192017,112.88409582520725,206.23482709712744,2.4398129580076784,103,0,103,
Proposed,100,3,reused_reference,1,49,0,reference_reuse,2.4726018936750966,2.8464487749336476,10,0.0,78.08410048033903,94.54505046118298,172.62915094152203,0.892275707970839,49,0,49,
Proposed,100,4,reused_reference,1,49,0,reference_reuse,3.2236814378940566,2.857806856840022,14,0.0,130.2901278151474,113.9122742736009,244.2024020887483,1.535184417036362,49,0,49,
Proposed,100,5,reused_reference,1,55,0,reference_reuse,2.33038763379126,2.895269964043881,12,0.0,94.72792005899325,115.2979562055543,210.02587626454755,1.4228439999860711,55,0,55,
Proposed,100,6,reused_reference,1,37,0,reference_reuse,3.265941320244337,3.025873225054675,13,0.0,116.2418016000768,104.2436812771757,220.48548287725248,0.9548729999805801,37,0,37,
Proposed,100,7,reused_reference,1,37,0,reference_reuse,3.3376474302379098,2.327234786414507,11,0.0,100.77136212755897,86.85196641035328,187.62332853791224,0.7574846249772236,37,0,37,
