metric,method,n_users,count,mean,std,min,max,source
total_stage2_solver_calls,GA,250,10,297.4,22.4819927942,277,361,budget_matched
total_stage2_solver_calls,BO-online,50,10,283,4.64758001545,277,289,budget_matched
total_stage2_solver_calls,BO-online,100,10,294.4,19.2468179188,277,343,budget_matched
total_stage2_solver_calls,BO-online,150,10,286.6,8.13879597975,277,301,budget_matched
total_stage2_solver_calls,BO-online,200,10,298,17.8493697368,277,331,budget_matched
total_stage2_solver_calls,BO-online,250,10,297.4,22.4819927942,277,361,budget_matched
total_stage2_solver_calls,MARL,50,10,283,4.64758001545,277,289,budget_matched
total_stage2_solver_calls,MARL,100,10,288.8,8.63481325797,277,300,budget_matched
total_stage2_solver_calls,MARL,150,10,286.5,7.96555082841,277,300,budget_matched
total_stage2_solver_calls,MARL,200,10,291,8.12403840464,277,300,budget_matched
total_stage2_solver_calls,MARL,250,10,291.1,7.79037868142,277,300,budget_matched
