figure_id,block,Q,trials,candidate_family_size_mean,candidate_family_size_std,candidate_family_size_median,restricted_gap_mean,restricted_gap_std,restricted_gap_median,grid_ne_gap_mean,grid_ne_gap_std,grid_ne_gap_median,runtime_sec_mean,runtime_sec_std,runtime_sec_median,stage2_calls_mean,stage2_calls_std,stage2_calls_median,final_pE_mean,final_pE_std,final_pE_median,final_pN_mean,final_pN_std,final_pN_median
F1,F,1,10,4.0,0.0,4.0,0.0,0.0,0.0,28.400588722600002,18.43036118190113,25.234946174999997,0.2272747799754143,0.09405932363425631,0.21352800028398633,27.7,11.34063490286148,22.0,5.966062220706701,2.435239979406665,6.6433490749905,2.0866103740863,1.1054695109536092,2.30047434391
F1,F,2,10,9.0,0.0,9.0,0.0,0.0,0.0,19.918768779780002,11.985425799286254,17.165722969999997,0.6909513699822127,0.46039314537573744,0.5804891502484679,80.9,46.17022850279171,69.0,5.578751539551599,2.4519050590095635,5.4408723982515,2.0604915936171997,0.8508024878789159,1.9493319042995
F1,F,3,10,16.0,0.0,16.0,0.0,0.0,0.0,15.6419569997,7.665241122907084,13.600292575000001,1.2054765900596975,0.3443559348442898,1.3372707501985133,133.7,41.048873309751144,130.5,5.1233980413241,1.9443754679544407,4.9054430715655,2.1760993144493996,0.9121651200379332,2.28240706264
F1,F,4,10,24.71515151515151,0.5527209595599053,25.0,0.0,0.0,0.0,18.1202532727,8.45045641974075,16.498188775,1.6572827999480069,0.5955645640814695,1.6349681504070759,189.5,65.56866629724902,166.5,5.0457499808489,2.238155937152746,5.0857539921275,2.3809720796083997,1.09863107053982,2.6001003507295
F1,F,5,10,35.047474747474745,1.4601606680823283,36.0,0.0,0.0,0.0,15.75341914208,10.160408141467345,13.422867455,2.79861802989617,1.200601998228344,2.795407849829644,297.1,114.42591489693233,302.5,4.6498571121337,2.1770549111879807,4.146713243412,2.4820844288307002,0.9444621888677199,2.5773075236169998
F1,F,6,10,47.2161507936508,3.1214028631815793,48.70833333333333,0.0,0.0,0.0,13.44929217008,7.356258280126413,12.679290095,3.3022406598553062,1.2605240584388329,2.9763687001541257,317.9,126.31187592621684,332.0,4.334894353549999,2.1667843772243267,3.5500638029009997,2.5377041499777997,0.9980173068211168,2.5773075236169998
