n_users,method,runtime_sec_mean,runtime_sec_std,count
10,Algorithm2,0.01362829990684986,0.007938226200241929,5
10,CS,127.57880008006468,38.50442913643578,5
10,PEN,0.7647318199276925,0.4449659580722038,5
10,UBRD,0.0038832199759781362,0.0017571958874807825,5
10,VI,0.01366501972079277,0.006050621241127409,5
20,Algorithm2,0.03162611983716488,0.009371099372619656,5
20,PEN,1.6924096399918198,0.18127210110155928,5
20,UBRD,0.015851059835404156,0.0065274015622302185,5
20,VI,0.019701560027897358,0.010558736914110908,5
50,Algorithm2,0.05891975983977318,0.01792008622946047,5
50,PEN,4.711195379961282,0.6012990621526977,5
50,UBRD,0.08499069986864924,0.015274962277160554,5
50,VI,0.066338299959898,0.02429860150833045,5
100,Algorithm2,0.08638148000463844,0.02575034373505782,5
100,PEN,9.679204840026795,0.7909552424035836,5
100,UBRD,0.318234639801085,0.054591462300358315,5
100,VI,0.21760026002302765,0.05014390348043773,5
200,Algorithm2,0.1663210798986256,0.035269277381216636,5
200,PEN,19.243670179974288,0.7346223094971236,5
200,UBRD,1.3156819800846278,0.10575119652275143,5
200,VI,0.07933024000376462,0.035664760088618463,5
500,Algorithm2,0.2502251002006233,0.05379760965670962,5
500,PEN,53.8019176999107,1.907719593415344,5
500,UBRD,8.622970859985799,0.44565598138059465,5
500,VI,0.24140425994992257,0.016475893886995538,5
