variant,mae,rmse,max_abs_diff,argmin_hat_pE,argmin_hat_pN,argmin_hat_value,argmin_real_pE,argmin_real_pN,argmin_real_value,argmin_grid_distance,argmin_price_distance
boundary,133.2543299095226,157.64273453642699,305.1474312445736,6.0,0.609,48.07202099853169,1.208,1.5075,0.0,16.278820596099706,4.875506768531862
refined_price,285.10817893627495,289.2277590570347,393.78157794946105,1.5075,3.6039999999999996,217.47655782832732,1.208,1.5075,0.0,7.0710678118654755,2.1177848096537097
