figure_id,block,trial,iteration,pE,pN,esp_gain,nsp_gain,restricted_gap,grid_true_esp_gain,grid_true_nsp_gain,grid_true_gap
C2,C,1,1,0.5,0.5,64.56787814026973,124.54923962288503,124.54923962288503,90.79830893000002,164.20579091,164.20579091
C2,C,1,2,7.512714875742,0.5,0.02797702414666503,41.02486556819998,41.02486556819998,11.671012500000018,28.06997969,28.06997969
C2,C,1,3,7.512714875742,2.026267375712,5.294690096979096,0.0,5.294690096979096,38.54169268999999,7.421576160000001,38.54169268999999
C2,C,1,4,6.312628976326,2.026267375712,3.4122968774783544,1.928577719961595,3.4122968774783544,31.972911299999993,12.744114060000001,31.972911299999993
C2,C,1,5,6.312628976326,2.506344854217,11.335349661525257,0.0,11.335349661525257,41.15516539000001,15.572996860000003,41.15516539000001
C2,C,1,6,4.945476357006,2.506344854217,19.843647514050375,3.0978804141802385,19.843647514050375,26.150373200000004,14.278072990000005,26.150373200000004
C2,C,1,7,4.945476357006,2.323690723546,2.7854453759204176,0.0,2.7854453759204176,15.5581454,4.524923490000006,15.5581454
C2,C,1,8,4.299361828893,2.323690723546,8.990728342533515,11.446018854503137,11.446018854503137,12.861254799999998,6.4829577,12.861254799999998
C2,C,1,9,4.299361828893,2.972649164262,3.309608711084195,0.0,3.309608711084195,24.29360079,16.598746809999994,24.29360079
C2,C,1,10,3.283430874352,2.972649164262,0.0,0.0,0.0,17.22264270000001,9.884688549999993,17.22264270000001
C2,C,2,1,0.5,0.5,26.870355143479685,121.88192174927207,121.88192174927207,90.79830893000002,164.20579091,164.20579091
C2,C,2,2,5.171047167083,0.5,17.618526139032696,48.24940017695675,48.24940017695675,10.445935500000019,52.04352297,52.04352297
C2,C,2,3,5.171047167083,1.706080673147,0.0,0.0,0.0,7.412303900000012,5.66022504,7.412303900000012
C2,C,3,1,0.5,0.5,47.43124766742398,136.48535019626826,136.48535019626826,90.79830893000002,164.20579091,164.20579091
C2,C,3,2,11.658988996701,0.5,0.7995772660374598,6.894530865893206,6.894530865893206,19.66058130000002,2.1266420900000007,19.66058130000002
C2,C,3,3,11.658988996701,0.914164386781,12.827959985577138,0.0,12.827959985577138,65.22033728000001,4.749666300000001,65.22033728000001
C2,C,3,4,10.318162581833,0.914164386781,0.0,4.080579344559354,4.080579344559354,27.177490600000013,2.902024879999999,27.177490600000013
C2,C,3,5,10.318162581833,1.183606801822,9.662695270484775,0.0,9.662695270484775,40.66844035000001,2.796699239999999,40.66844035000001
C2,C,3,6,9.605589471032,1.183606801822,0.0,1.7573046433828878,1.7573046433828878,30.522370600000002,2.538095039999998,30.522370600000002
C2,C,3,7,9.605589471032,1.608571586047,7.877517768415487,0.0,7.877517768415487,41.73440117,2.438087969999998,41.73440117
C2,C,3,8,8.671922621488,1.608571586047,0.0,0.0,0.0,33.4321626,3.2755285900000004,33.4321626
C2,C,4,1,0.5,0.5,62.751262011703766,161.85601495555719,161.85601495555719,90.79830893000002,164.20579091,164.20579091
C2,C,4,2,7.933880334827,0.5,0.0,30.493414693808333,30.493414693808333,8.280979600000023,26.165098680000003,26.165098680000003
