trial,trial_seed,n_users,ratio,F,B,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
1,502377,50,0.1,20.0,200.0,0.01,0.01,7.250996971962977,0.5,7.240996971962978,0.49,0.9999999999999998,0.48984519558126954,0.22,11,1144.5258287759434,144.8199394392595,48.004829166964406,192.82476860622393,0.0,2,31,1.0217193998396397,vbbr_brd,verified_gain_tolerance
1,502377,50,0.2,28.284271247461902,141.4213562373095,0.01,0.01,4.835093665372759,1.3493150546263293,4.825093665372759,1.3393150546263293,0.869077394251996,0.3941318110036443,0.22,11,1151.025457866413,118.60669254754836,74.65162009881212,193.25831264636048,0.0,5,49,1.6178176999092102,vbbr_brd,verified_gain_tolerance
1,502377,50,0.3,34.64101615137755,115.47005383792515,0.01,0.01,4.816889050086134,1.3534633915548933,4.806889050086134,1.3434633915548932,0.7109383604407898,0.4819705970620172,0.22,11,1150.808589468349,118.38227164545084,74.76799758172513,193.15026922717595,0.0,5,49,1.6627199994400144,vbbr_brd,verified_gain_tolerance
1,502377,50,0.4,40.0,100.0,0.01,0.01,4.912312117748426,1.3318754348693373,4.902312117748426,1.3218754348693373,0.6096813706383978,0.5610239030296273,0.22,11,1151.940840813776,119.55393484984351,74.16037157893814,193.71430642878164,0.0,5,49,1.4657337004318833,vbbr_brd,verified_gain_tolerance
1,502377,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,5.125116387108151,0.9948656670705298,5.115116387108151,0.9848656670705298,0.5762413744587767,0.8171795464996756,0.24,12,1136.791953993037,131.81807203909526,71.98458072635869,203.80265276545396,0.0,3,37,1.2660853005945683,vbbr_brd,verified_gain_tolerance
1,502377,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,5.108510199212356,1.2886697935011089,5.098510199212356,1.2786697935011089,0.37811922998301445,0.9018043993411368,0.22,11,1154.2348055070527,121.9276077410654,72.92908270569284,194.85669044675825,0.0,3,37,1.1449522003531456,vbbr_brd,verified_gain_tolerance
1,502377,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,3.888491272569897,1.5859209427561891,3.8784912725698972,1.575920942756189,0.3538667059931277,0.9956072178100615,0.22,11,1139.1463182515959,106.31098624718184,81.0227220234513,187.33370827063314,0.0,5,49,1.2711295997723937,vbbr_brd,verified_gain_tolerance
1,502377,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,3.600272189352311,1.5608173395636684,3.5902721893523113,1.5508173395636684,0.31984710656425824,1.0,0.22,11,1130.712075520481,102.71048850907036,69.35465983899472,172.06514834806507,0.0,4,43,1.2287864992395043,vbbr_brd,verified_gain_tolerance
1,502377,50,2.5,100.0,40.0,0.01,0.01,4.7397809944554865,1.5713604241190193,4.729780994455487,1.5613604241190193,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.37942993175751,159.377573251992,0.0,5,49,0.9962168000638485,vbbr_brd,verified_gain_tolerance
1,502377,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,4.672160672588893,1.5810489103898926,4.662160672588893,1.5710489103898926,0.19050502936059757,0.9999999999999998,0.18,9,1157.905645982118,97.29360717158266,57.36659514429709,154.66020231587976,0.0,6,55,1.102160600014031,vbbr_brd,verified_gain_tolerance
1,502377,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,3.845808360365402,2.066812231487425,3.835808360365402,2.056812231487425,0.177734206283388,1.0,0.18,9,1156.9896807802686,86.23586258373376,65.04211370793757,151.27797629167134,0.0,5,49,0.8711689999327064,vbbr_brd,verified_gain_tolerance
2,502378,50,0.1,20.0,200.0,0.01,0.01,5.319830192840536,0.5,5.309830192840536,0.49,0.7852413102871761,0.3310582153686545,0.16,8,997.183168204449,83.38996036057023,32.44370510612814,115.83366546669836,0.0,2,31,0.513094799593091,vbbr_brd,verified_gain_tolerance
2,502378,50,0.2,28.284271247461902,141.4213562373095,0.01,0.01,3.569223458321036,0.5,3.559223458321036,0.49,1.0000000000000002,0.6736716290407627,0.24,12,963.8175948974923,100.67004172548162,46.68306216439574,147.35310388987736,0.0,2,31,0.9213353991508484,vbbr_brd,verified_gain_tolerance
2,502378,50,0.3,34.64101615137755,115.47005383792515,0.01,0.01,3.161591048099143,0.47675018398834923,3.151591048099143,0.4667501839883492,0.9999999999999998,0.9952971301101988,0.28,14,948.1441146396904,109.1743163997393,53.64220455565794,162.81652095539724,0.0,4,43,1.7010152004659176,vbbr_brd,verified_gain_tolerance
2,502378,50,0.4,40.0,100.0,0.01,0.01,2.728616664054054,0.6513473084053806,2.7186166640540543,0.6413473084053806,0.9585607907240797,0.9629297881767966,0.28,14,950.302869652147,104.23837356685259,61.75724278305518,165.99561634990778,0.0,4,43,1.8142182007431984,vbbr_brd,verified_gain_tolerance
2,502378,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,2.5646032247661505,0.7218856714129692,2.5546032247661508,0.7118856714129692,0.8843533504827571,1.0000000000000002,0.28,14,950.5676149802424,101.03323976322244,63.67299013949913,164.70622990272156,0.0,5,49,1.9050763007253408,vbbr_brd,verified_gain_tolerance
2,502378,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,2.0715931405426082,1.0896441320851746,2.0615931405426084,1.0796441320851746,0.6430218520068605,0.9986586581858513,0.26,13,958.8623397669066,83.84143214329649,68.19109996868514,152.03253211198162,0.0,4,43,1.8570165000855923,vbbr_brd,verified_gain_tolerance
2,502378,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,2.6997646438945844,1.2455934445815173,2.6897646438945846,1.2355934445815173,0.32392762049445306,0.8706015779476963,0.18,9,986.0059260805934,67.48976044320597,55.54940501398628,123.03916545719224,0.0,3,37,0.6947075007483363,vbbr_brd,verified_gain_tolerance
2,502378,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,1.9860383441709615,1.3765840177002624,1.9760383441709615,1.3665840177002624,0.36131389501864586,1.0,0.2,10,970.9572417002983,63.859428069527276,61.11549521085125,124.97492328037853,0.0,5,49,1.0226111002266407,vbbr_brd,verified_gain_tolerance
2,502378,50,2.5,100.0,40.0,0.01,0.01,1.896006841167177,1.4291079261546944,1.886006841167177,1.4191079261546944,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,56.76431704618778,119.1445202708567,0.0,5,49,1.1186371007934213,vbbr_brd,verified_gain_tolerance
2,502378,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,1.6491658541670622,1.7490484896985898,1.6391658541670622,1.7390484896985898,0.32180889439649984,0.9532967741209852,0.2,10,974.601093189536,57.78452729769355,60.53536749776826,118.3198947954618,0.0,10,79,2.1702397000044584,vbbr_brd,verified_gain_tolerance
2,502378,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,2.6551576697990478,1.279300010798015,2.645157669799048,1.269300010798015,0.17750793359437214,0.9999999999999999,0.16,8,986.8789823187401,59.392187841257744,40.13879068198045,99.53097852323819,0.0,5,49,0.7544672004878521,vbbr_brd,verified_gain_tolerance
3,502379,50,0.1,20.0,200.0,0.01,0.01,6.910996296367169,2.0202874638373243,6.900996296367169,2.0102874638373245,0.8130436611735078,0.15121762534240177,0.16,8,1262.0483494273976,112.21622589086363,60.798179307415914,173.01440519827955,0.0,6,55,0.904950300231576,vbbr_brd,verified_gain_tolerance
3,502379,50,0.2,28.284271247461902,141.4213562373095,0.01,0.01,6.8884498721651255,2.026847746919478,6.878449872165126,2.016847746919478,0.5758487776859001,0.2135076462729183,0.16,8,1261.8796706548346,112.03249796624576,60.89779178938645,172.9302897556322,0.0,7,61,1.144255199469626,vbbr_brd,verified_gain_tolerance
