figure_id,block,method,Q,trial,candidate_family_size,restricted_gap,grid_ne_gap,runtime_sec,stage2_calls,final_pE,final_pN
F1,F,Proposed,1,1,2.0,0.0,nan,0.00043012492824345827,1,0.5,0.5
F1,F,Proposed,1,2,2.0,0.0,nan,0.0007635420188307762,5,0.5,0.5
F1,F,Proposed,1,3,2.0,0.0,nan,0.00037720799446105957,1,0.5,0.5
F1,F,Proposed,1,4,2.0,0.0,nan,0.0016797090647742152,5,0.5,0.5
F1,F,Proposed,1,5,2.0,0.0,nan,0.0003790839109569788,1,0.5,0.5
F1,F,Proposed,1,6,2.0,0.0,nan,0.0014731250703334808,5,0.5,0.5
F1,F,Proposed,1,7,2.0,0.0,nan,0.0007237909594550729,5,0.5,0.5
F1,F,Proposed,1,8,2.0,0.0,nan,0.0007015829905867577,5,0.5,0.5
F1,F,Proposed,1,9,2.0,0.0,nan,0.0005442920373752713,3,0.5,0.5
F1,F,Proposed,1,10,2.0,0.0,nan,0.0005520000122487545,3,0.5,0.5
F1,F,Proposed,1,11,2.0,0.0,nan,0.0005401669768616557,3,0.5,0.5
F1,F,Proposed,1,12,2.0,0.0,nan,0.0003895839909091592,1,0.5,0.5
F1,F,Proposed,1,13,2.0,0.0,nan,0.0006905830232426524,5,0.5,0.5
F1,F,Proposed,1,14,2.0,0.0,nan,0.0007037089671939611,5,0.5,0.5
F1,F,Proposed,1,15,2.0,0.0,nan,0.0003489169757813215,1,0.5,0.5
F1,F,Proposed,1,16,2.6666666666666665,0.0,nan,0.007408292032778263,11,0.5,0.1332057355928107
F1,F,Proposed,1,17,2.0,0.0,nan,0.0003738329978659749,1,0.5,0.5
F1,F,Proposed,1,18,2.6666666666666665,0.0,nan,0.006268083001486957,12,0.5,0.18747070347622266
F1,F,Proposed,1,19,2.6666666666666665,0.0,nan,0.006761500029824674,11,0.5,0.13952323908236586
F1,F,Proposed,1,20,2.0,0.0,nan,0.0003811659989878535,1,0.5,0.5
F1,F,Proposed,2,1,3.0,0.0,nan,0.0004208330065011978,1,0.5,0.5
F1,F,Proposed,2,2,3.0,0.0,nan,0.000747875077649951,5,0.5,0.5
F1,F,Proposed,2,3,3.0,0.0,nan,0.0004954999312758446,1,0.5,0.5
F1,F,Proposed,2,4,3.0,0.0,nan,0.0014715840807184577,5,0.5,0.5
F1,F,Proposed,2,5,3.0,0.0,nan,0.0004520420916378498,1,0.5,0.5
F1,F,Proposed,2,6,3.0,0.0,nan,0.001520959078334272,5,0.5,0.5
F1,F,Proposed,2,7,3.0,0.0,nan,0.0007828749949112535,5,0.5,0.5
F1,F,Proposed,2,8,4.5,0.0,nan,0.016229292028583586,19,0.11099060063237721,0.5
F1,F,Proposed,2,9,3.0,0.0,nan,0.00060374999884516,3,0.5,0.5
F1,F,Proposed,2,10,3.0,0.0,nan,0.0006155000301077962,3,0.5,0.5
F1,F,Proposed,2,11,3.0,0.0,nan,0.0005892089102417231,3,0.5,0.5
F1,F,Proposed,2,12,3.0,0.0,nan,0.00043470796663314104,1,0.5,0.5
F1,F,Proposed,2,13,3.0,0.0,nan,0.0007846250664442778,5,0.5,0.5
F1,F,Proposed,2,14,3.0,0.0,nan,0.0008552080253139138,5,0.5,0.5
F1,F,Proposed,2,15,3.0,0.0,nan,0.0004731660010293126,1,0.5,0.5
F1,F,Proposed,2,16,6.0,0.0,nan,0.07171249995008111,38,0.21962923002822385,0.12720766509682738
F1,F,Proposed,2,17,3.0,0.0,nan,0.0004229999613016844,1,0.5,0.5
F1,F,Proposed,2,18,4.0,0.0,nan,0.01817183301318437,16,0.5,0.18747070347622266
F1,F,Proposed,2,19,4.0,0.0,nan,0.011197875021025538,15,0.5,0.13952323908236586
F1,F,Proposed,2,20,3.0,0.0,nan,0.000520208035595715,1,0.5,0.5
F1,F,Proposed,3,1,4.0,0.0,nan,0.0004853750579059124,1,0.5,0.5
F1,F,Proposed,3,2,4.0,0.0,nan,0.0008029169403016567,5,0.5,0.5
F1,F,Proposed,3,3,4.0,0.0,nan,0.0004930829163640738,1,0.5,0.5
F1,F,Proposed,3,4,4.0,0.0,nan,0.0017977500101551414,5,0.5,0.5
F1,F,Proposed,3,5,4.0,0.0,nan,0.0005018330411985517,1,0.5,0.5
F1,F,Proposed,3,6,4.0,0.0,nan,0.002317667007446289,5,0.5,0.5
F1,F,Proposed,3,7,4.0,0.0,nan,0.001012708991765976,5,0.5,0.5
F1,F,Proposed,3,8,6.0,0.0,nan,0.02963266707956791,19,0.11099060063237721,0.5
F1,F,Proposed,3,9,4.0,0.0,nan,0.003999957931227982,3,0.5,0.5
F1,F,Proposed,3,10,4.0,0.0,nan,0.0006685000844299793,3,0.5,0.5
F1,F,Proposed,3,11,4.0,0.0,nan,0.0007437500171363354,3,0.5,0.5
F1,F,Proposed,3,12,4.0,0.0,nan,0.0004991251043975353,1,0.5,0.5
